sample_id,group,batch,measure_1,resolution_ang,r_free,chain_length_aa,molecular_weight_kda,fraction_helix,fraction_sheet,mean_b_factor,radius_gyration_ang,ligand_count,isoelectric_point,target_a,target_b
STR-500396,TreatmentA,B01,70.39,0.89,0.2358,720,55.28,0.4877,0.2227,13.61,24.59,2,7.93,1,1
STR-500347,TreatmentB,B01,102.73,2.55,0.3179,302,75.23,0.5349,0.2685,1.06,25.35,2,6.31,0,0
STR-500920,TreatmentA,B01,114.37,1.15,0.2804,302,22.03,0.5059,0.1221,97.83,28.94,2,5.34,0,0
STR-500686,TreatmentA,B01,90.24,1.99,0.2276,169,60.1,0.2296,0.1863,19.19,24.63,2,9.84,1,1
STR-500417,TreatmentB,B03,115.46,1.94,0.296,268,47.71,0.3628,0.3947,5.46,33.2,2,7.5,0,1
STR-500653,TreatmentB,B02,82.81,1.24,0.2128,440,10.74,0.4397,0.2202,17.07,26.78,1,6.19,1,0
STR-500350,TreatmentA,B02,100.04,1.43,0.1548,430,73.33,0.269,0.3929,17.95,13.75,0,5.73,1,0
STR-500765,TreatmentA,B03,75.86,2.54,0.1932,62,17.79,0.2994,0.4501,9.52,29.85,3,6.77,1,0
STR-500814,TreatmentB,B03,97.22,1.48,0.2559,133,24.17,0.4507,0.3175,6.7,26.92,1,8.99,0,0
STR-500215,TreatmentB,B03,94.06,1.92,0.2616,134,7.1,0.2602,0.364,18.18,29.36,0,6.87,0,0
STR-500205,TreatmentB,B02,92.22,0.23,0.1996,304,58.81,0.3223,0.1225,21.24,15.53,2,6.07,1,1
STR-500745,TreatmentA,B02,75.27,3.43,0.2477,512,74.99,0.4469,0.3458,46.92,27.87,0,7.7,0,1
STR-500894,TreatmentA,B01,114.15,1.28,0.1955,320,22.37,0.5609,0.2347,29.25,26.17,1,6.28,1,0
STR-500149,TreatmentB,B03,100.0,0.92,0.2115,500,87.2,0.2092,0.3923,24.18,26.41,1,8.25,1,0
STR-500996,Control,B01,77.34,1.67,0.2195,602,14.84,0.5142,0.4871,35.11,21.41,2,7.19,1,1
STR-500432,Control,B01,91.16,2.01,0.2763,456,30.39,0.3331,0.3182,24.82,15.64,3,6.23,0,1
STR-500769,Control,B03,96.11,2.53,0.2096,262,27.83,0.5428,0.2835,38.17,22.94,1,7.54,1,1
STR-500720,Control,B01,71.69,1.33,0.2661,127,60.06,0.517,0.2588,42.07,27.54,2,5.27,0,0
STR-500946,Control,B02,116.74,2.26,0.2094,374,14.84,0.3574,0.2405,42.57,21.7,2,3.68,0,0
STR-500735,TreatmentA,B01,117.95,1.53,0.2339,186,15.86,0.3452,0.1906,47.69,18.81,6,7.03,0,1
STR-500874,TreatmentA,B03,106.98,3.97,0.3389,789,13.74,0.5946,0.2844,21.88,24.46,3,6.43,0,1
STR-500954,TreatmentA,B02,99.99,1.18,0.2819,105,37.39,0.4686,0.0719,60.11,16.79,5,4.29,1,0
STR-500995,TreatmentB,B01,107.88,1.4,0.228,301,128.33,0.3288,0.0948,12.13,29.98,0,8.89,1,1
STR-500523,TreatmentB,B02,119.84,0.39,0.2329,272,40.87,0.2823,0.3467,33.31,23.54,0,7.63,1,0
STR-500606,TreatmentA,B03,116.71,1.48,0.2123,811,11.32,0.3461,0.1648,39.54,16.87,5,7.9,0,1
STR-500584,TreatmentA,B02,92.42,1.65,0.1899,84,60.27,0.467,0.2888,19.08,17.67,1,8.57,1,1
STR-500026,TreatmentA,B02,91.66,1.75,0.2586,198,39.93,0.1527,0.3131,37.8,19.56,2,7.47,0,1
STR-500024,TreatmentA,B03,76.79,1.91,0.1835,485,24.41,0.4326,0.046,44.01,30.85,2,6.88,1,1
STR-500087,TreatmentB,B02,107.72,1.31,0.2001,294,23.95,0.3967,0.2013,17.43,32.25,1,6.04,1,0
STR-500249,TreatmentA,B02,86.2,2.7,0.1946,198,45.22,0.4578,0.3551,32.45,32.37,1,6.83,0,1
STR-500469,Control,B03,100.96,2.36,0.2704,475,61.33,0.3714,0.2772,27.04,30.67,5,7.36,0,1
STR-500949,TreatmentA,B02,88.1,2.75,0.2056,616,53.02,0.6324,0.3934,24.65,25.95,4,3.83,1,1
STR-500328,TreatmentA,B03,93.11,1.5,0.2684,278,16.52,0.2225,0.4486,31.04,30.24,4,9.63,1,0
STR-500789,Control,B02,103.04,2.2,0.2526,574,39.66,0.3863,0.4585,29.31,31.78,3,5.77,1,0
STR-500300,Control,B01,70.4,3.75,0.279,519,51.97,0.5916,0.1153,81.62,24.72,1,6.6,0,0
STR-500930,Control,B01,99.2,1.3,0.2335,312,21.77,0.4404,0.115,20.97,33.43,3,6.91,0,1
STR-500875,Control,B01,104.57,3.53,0.2161,489,48.01,0.5834,0.2275,23.55,26.37,3,9.15,0,0
STR-500496,Control,B01,130.61,2.72,0.173,337,82.09,0.4411,0.4481,18.8,26.41,5,5.88,0,1
STR-500841,Control,B03,90.87,2.37,0.1961,274,119.5,0.4395,0.5462,29.33,19.46,3,5.31,1,1
STR-500908,TreatmentA,B03,104.65,1.47,0.2422,462,51.73,0.3703,0.1748,15.95,19.6,6,6.5,1,1
STR-500101,TreatmentA,B02,116.13,3.05,0.1974,341,44.72,0.3522,0.3269,22.52,19.04,4,4.03,0,0
STR-500911,TreatmentB,B01,89.81,1.65,0.2741,150,100.65,0.1615,0.5922,40.38,28.62,4,6.04,1,0
STR-500601,Control,B03,95.16,2.54,0.252,599,46.48,0.3074,0.4477,42.41,4.92,4,10.45,0,0
STR-500847,TreatmentB,B02,88.73,0.99,0.2359,571,22.49,0.3226,0.225,1.92,24.42,1,8.99,1,0
STR-500575,TreatmentB,B03,114.31,1.13,0.2516,522,39.38,0.5354,0.1957,28.82,22.68,2,8.75,1,0
STR-500331,Control,B03,102.96,2.84,0.2357,286,16.73,0.5364,0.2854,47.6,24.09,3,5.65,1,0
STR-500556,TreatmentB,B03,118.82,1.25,0.2633,191,31.77,0.2642,0.1696,3.06,15.98,3,6.96,1,1
STR-500628,TreatmentA,B03,73.06,1.89,0.2345,189,83.03,0.5167,0.2222,27.2,28.5,1,6.53,0,0
STR-500595,Control,B01,112.3,2.48,0.1847,190,50.27,0.4243,0.4944,36.44,24.7,0,6.28,1,1
STR-500704,Control,B03,109.67,4.53,0.2076,283,26.61,0.4316,0.2064,41.46,27.7,1,6.25,0,1
STR-500927,Control,B03,109.5,1.61,0.2535,458,26.8,0.4668,0.2462,55.01,32.36,3,5.56,0,0
STR-500429,TreatmentB,B02,121.42,1.33,0.2115,319,35.98,0.4618,0.2481,38.67,24.79,2,5.27,1,0
STR-500043,TreatmentA,B02,88.59,2.19,0.194,169,31.94,0.4045,0.3128,81.5,34.06,4,7.49,0,1
STR-500183,Control,B02,101.3,1.68,0.2614,433,21.91,0.2887,0.2106,26.74,28.25,4,6.21,0,1
STR-500883,TreatmentB,B03,108.1,1.28,0.1988,110,29.37,0.2634,0.4581,18.52,20.91,3,9.79,1,0
STR-500964,TreatmentA,B01,100.41,1.73,0.2418,238,40.13,0.4844,0.3006,23.01,33.55,4,9.37,1,0
STR-500670,TreatmentB,B02,87.38,1.2,0.2197,143,94.58,0.3419,0.3265,35.93,29.47,0,6.55,1,1
STR-500509,TreatmentB,B02,94.18,0.89,0.1852,211,61.16,0.4465,0.092,28.52,17.76,3,6.51,1,1
STR-500011,Control,B01,87.4,2.66,0.2426,266,29.24,0.6446,0.3041,50.94,22.21,3,5.02,0,1
STR-500114,TreatmentB,B02,100.12,1.67,0.2509,365,86.21,0.4014,0.2705,7.37,24.26,3,7.71,0,0
STR-500820,TreatmentB,B02,91.17,1.52,0.2299,250,25.72,0.3707,0.1816,2.68,15.54,1,5.45,1,0
STR-500699,TreatmentA,B03,95.09,2.49,0.2906,159,62.58,0.4049,0.371,30.93,19.31,3,7.22,0,1
STR-500201,TreatmentB,B02,92.83,1.52,0.2362,302,12.67,0.4905,0.4015,15.09,17.19,3,8.07,0,1
STR-500982,Control,B03,87.07,1.47,0.2215,137,114.06,0.4608,0.5413,45.01,13.18,2,6.1,0,1
STR-500715,TreatmentB,B01,96.52,2.18,0.3052,271,61.52,0.4624,0.3458,19.31,23.4,2,5.58,0,1
STR-500199,Control,B03,112.84,2.82,0.2709,525,14.19,0.327,0.38,18.91,17.1,2,7.1,1,0
STR-500952,TreatmentB,B02,111.87,1.22,0.264,322,27.53,0.2016,0.1798,33.36,23.15,1,6.39,0,1
STR-500633,Control,B02,89.76,2.54,0.2756,292,33.98,0.6181,0.3134,26.3,28.51,3,6.69,0,1
STR-500794,TreatmentA,B02,101.03,2.46,0.2385,190,13.4,0.3228,0.2525,33.01,31.18,2,5.18,0,1
STR-500117,Control,B01,87.08,2.05,0.2489,586,54.66,0.5474,0.3701,58.77,20.02,2,6.88,0,1
STR-500600,Control,B01,94.61,2.19,0.2764,427,30.06,0.5687,0.1031,42.13,16.16,1,7.44,0,0
STR-500646,TreatmentA,B03,105.23,0.86,0.2346,298,139.67,0.3424,0.5026,23.69,26.2,1,8.59,1,0
STR-500542,TreatmentB,B01,120.31,1.58,0.2676,111,41.4,0.3541,0.1916,7.74,27.34,4,6.45,1,0
STR-500832,TreatmentB,B02,117.89,1.01,0.2587,247,44.7,0.2881,0.404,30.74,35.4,2,7.59,1,0
STR-500316,TreatmentB,B03,73.39,2.22,0.2365,108,50.86,0.4686,0.4327,109.53,20.89,1,7.34,0,1
STR-500303,TreatmentA,B03,103.0,1.78,0.2528,197,35.85,0.6705,0.2257,24.61,20.42,1,7.7,1,0
STR-500442,TreatmentB,B03,115.03,1.24,0.2025,221,26.36,0.6504,0.327,47.49,22.68,2,7.36,0,0
STR-500871,Control,B01,94.32,3.28,0.2062,198,7.53,0.5726,0.3302,24.64,25.17,1,9.89,0,0
STR-500488,TreatmentA,B01,113.93,1.87,0.1718,129,21.18,0.6454,0.5005,29.19,41.43,1,7.66,1,1
STR-500780,TreatmentA,B01,81.04,1.27,0.2606,240,23.27,0.3145,0.3072,23.28,24.23,1,4.91,1,0
STR-500399,TreatmentB,B01,98.18,2.31,0.2276,204,35.83,0.3316,0.2062,42.51,23.5,3,5.28,0,1
STR-500850,TreatmentB,B03,72.2,1.2,0.2579,179,23.06,0.2798,0.1797,51.74,23.94,4,7.65,0,1
STR-500657,Control,B02,107.09,1.92,0.2239,439,21.78,0.2023,0.4646,46.96,18.09,2,8.89,1,0
STR-500099,TreatmentA,B01,101.37,1.79,0.2261,332,53.97,0.2467,0.2238,27.47,25.2,1,4.77,1,1
STR-500547,TreatmentB,B03,94.37,0.53,0.2144,284,46.66,0.3378,0.2348,7.45,16.7,4,7.2,1,1
STR-500959,TreatmentB,B02,95.39,1.0,0.2366,197,32.38,0.488,0.2113,25.76,35.07,1,7.2,1,0
STR-500341,Control,B03,68.6,1.58,0.1878,193,36.87,0.3791,0.3514,27.03,26.74,3,8.68,1,0
STR-500728,TreatmentB,B01,117.56,1.43,0.2263,332,25.57,0.4835,0.2985,11.0,26.46,0,6.56,1,1
STR-500732,Control,B03,119.0,2.49,0.2051,78,47.82,0.4948,0.2361,50.78,28.59,3,3.45,0,0
STR-500884,TreatmentB,B03,121.5,0.65,0.2801,115,23.89,0.5735,0.1759,19.59,17.69,4,6.7,1,0
STR-500989,Control,B01,109.77,2.48,0.279,418,49.59,0.3647,0.2451,23.92,25.98,5,8.4,0,1
STR-500251,TreatmentB,B02,87.51,1.07,0.1778,188,74.68,0.5241,0.2952,23.06,17.93,2,5.3,1,1
STR-500926,Control,B03,81.85,2.01,0.2307,200,14.86,0.5011,0.3194,17.64,25.06,1,7.55,0,1
STR-500867,TreatmentB,B03,123.71,1.81,0.2497,143,20.76,0.2693,0.2366,34.3,27.61,1,6.76,1,1
STR-500212,TreatmentA,B01,116.21,1.27,0.262,432,45.45,0.4478,0.6362,31.1,32.65,3,5.91,0,1
STR-500517,Control,B02,96.44,1.48,0.2516,324,59.26,0.5867,0.4718,50.23,23.52,6,4.52,0,0
STR-500613,TreatmentB,B01,89.17,1.23,0.2062,196,54.01,0.5333,0.4331,15.75,29.73,3,5.06,1,1
STR-500171,TreatmentB,B02,101.73,3.14,0.2527,491,41.02,0.4683,0.3348,30.21,32.22,2,7.24,0,1
STR-500273,Control,B01,80.0,1.72,0.1923,261,45.22,0.2689,0.2086,24.75,29.87,6,6.41,1,1
STR-500046,TreatmentA,B01,132.4,1.11,0.1996,413,44.49,0.4943,0.258,28.74,14.17,2,6.47,0,1
STR-500103,Control,B02,104.71,1.77,0.2474,128,47.46,0.4228,0.2922,57.1,22.21,0,6.54,0,1
STR-500285,Control,B03,84.74,2.81,0.2691,246,45.59,0.3629,0.2163,50.72,15.53,6,5.39,0,0
STR-500683,TreatmentA,B02,119.61,2.35,0.2246,309,45.4,0.4417,0.1527,70.11,22.74,3,10.45,0,0
STR-500872,TreatmentB,B02,113.59,0.89,0.2502,390,47.21,0.4672,0.4215,35.62,21.01,1,7.5,1,1
STR-500073,TreatmentA,B03,70.46,1.55,0.1906,339,33.13,0.4003,0.4522,39.19,25.65,2,6.35,1,1
STR-500635,TreatmentA,B03,94.72,1.45,0.2972,346,22.47,0.4355,0.3776,32.49,25.65,2,7.96,0,0
STR-500734,TreatmentB,B03,119.65,1.31,0.2218,162,104.83,0.4854,0.2469,3.43,30.08,1,7.28,0,0
STR-500145,Control,B03,104.63,1.4,0.1843,184,27.27,0.3611,0.2048,38.68,28.96,1,7.12,1,1
STR-500578,TreatmentA,B03,89.16,2.09,0.2106,523,8.07,0.5741,0.361,29.33,19.03,1,7.01,1,1
STR-500027,Control,B03,117.71,2.83,0.2505,196,42.65,0.2861,0.2155,64.23,25.0,1,6.04,0,1
STR-500155,TreatmentA,B02,94.21,1.93,0.2161,389,19.01,0.5815,0.4537,39.28,32.74,5,7.48,1,1
STR-500522,TreatmentA,B02,100.83,2.93,0.2325,144,29.9,0.403,0.2957,74.4,19.11,1,6.1,0,1
STR-500463,Control,B02,98.33,2.86,0.1977,759,19.17,0.3357,0.3263,49.99,26.27,0,6.63,0,1
STR-500999,TreatmentB,B03,145.04,1.42,0.2597,389,56.84,0.3991,0.3335,36.88,31.38,5,6.94,1,1
STR-500343,Control,B01,89.44,1.71,0.2853,162,10.83,0.2216,0.1791,40.37,17.37,1,6.49,0,1
STR-500541,TreatmentB,B01,95.2,2.06,0.2199,85,30.98,0.4015,0.2286,30.62,25.05,5,6.18,0,1
STR-500284,TreatmentB,B01,117.36,1.24,0.2297,1099,33.34,0.486,0.2913,15.51,34.07,3,4.9,1,0
STR-500310,Control,B01,73.54,2.51,0.1978,225,25.52,0.6111,0.1953,29.67,28.3,2,6.45,1,0
STR-500710,Control,B02,131.63,1.34,0.1907,164,51.1,0.5032,0.0591,25.13,30.31,3,6.18,1,0
STR-500705,TreatmentB,B02,72.08,0.71,0.2663,217,17.42,0.2334,0.5176,34.49,9.8,1,7.37,0,0
STR-500305,Control,B03,89.97,0.94,0.1791,205,31.76,0.3081,0.4859,46.91,22.94,4,7.96,1,0
STR-500887,Control,B03,101.83,1.41,0.2551,462,15.25,0.4381,0.4821,56.05,22.93,1,7.49,0,0
STR-500495,TreatmentA,B02,84.06,1.1,0.2012,967,13.1,0.5132,0.2851,15.96,26.11,2,6.36,1,1
STR-500003,TreatmentB,B03,78.39,2.56,0.1991,304,18.79,0.5935,0.4306,5.88,25.93,0,6.96,1,1
STR-500242,TreatmentB,B03,103.76,0.63,0.2408,438,11.87,0.5429,0.3135,21.26,19.76,1,4.81,0,0
STR-500651,Control,B02,125.52,2.49,0.2003,412,35.47,0.1527,0.5349,36.52,19.37,3,8.59,1,0
STR-500915,Control,B02,74.36,2.01,0.2156,327,52.01,0.2973,0.2626,37.43,27.94,2,4.62,0,0
STR-500797,TreatmentA,B03,102.99,1.63,0.2751,416,40.62,0.2645,0.3634,56.13,15.31,4,6.2,0,0
STR-500090,Control,B03,104.02,2.01,0.2497,645,44.46,0.4467,0.3508,52.17,23.21,3,6.69,1,1
STR-500754,TreatmentB,B01,106.2,0.94,0.2777,758,80.25,0.4894,0.4036,16.81,30.73,1,4.87,0,1
STR-500658,Control,B02,125.16,2.23,0.2897,272,149.16,0.4589,0.2881,30.99,21.31,3,7.14,0,1
STR-500229,Control,B01,101.59,1.57,0.2244,171,65.4,0.3797,0.2484,36.93,12.49,4,7.76,0,1
STR-500493,Control,B03,94.52,1.75,0.2887,417,45.84,0.2481,0.321,50.78,22.67,2,5.05,1,0
STR-500510,TreatmentA,B02,93.17,2.15,0.2047,226,51.23,0.2931,0.4484,25.55,26.56,2,6.38,1,0
STR-500896,Control,B02,94.91,1.61,0.2749,180,12.08,0.3068,0.3863,98.66,27.16,3,9.04,0,0
STR-500918,TreatmentB,B02,105.67,1.99,0.2517,403,109.39,0.488,0.2352,41.46,24.51,0,8.76,0,0
STR-500077,TreatmentA,B03,104.09,2.26,0.2803,697,11.2,0.5338,0.2339,19.84,20.53,2,7.47,0,0
STR-500960,TreatmentB,B03,96.3,1.16,0.2506,128,41.06,0.2634,0.2846,16.67,24.82,1,8.3,1,0
STR-500265,Control,B02,93.78,2.21,0.2314,152,15.69,0.3891,0.3897,18.36,15.68,2,7.53,1,1
STR-500560,TreatmentB,B02,95.36,1.32,0.2296,253,25.71,0.4161,0.1485,42.66,26.78,0,6.01,0,1
STR-500527,TreatmentA,B03,97.4,1.7,0.1538,227,46.43,0.6239,0.4528,29.97,21.08,2,5.25,1,1
STR-500545,TreatmentB,B01,113.45,1.21,0.1525,147,81.22,0.3852,0.4541,32.07,39.11,3,7.77,1,0
STR-500342,Control,B01,121.4,2.23,0.2194,83,35.47,0.327,0.616,24.95,29.36,2,8.03,1,0
STR-500345,Control,B01,92.93,2.59,0.2583,230,23.68,0.4406,0.2711,38.46,26.4,3,8.51,0,0
STR-500187,Control,B02,82.45,1.72,0.2187,223,29.92,0.4689,0.3556,14.85,18.09,3,7.72,1,1
STR-500798,TreatmentB,B02,64.69,1.33,0.234,459,19.61,0.3582,0.3147,-1.43,18.86,2,6.75,1,1
STR-500619,TreatmentA,B02,83.69,1.26,0.2109,104,42.54,0.4585,0.1934,41.03,27.09,4,7.3,1,0
STR-500070,TreatmentB,B01,98.29,1.52,0.2033,176,72.81,0.228,0.4684,20.64,17.81,0,7.26,1,0
STR-500665,Control,B03,109.5,2.49,0.1838,142,37.46,0.3535,0.2854,26.63,25.65,1,6.5,1,1
STR-500528,Control,B01,118.29,3.0,0.2733,137,37.56,0.6861,0.1728,24.84,15.26,1,6.37,0,0
STR-500770,TreatmentA,B01,81.76,1.8,0.2011,508,72.49,0.2452,0.1809,13.15,23.4,2,8.22,1,0
STR-500080,Control,B03,107.69,1.57,0.2565,274,23.42,0.5455,0.1589,27.28,23.03,1,5.22,1,0
STR-500096,TreatmentA,B02,90.01,3.16,0.2062,251,46.58,0.5261,0.287,33.01,15.89,3,7.41,0,0
STR-500976,TreatmentB,B01,127.56,2.81,0.1997,371,25.44,0.4929,0.4833,17.02,29.27,4,6.04,1,1
STR-500369,Control,B03,95.46,3.03,0.2236,415,43.55,0.6118,0.2008,42.02,21.03,4,8.2,0,1
STR-500775,TreatmentB,B01,89.57,0.88,0.2348,624,68.51,0.2102,0.1083,11.3,13.21,3,5.36,1,1
STR-500202,Control,B02,81.02,2.06,0.2448,166,10.69,0.276,0.4581,52.29,29.49,5,5.21,0,0
STR-500294,TreatmentA,B01,109.55,3.63,0.2586,267,23.02,0.6201,0.4356,38.13,29.91,1,6.0,0,1
STR-500446,TreatmentB,B02,115.28,1.06,0.2619,601,19.04,0.5191,0.2116,25.3,21.64,4,5.01,0,0
STR-500424,TreatmentA,B02,110.33,1.46,0.2469,369,71.19,0.4771,0.3923,10.06,19.31,2,5.54,1,1
STR-500865,TreatmentA,B01,96.56,1.7,0.2482,559,53.76,0.5328,0.2245,37.32,29.7,2,6.38,1,1
STR-500546,TreatmentB,B01,105.37,1.4,0.193,628,113.7,0.6648,0.3051,80.23,28.8,1,9.05,0,0
STR-500878,Control,B02,108.08,2.03,0.2385,168,42.65,0.084,0.4757,32.47,17.92,1,6.73,0,0
STR-500819,TreatmentA,B02,100.51,0.79,0.2104,126,23.52,0.4612,0.2316,26.64,27.94,2,5.81,1,0
STR-500082,Control,B01,98.24,3.21,0.1941,207,18.03,0.3878,0.3939,44.67,9.44,4,8.0,0,0
STR-500203,TreatmentB,B01,64.38,1.22,0.2083,607,9.44,0.191,0.234,33.17,28.81,3,6.41,1,1
STR-500693,TreatmentA,B01,97.11,3.54,0.221,2672,59.03,0.5379,0.1627,75.49,26.92,3,6.23,0,0
STR-500649,TreatmentB,B03,103.43,0.9,0.2474,270,170.38,0.4338,0.4854,1.51,25.13,4,9.14,1,0
STR-500262,TreatmentA,B03,87.86,3.11,0.2702,171,31.93,0.4532,0.258,19.21,28.0,0,6.58,0,1
STR-500178,TreatmentA,B03,107.31,1.92,0.2584,310,20.26,0.4446,0.3915,57.26,18.52,3,6.38,0,0
STR-500334,Control,B03,97.64,2.15,0.2399,680,20.9,0.6503,0.278,38.0,32.6,4,7.41,1,1
STR-500298,TreatmentA,B01,104.42,1.07,0.1745,278,15.28,0.6432,0.4486,13.35,26.25,3,7.64,1,1
STR-500977,TreatmentA,B03,111.64,1.45,0.2861,252,29.53,0.2735,0.2145,34.07,26.81,2,7.02,0,1
STR-500481,Control,B01,85.33,1.48,0.2566,599,12.96,0.3093,0.2309,39.68,20.35,4,8.25,0,1
STR-500060,TreatmentA,B02,96.2,2.23,0.2101,408,27.48,0.4113,0.1062,36.03,30.31,2,7.26,0,1
STR-500021,TreatmentA,B01,98.35,2.3,0.3004,144,35.59,0.2134,0.2348,63.75,26.23,1,6.04,0,0
STR-500955,TreatmentA,B02,111.97,1.66,0.2663,160,27.8,0.6787,0.3306,20.01,19.0,3,6.62,1,1
STR-500862,Control,B03,97.83,1.9,0.2416,399,37.23,0.5074,0.2372,54.47,24.07,2,3.99,0,0
STR-500570,Control,B03,124.9,1.68,0.228,212,36.79,0.3872,0.4888,52.5,19.42,0,5.01,0,0
STR-500190,TreatmentA,B03,79.12,1.32,0.245,176,26.23,0.6017,0.3804,34.83,15.29,2,7.25,1,1
STR-500015,TreatmentA,B01,79.56,1.28,0.2153,86,26.1,0.385,0.5778,53.52,16.11,3,6.94,0,1
STR-500877,Control,B01,106.79,1.99,0.2001,158,32.2,0.4681,0.3535,44.59,28.77,0,6.21,0,0
STR-500805,TreatmentB,B03,85.81,1.12,0.2742,211,79.49,0.4502,0.1855,22.86,19.46,3,9.05,1,0
