sample_id,group,batch,measure_1,resting_potential_mv,input_resistance_mohm,membrane_tau_ms,rheobase_pa,ap_threshold_mv,ap_half_width_ms,max_firing_rate_hz,spike_count,adaptation_index,target_a,target_b
NEU-500570,Control,B02,108.4,-63.69,104.2,21.48,113.5,-40.1,1.236,66.9,87,0.4572,1,1
NEU-500706,TreatmentA,B01,102.64,-65.99,99.1,21.69,79.2,-46.57,1.245,44.0,77,0.367,1,1
NEU-500233,TreatmentB,B02,82.8,-71.21,90.7,7.37,52.6,-40.29,0.854,56.8,73,0.3714,1,0
NEU-500235,Control,B03,79.53,-61.43,91.3,16.73,125.6,-47.59,1.049,38.7,80,0.4366,1,0
NEU-500231,TreatmentA,B02,87.61,-72.83,135.8,22.87,143.8,-47.73,0.746,44.2,99,0.3145,0,0
NEU-500480,TreatmentB,B02,83.35,-64.03,136.7,7.71,108.8,-44.79,0.622,57.7,73,0.3906,0,1
NEU-500985,Control,B01,133.99,-57.83,71.2,16.1,189.1,-44.82,1.181,54.9,78,0.7323,1,1
NEU-500415,Control,B01,96.8,-69.7,200.1,17.66,128.2,-48.16,1.185,57.1,81,0.1633,0,0
NEU-500218,TreatmentA,B02,123.18,-73.01,152.8,16.72,109.7,-47.17,0.975,27.7,90,0.5183,1,1
NEU-500446,TreatmentB,B03,133.67,-69.15,177.3,14.0,124.9,-48.88,0.66,84.8,77,0.2526,1,1
NEU-500732,TreatmentA,B01,86.55,-61.48,115.1,15.7,29.9,-41.11,0.76,33.9,95,0.4754,0,1
NEU-500141,Control,B02,99.5,-69.47,219.8,9.53,107.3,-41.86,1.43,43.7,96,0.6232,0,0
NEU-500978,TreatmentB,B02,101.95,-69.36,319.7,13.77,69.6,-37.41,0.881,72.6,80,0.5388,1,0
NEU-500585,Control,B01,106.37,-71.72,162.5,18.46,142.7,-35.71,1.38,11.8,88,0.4096,0,0
NEU-500266,TreatmentA,B02,108.8,-68.15,221.0,8.44,72.5,-38.4,0.724,74.5,84,0.2356,1,1
NEU-500972,Control,B01,110.8,-59.86,162.9,16.18,57.0,-33.92,1.072,32.8,96,0.5538,0,0
NEU-500750,TreatmentB,B03,97.79,-78.14,133.0,9.7,142.2,-45.59,1.476,81.4,79,0.4317,1,0
NEU-500449,Control,B02,120.56,-75.08,174.3,17.96,156.3,-36.74,1.111,33.0,92,0.7555,0,0
NEU-500288,TreatmentB,B01,100.64,-56.26,137.2,10.87,120.7,-36.73,1.756,60.0,96,0.1913,1,1
NEU-500574,TreatmentB,B01,122.21,-64.49,206.2,12.99,-17.9,-30.75,1.008,100.2,77,0.3078,1,1
NEU-500499,Control,B02,87.78,-60.55,203.4,13.38,126.7,-38.77,0.733,50.1,106,0.2973,0,1
NEU-500566,TreatmentA,B03,82.16,-57.5,377.4,10.27,119.3,-44.72,1.36,70.9,96,0.4237,1,0
NEU-500671,TreatmentA,B01,96.52,-64.47,98.5,11.58,57.2,-40.87,1.23,46.3,79,0.5621,1,0
NEU-500202,Control,B02,89.41,-55.75,487.9,11.85,59.2,-37.36,1.12,24.1,97,0.117,0,0
NEU-500652,Control,B02,97.27,-58.25,252.2,17.61,126.6,-48.46,1.483,41.4,93,0.5208,0,0
NEU-500318,TreatmentA,B03,114.94,-67.76,119.5,4.45,118.7,-43.56,1.139,36.2,84,0.3931,0,0
NEU-500414,TreatmentA,B01,86.57,-61.35,165.2,7.79,97.6,-42.33,0.903,63.9,90,0.2452,0,1
NEU-500450,Control,B01,95.03,-63.37,103.2,9.77,122.2,-39.55,1.107,34.5,86,0.1487,0,1
NEU-500316,Control,B02,108.13,-57.42,271.0,12.97,134.7,-43.95,0.957,63.7,97,0.3002,1,0
NEU-500742,TreatmentA,B03,109.43,-52.93,271.2,7.47,71.8,-38.72,1.107,50.2,103,0.669,1,0
NEU-500409,TreatmentB,B01,93.69,-67.93,204.8,20.09,54.2,-41.08,1.346,33.3,95,0.3784,0,0
NEU-500924,TreatmentA,B01,132.06,-64.05,146.6,15.43,76.1,-42.26,0.599,58.8,91,0.1645,0,0
NEU-500616,TreatmentB,B01,89.15,-69.49,271.9,11.72,58.4,-42.03,0.916,68.1,73,0.6852,0,0
NEU-500893,TreatmentA,B02,95.63,-59.29,308.7,9.07,58.3,-39.31,1.836,74.5,97,0.2351,1,1
NEU-500424,Control,B03,94.0,-68.85,184.3,27.25,140.2,-53.51,1.015,64.6,90,0.1582,0,0
NEU-500596,Control,B02,106.98,-65.68,100.7,12.21,27.3,-42.41,1.6,36.8,82,0.4624,1,1
NEU-500726,Control,B02,107.27,-68.11,211.0,9.48,115.4,-43.2,0.94,19.5,75,0.6635,0,0
NEU-500768,Control,B03,113.52,-66.54,446.1,8.3,144.1,-42.76,1.179,51.6,81,0.564,0,0
NEU-500571,Control,B03,98.84,-61.44,86.2,14.18,92.2,-33.78,0.628,44.5,88,0.3897,0,1
NEU-500221,TreatmentB,B03,127.99,-63.33,133.9,14.41,123.3,-44.19,1.706,64.5,81,0.5082,1,1
NEU-500452,Control,B01,100.37,-73.75,138.5,15.51,152.1,-35.59,1.84,58.6,73,0.5557,1,0
NEU-500012,TreatmentA,B03,119.21,-74.82,116.6,11.97,71.7,-44.49,0.693,47.5,68,0.4579,1,1
NEU-500794,TreatmentA,B03,109.86,-64.04,222.1,7.12,106.9,-41.3,1.196,46.5,69,0.3737,0,1
NEU-500035,TreatmentB,B01,103.54,-65.24,329.1,19.58,160.3,-47.74,1.152,50.8,92,0.2766,0,1
NEU-500026,TreatmentB,B03,77.65,-64.64,211.6,13.79,59.2,-38.92,0.839,58.9,96,0.4169,1,1
NEU-500637,TreatmentA,B01,86.83,-67.64,168.0,15.65,42.3,-36.67,0.895,53.6,80,0.4137,0,1
NEU-500285,Control,B03,117.39,-64.01,213.4,11.79,169.0,-37.11,0.765,46.1,85,0.4387,0,1
NEU-500847,TreatmentA,B01,86.73,-67.68,166.1,7.59,140.8,-40.62,1.116,63.7,77,0.5448,0,0
NEU-500324,Control,B01,113.7,-59.93,230.7,15.37,88.8,-41.29,0.836,29.9,95,0.5989,0,0
NEU-500309,TreatmentA,B01,100.02,-63.05,87.9,18.21,207.4,-44.93,0.465,41.8,94,0.1783,0,1
NEU-500905,TreatmentA,B02,86.82,-72.56,282.3,9.17,141.0,-42.24,0.874,63.8,82,0.1404,0,0
NEU-500464,TreatmentA,B01,115.94,-68.17,192.7,17.25,89.2,-42.66,1.101,55.2,104,0.5171,1,1
NEU-500695,TreatmentA,B03,117.13,-69.09,79.1,9.98,64.6,-44.71,1.174,48.5,89,0.4338,0,1
NEU-500720,Control,B02,121.94,-59.06,618.4,6.28,127.5,-45.29,0.86,33.1,112,0.4193,0,0
NEU-500701,Control,B01,89.27,-63.09,317.6,8.51,58.2,-49.8,0.822,45.0,86,0.7394,1,0
NEU-500062,Control,B03,110.06,-65.64,115.2,11.57,38.7,-42.17,1.032,32.6,79,0.4237,0,1
NEU-500642,Control,B01,92.37,-56.39,170.5,25.04,96.4,-46.56,0.945,26.1,88,0.6772,1,1
NEU-500894,Control,B01,115.9,-66.41,101.0,13.25,100.2,-41.02,0.864,38.2,81,0.5634,1,0
NEU-500024,Control,B02,109.09,-63.29,354.6,8.23,208.5,-38.25,0.535,34.7,89,0.5829,0,1
NEU-500380,Control,B03,77.85,-65.98,418.7,32.04,95.0,-45.56,1.119,49.6,81,0.1831,0,0
NEU-500138,TreatmentA,B02,81.49,-60.7,230.2,8.2,68.6,-36.19,1.804,28.7,89,0.3144,1,1
NEU-500356,TreatmentB,B02,92.5,-65.81,280.4,31.11,60.5,-36.83,0.612,56.0,84,0.3344,0,0
NEU-500831,TreatmentB,B03,108.73,-67.99,249.5,11.73,79.6,-40.43,0.921,50.2,84,0.2721,0,1
NEU-500843,TreatmentB,B02,104.62,-75.06,121.8,12.8,129.7,-39.61,0.66,67.5,94,0.5759,0,1
NEU-500999,TreatmentB,B02,98.55,-66.25,115.5,10.39,-1.4,-41.56,1.326,54.3,85,0.5242,0,0
NEU-500898,TreatmentA,B03,109.06,-71.61,147.0,16.87,84.0,-37.48,0.721,49.0,76,0.3717,1,0
NEU-500631,Control,B02,95.26,-64.27,231.8,25.4,167.0,-42.91,1.457,8.2,90,0.2052,0,0
NEU-500984,TreatmentB,B03,104.16,-68.6,126.2,19.96,28.6,-46.62,1.894,70.8,89,0.7084,1,1
NEU-500087,TreatmentB,B03,100.75,-67.59,167.1,20.32,67.5,-40.57,0.687,68.8,96,0.4605,1,1
NEU-500951,TreatmentA,B03,99.04,-65.28,74.0,12.48,118.7,-39.41,1.428,55.9,87,0.7841,1,1
NEU-500483,Control,B02,86.89,-58.83,329.4,17.27,116.8,-34.81,1.014,27.8,81,0.552,0,1
NEU-500326,TreatmentB,B02,97.79,-64.91,114.3,15.03,113.4,-45.52,1.431,59.8,90,0.3717,1,0
NEU-500485,Control,B01,84.74,-66.75,251.0,19.98,78.3,-44.6,0.897,17.0,81,0.1774,0,0
NEU-500345,Control,B03,97.35,-73.42,212.5,9.73,88.6,-46.65,1.335,43.8,85,0.1819,1,1
NEU-500511,Control,B01,99.79,-75.18,304.2,10.04,59.0,-46.29,0.575,25.1,77,0.3075,0,0
NEU-500777,TreatmentA,B03,117.76,-71.32,127.2,9.35,100.3,-39.83,1.2,47.2,96,0.3703,1,0
NEU-500494,TreatmentB,B03,78.36,-61.69,146.3,9.24,52.7,-33.79,1.296,75.3,104,0.6584,1,0
NEU-500001,Control,B03,69.22,-58.85,155.9,19.29,150.0,-44.21,1.107,68.6,91,0.5129,1,1
NEU-500471,TreatmentB,B03,108.27,-65.53,86.5,13.35,121.3,-44.34,1.98,73.0,96,0.3042,1,1
NEU-500368,TreatmentA,B01,85.19,-60.24,200.9,14.52,53.9,-43.2,0.482,66.8,66,0.4628,0,1
NEU-500621,TreatmentA,B01,107.36,-65.8,436.9,11.07,77.7,-41.06,0.933,30.5,81,0.2697,0,1
NEU-500556,TreatmentA,B03,103.77,-59.87,221.7,13.58,102.0,-39.73,1.761,70.5,90,0.5394,1,0
NEU-500931,TreatmentB,B01,108.13,-64.83,381.3,16.49,121.5,-40.34,1.284,52.2,76,0.4293,0,1
NEU-500411,TreatmentB,B02,93.37,-64.95,121.2,15.57,105.1,-37.65,1.466,106.0,86,0.3834,1,1
NEU-500244,TreatmentB,B03,97.88,-65.09,133.6,12.24,72.8,-42.64,0.871,52.5,89,0.5822,0,1
NEU-500552,TreatmentB,B02,96.73,-56.92,193.7,8.32,115.7,-47.15,1.208,68.7,92,0.4148,1,0
NEU-500184,Control,B03,112.46,-64.88,187.0,15.16,101.9,-37.71,1.975,20.1,76,0.4862,1,1
NEU-500943,Control,B02,89.38,-73.11,210.6,22.9,111.7,-52.9,1.272,56.6,79,0.6713,1,1
NEU-500855,Control,B01,106.56,-57.61,123.0,13.33,107.9,-44.79,0.855,27.4,82,0.5559,0,1
NEU-500753,TreatmentA,B02,105.9,-69.37,145.3,21.32,76.2,-35.31,1.374,47.2,86,0.5074,0,1
NEU-500274,TreatmentA,B02,112.41,-63.56,153.5,17.85,159.6,-43.42,1.412,40.9,80,0.4967,1,1
NEU-500225,Control,B02,120.02,-63.85,322.2,21.71,92.9,-47.78,0.93,42.8,77,0.3839,0,1
NEU-500801,Control,B02,90.4,-66.77,123.9,14.32,165.0,-42.92,0.985,56.6,82,0.1864,0,1
NEU-500313,Control,B03,112.42,-59.69,218.2,9.27,102.4,-45.06,0.816,34.8,84,0.6447,0,0
NEU-500727,Control,B02,132.52,-63.4,165.4,19.61,116.1,-40.74,0.938,20.0,81,0.2881,0,0
NEU-500269,TreatmentB,B01,110.44,-59.34,223.0,5.58,55.8,-40.56,1.434,77.0,77,0.2394,1,1
NEU-500029,TreatmentB,B03,92.41,-69.93,332.8,24.66,173.7,-42.57,0.889,79.0,78,0.4599,0,1
NEU-500836,Control,B01,99.59,-59.46,195.2,15.7,91.5,-41.7,0.921,38.3,95,0.5603,1,1
NEU-500937,Control,B02,90.19,-63.53,170.5,9.48,152.0,-38.64,1.064,41.9,97,0.4563,1,0
NEU-500581,TreatmentA,B03,96.25,-64.11,169.4,11.78,112.4,-41.04,0.845,49.0,81,0.2651,1,1
NEU-500351,Control,B02,105.89,-67.3,145.0,11.62,120.0,-40.42,0.657,34.9,92,0.2483,0,1
NEU-500295,TreatmentA,B03,95.48,-76.89,107.8,22.08,167.5,-52.28,0.997,57.0,84,0.471,1,0
NEU-500949,Control,B02,99.2,-64.19,227.1,19.99,186.1,-46.0,0.831,29.8,74,0.1021,0,0
NEU-500169,TreatmentB,B01,131.18,-56.08,125.2,17.29,44.6,-39.9,0.964,79.5,100,0.3591,1,0
NEU-500119,TreatmentA,B01,99.24,-66.25,235.3,12.59,145.3,-40.52,1.128,58.2,103,0.217,1,1
NEU-500405,TreatmentB,B02,96.24,-62.39,125.3,14.35,91.8,-42.99,0.982,52.0,84,0.2171,0,1
NEU-500613,TreatmentA,B02,75.07,-70.54,264.2,25.94,58.2,-42.51,0.979,48.5,94,0.4315,0,0
NEU-500240,TreatmentA,B02,82.06,-60.18,126.6,17.36,149.5,-43.57,1.368,51.1,92,0.3429,1,0
NEU-500600,TreatmentB,B02,106.97,-65.84,202.0,22.78,119.0,-40.43,1.284,26.9,88,0.5344,0,1
NEU-500914,TreatmentA,B01,117.35,-71.43,108.5,9.32,99.5,-45.14,1.421,69.2,82,0.324,1,1
NEU-500236,TreatmentA,B03,103.66,-72.21,325.0,11.86,95.3,-38.27,1.216,43.2,75,0.2489,0,0
NEU-500708,TreatmentB,B01,90.53,-74.46,135.3,13.64,82.2,-35.53,0.839,67.0,88,0.616,1,0
NEU-500268,Control,B01,106.21,-64.5,129.7,12.41,112.6,-40.58,1.517,48.3,93,0.1677,1,1
NEU-500922,TreatmentA,B03,102.42,-59.3,90.5,13.55,61.4,-45.09,0.603,27.2,94,0.2588,0,0
NEU-500950,TreatmentB,B01,70.6,-67.84,161.0,6.64,58.5,-42.84,1.266,65.3,76,0.2004,0,1
NEU-500250,TreatmentA,B01,111.95,-62.98,284.0,8.95,142.2,-38.37,0.958,44.1,91,0.3696,0,1
NEU-500346,TreatmentA,B03,127.99,-64.19,208.5,32.98,80.6,-39.14,0.973,13.6,90,0.5001,0,1
NEU-500284,Control,B02,87.27,-63.83,207.9,11.42,71.7,-30.67,1.437,41.7,80,0.4518,1,1
NEU-500395,Control,B02,118.44,-60.08,125.7,9.77,86.3,-44.7,0.655,31.1,61,0.1905,0,1
NEU-500102,TreatmentA,B03,97.29,-76.85,535.2,16.94,139.9,-41.63,0.723,52.2,73,0.4336,0,0
NEU-500816,TreatmentB,B01,92.02,-61.38,145.7,18.17,147.6,-42.36,1.687,55.6,97,0.5818,1,1
NEU-500051,TreatmentB,B02,100.96,-76.28,135.9,5.84,105.6,-44.36,1.152,94.0,82,0.4954,1,0
NEU-500888,TreatmentA,B02,93.93,-64.75,146.2,29.61,110.4,-43.25,1.638,60.7,87,0.2954,1,0
NEU-500762,TreatmentB,B01,79.54,-58.4,63.0,11.08,82.6,-48.77,1.837,59.6,69,0.4485,1,0
NEU-500861,TreatmentA,B01,75.53,-71.91,144.7,16.18,138.5,-47.59,0.914,62.8,87,0.2484,0,0
NEU-500093,TreatmentB,B02,111.59,-67.69,82.2,15.61,92.9,-48.62,1.174,51.6,102,0.3327,0,1
NEU-500011,TreatmentB,B02,77.81,-59.93,138.0,11.28,87.3,-43.96,0.989,64.3,75,0.1903,1,1
NEU-500432,TreatmentB,B01,112.2,-66.98,321.8,20.54,76.5,-47.96,1.335,66.5,88,0.3353,1,1
NEU-500152,TreatmentA,B03,101.81,-67.38,77.6,22.49,144.4,-48.81,1.223,44.2,92,0.5047,1,1
NEU-500468,Control,B02,85.15,-60.18,301.8,3.58,169.2,-45.76,0.661,48.7,88,0.5492,0,0
NEU-500257,TreatmentB,B01,114.86,-72.06,93.7,10.82,120.7,-40.97,1.714,60.9,79,0.3724,1,0
NEU-500142,Control,B03,96.1,-69.69,81.3,9.32,78.6,-36.06,0.909,50.8,90,0.3489,0,1
NEU-500915,TreatmentA,B03,109.75,-61.47,144.1,18.11,74.2,-45.43,0.962,19.0,73,0.5189,0,1
NEU-500009,Control,B01,74.05,-75.11,262.0,13.13,149.9,-40.39,1.239,49.4,85,0.1701,1,0
NEU-500577,TreatmentB,B02,86.34,-67.83,357.8,8.32,112.6,-44.0,1.187,82.2,94,0.6031,0,1
NEU-500863,TreatmentA,B01,111.32,-66.68,235.4,15.97,49.4,-37.75,1.28,65.6,88,0.3468,1,1
NEU-500293,TreatmentA,B02,90.62,-61.63,261.1,14.95,73.9,-39.51,0.561,50.9,83,0.5866,0,0
NEU-500200,TreatmentB,B01,77.29,-66.91,679.9,18.07,104.6,-42.19,0.897,37.1,90,0.5648,0,1
NEU-500628,TreatmentB,B01,102.65,-68.66,218.2,8.37,32.5,-42.51,1.739,87.7,77,0.4181,1,1
NEU-500923,TreatmentB,B01,85.82,-65.83,311.7,13.86,87.5,-34.69,0.464,63.8,100,0.2663,0,1
NEU-500056,TreatmentB,B02,116.39,-55.75,288.8,30.32,16.5,-39.94,0.933,48.5,86,0.4243,0,0
NEU-500567,TreatmentB,B01,106.44,-61.51,145.7,17.31,39.3,-45.97,1.153,66.0,89,0.3059,1,0
NEU-500246,Control,B02,130.51,-60.99,152.5,25.93,96.7,-49.68,1.224,31.6,86,0.6374,1,1
NEU-500526,TreatmentA,B01,113.94,-64.14,185.4,8.59,82.2,-40.74,0.585,45.5,85,0.1143,1,1
NEU-500810,TreatmentB,B01,88.81,-68.43,147.2,22.66,117.5,-45.01,0.994,50.5,73,0.7233,0,1
NEU-500641,TreatmentA,B01,98.65,-65.8,74.7,20.32,86.0,-34.12,1.283,42.4,80,0.2796,1,0
NEU-500883,TreatmentB,B02,110.95,-73.15,131.7,11.65,42.7,-44.14,0.833,44.9,88,0.3619,1,0
NEU-500120,Control,B03,98.49,-70.88,128.8,14.16,166.9,-39.15,0.944,32.1,78,0.0951,0,1
NEU-500974,TreatmentA,B02,129.34,-55.32,173.4,10.14,22.6,-36.03,1.029,51.8,80,0.5833,1,0
NEU-500882,Control,B01,98.8,-58.73,103.1,22.4,158.6,-41.02,1.437,42.2,88,0.3557,1,0
NEU-500168,TreatmentB,B03,95.5,-67.36,169.7,11.31,88.7,-41.58,0.859,46.0,89,0.2441,1,1
NEU-500363,TreatmentB,B03,99.45,-56.55,194.2,9.95,117.2,-41.97,0.671,81.8,67,0.5513,0,0
NEU-500279,TreatmentA,B02,94.48,-74.39,124.7,18.97,112.0,-42.98,1.481,36.2,88,0.3659,1,0
NEU-500804,TreatmentA,B03,98.12,-65.4,115.2,11.15,73.0,-39.85,0.486,60.3,73,0.6392,0,0
NEU-500085,Control,B03,110.98,-67.77,464.1,24.22,92.0,-37.77,0.878,41.6,87,0.3879,0,1
NEU-500767,Control,B01,105.6,-64.14,322.4,6.05,136.3,-38.64,0.97,55.7,82,0.1004,1,1
NEU-500118,Control,B01,111.63,-59.06,204.5,13.14,143.2,-43.79,0.733,70.3,80,0.5391,1,0
NEU-500595,TreatmentA,B03,91.88,-75.1,371.6,17.39,126.8,-46.03,1.906,40.9,80,0.4492,0,0
NEU-500304,TreatmentB,B02,122.99,-69.26,160.5,6.85,82.3,-42.98,0.777,79.2,77,0.4029,1,1
NEU-500412,Control,B03,127.24,-63.06,453.7,18.57,112.8,-43.26,1.328,45.6,82,0.1614,0,1
NEU-500789,TreatmentB,B01,106.76,-63.1,142.7,11.54,-0.1,-33.34,0.763,61.4,98,0.7107,0,1
NEU-500911,Control,B01,89.94,-66.25,143.5,13.76,105.1,-45.46,1.351,36.3,106,0.5023,0,1
NEU-500895,TreatmentA,B01,108.51,-69.17,203.2,20.46,103.2,-40.12,1.206,55.6,76,0.5422,0,1
NEU-500049,Control,B02,89.87,-61.72,230.6,14.25,167.3,-45.54,0.405,63.4,101,0.4685,1,1
NEU-500482,TreatmentA,B02,89.87,-67.37,96.1,19.82,37.5,-35.21,1.62,53.4,105,0.3,1,1
NEU-500028,TreatmentA,B03,116.81,-59.72,107.3,15.65,78.4,-43.26,1.033,55.8,89,0.4756,1,0
NEU-500650,Control,B03,102.97,-65.26,142.0,19.46,105.0,-36.58,1.153,21.6,82,0.4622,0,1
NEU-500658,Control,B01,119.37,-72.39,171.9,10.65,88.3,-37.9,1.106,35.0,70,0.5477,0,0
NEU-500851,TreatmentA,B02,108.73,-68.11,354.9,7.73,126.6,-45.08,1.268,63.7,85,0.4293,0,1
NEU-500968,TreatmentB,B01,127.57,-58.96,290.2,11.09,50.9,-36.02,1.614,56.0,88,0.2877,1,1
NEU-500206,Control,B01,79.28,-56.79,211.8,34.84,131.9,-43.87,0.921,46.7,94,0.5218,0,1
NEU-500040,TreatmentB,B03,96.77,-65.95,327.1,13.48,56.5,-42.91,0.757,93.7,78,0.3028,0,1
NEU-500310,Control,B03,72.56,-68.51,316.8,6.69,188.2,-38.48,1.426,53.9,94,0.4997,1,0
NEU-500875,TreatmentB,B03,97.32,-67.32,247.4,13.6,104.2,-43.02,0.668,41.2,92,0.7566,0,1
NEU-500739,TreatmentB,B02,90.51,-65.26,66.1,12.35,110.0,-36.69,1.11,89.9,83,0.2614,1,1
NEU-500117,TreatmentA,B01,106.89,-61.26,130.8,11.41,90.5,-43.14,0.69,40.9,80,0.5584,1,0
NEU-500148,TreatmentB,B02,128.63,-61.69,215.2,10.86,65.7,-40.78,0.771,65.1,79,0.2396,1,1
NEU-500744,TreatmentB,B01,88.06,-54.49,219.9,6.76,51.5,-46.1,0.637,63.2,97,0.2189,1,1
NEU-500372,TreatmentA,B01,97.53,-66.37,112.8,20.48,85.6,-48.1,1.212,45.4,97,0.4544,1,1
NEU-500565,TreatmentA,B02,98.03,-68.17,554.4,15.32,58.3,-41.96,1.061,63.8,95,0.2353,0,1
NEU-500321,TreatmentB,B01,98.41,-61.91,286.6,14.84,101.8,-37.05,0.768,68.2,99,0.5778,0,1
NEU-500946,TreatmentB,B03,100.55,-67.54,73.1,14.09,106.8,-47.21,1.223,71.5,83,0.3803,1,1
NEU-500110,TreatmentB,B03,112.27,-58.38,247.6,25.2,134.9,-46.1,1.309,97.4,82,0.3038,1,0
NEU-500013,Control,B02,128.75,-76.47,152.4,16.32,136.7,-46.18,0.934,71.3,81,0.4235,1,0
NEU-500455,TreatmentA,B01,102.7,-66.65,120.1,8.06,136.9,-46.7,0.719,54.0,88,0.4244,0,1
NEU-500226,TreatmentA,B01,133.55,-63.31,100.0,8.56,90.4,-38.39,0.828,54.0,82,0.3666,0,1
NEU-500435,Control,B01,118.69,-71.69,129.5,10.54,88.5,-40.74,0.814,55.6,90,0.5637,1,0
NEU-500711,TreatmentB,B03,83.45,-68.26,280.7,10.94,143.7,-44.04,0.933,52.4,75,0.3392,1,1
NEU-500385,TreatmentA,B01,70.44,-63.2,122.1,10.91,156.3,-42.04,0.882,30.1,91,0.2076,0,1
NEU-500874,TreatmentB,B02,116.21,-69.19,176.9,12.75,65.7,-34.57,0.746,85.6,66,0.2724,1,1
NEU-500232,Control,B03,109.1,-56.67,458.4,7.85,84.2,-40.31,1.135,39.6,82,0.4081,0,0
NEU-500909,TreatmentB,B01,98.67,-50.79,63.5,8.21,35.0,-40.92,0.99,61.7,75,0.2546,1,0
NEU-500339,Control,B03,100.46,-82.61,151.3,14.95,114.2,-44.0,1.089,42.3,89,0.5509,1,1
NEU-500104,TreatmentA,B01,98.12,-67.11,102.8,27.35,163.9,-44.9,0.868,53.1,85,0.568,1,1
NEU-500930,TreatmentA,B03,112.0,-64.82,115.6,21.42,81.1,-42.55,0.917,43.3,82,0.5762,0,1
NEU-500352,TreatmentB,B03,91.81,-63.98,88.0,12.29,54.2,-42.23,1.215,64.3,86,0.2673,1,1
NEU-500860,TreatmentB,B01,137.38,-69.2,104.0,10.91,81.5,-41.23,0.97,65.2,87,0.6772,0,0
NEU-500791,TreatmentB,B03,96.12,-62.54,444.1,15.03,48.8,-38.06,0.733,57.1,84,0.1368,0,0
NEU-500097,TreatmentB,B01,86.22,-64.63,128.1,6.9,61.6,-38.1,1.059,42.8,77,0.5469,1,0
NEU-500143,Control,B02,92.28,-63.09,220.5,15.88,122.0,-48.58,0.704,44.8,86,0.3474,0,1
NEU-500793,TreatmentA,B02,100.9,-65.2,147.1,6.62,84.7,-47.28,0.972,50.0,100,0.4475,1,1
NEU-500224,TreatmentA,B02,97.14,-57.02,92.8,12.68,128.9,-37.27,1.488,45.8,91,0.299,1,0
NEU-500270,TreatmentA,B03,92.85,-69.45,348.2,9.98,72.2,-35.43,0.878,37.9,85,0.1649,0,1
NEU-500670,TreatmentB,B03,104.26,-58.68,181.0,24.24,56.2,-45.82,0.999,78.9,76,0.3655,0,0
NEU-500098,TreatmentB,B02,86.08,-62.28,327.7,15.91,86.6,-39.83,0.773,49.1,87,0.2255,0,1
NEU-500604,TreatmentB,B03,102.7,-64.54,158.9,14.61,99.2,-44.82,1.092,69.5,79,0.1661,1,1
NEU-500813,Control,B01,92.43,-66.44,226.5,11.76,173.2,-50.42,0.664,53.3,88,0.5998,0,0
NEU-500343,TreatmentA,B02,127.65,-69.5,249.3,8.8,134.3,-43.92,0.834,70.5,76,0.4765,1,1
