sample_id,role,colony,body_mass_g,age_months,resting_metabolic_rate,body_temp_c,hypoxia_survival_min,hyaluronan_mda,cortisol_ng_ml,incisor_wear_score,chirps_per_hour,grooming_events_day,telomere_length_kb,target_a,target_b
NMR-000032,Soldier,Colony-B,38.8,135,0.288,32.9,10.4,5.55,13.87,0.287,21,12,15.87,0,0
NMR-000033,Worker,Colony-D,35.9,153,0.243,32.6,16.5,7.5,14.77,0.077,24,12,17.51,0,1
NMR-000034,Soldier,Colony-B,25.2,64,0.357,32.7,9.8,5.85,4.79,0.48,24,17,21.39,0,0
NMR-000035,Queen,Colony-D,35.2,78,0.225,31.9,26.9,5.9,10.83,0.449,27,11,16.92,1,0
NMR-000036,Worker,Colony-B,26.6,59,0.269,32.7,22.0,6.72,14.38,0.138,23,10,15.25,0,1
NMR-000037,Soldier,Colony-D,33.0,44,0.212,33.9,23.0,5.55,16.45,0.355,22,13,18.63,1,0
NMR-000038,Queen,Colony-E,44.9,68,0.225,32.5,12.7,5.4,14.91,0.365,20,5,21.73,1,0
NMR-000039,Worker,Colony-A,30.9,34,0.327,32.9,22.4,6.71,13.88,0.526,23,6,17.15,0,1
NMR-000040,Soldier,Colony-E,33.3,64,0.201,31.8,35.8,4.89,12.71,0.233,25,10,21.46,1,0
NMR-000041,Worker,Colony-D,17.5,20,0.266,32.1,13.7,5.86,13.48,0.149,26,14,23.64,1,1
NMR-000042,Worker,Colony-E,22.9,81,0.231,33.2,19.0,5.86,20.2,0.463,17,5,23.57,1,0
NMR-000043,Worker,Colony-D,29.8,40,0.282,32.0,26.9,5.48,22.43,0.293,17,10,28.64,1,1
NMR-000044,Worker,Colony-B,26.2,33,0.222,33.0,18.4,5.27,10.49,0.217,25,7,14.2,0,1
NMR-000045,Worker,Colony-B,27.8,21,0.328,30.3,6.4,6.34,22.47,0.1,21,17,21.42,1,0
NMR-000046,Soldier,Colony-C,46.4,117,0.287,32.4,24.1,4.52,23.03,0.507,21,13,16.25,1,0
NMR-000047,Soldier,Colony-A,35.6,42,0.327,31.7,12.3,6.98,5.84,0.105,20,10,21.88,1,1
NMR-000048,Worker,Colony-E,25.8,79,0.259,32.0,16.6,8.18,16.2,0.16,16,12,27.01,1,1
NMR-000049,Worker,Colony-B,25.0,37,0.498,31.8,18.3,6.61,11.19,0.227,25,11,13.5,0,1
NMR-000050,Worker,Colony-D,22.0,121,0.274,32.8,17.3,9.01,12.06,0.218,27,13,14.22,0,1
NMR-000051,Worker,Colony-E,35.1,72,0.25,34.3,12.0,7.27,11.06,0.354,30,14,21.57,0,0
NMR-000052,Breeder,Colony-B,35.8,75,0.277,31.8,25.3,6.71,2.98,0.072,36,10,24.0,1,0
NMR-000053,Worker,Colony-B,31.6,46,0.394,31.6,16.2,7.22,12.13,0.08,25,10,19.97,0,1
NMR-000054,Worker,Colony-C,13.4,41,0.19,32.1,15.8,7.93,13.04,0.459,29,13,12.98,0,0
NMR-000055,Worker,Colony-A,36.2,61,0.266,31.4,24.7,7.77,10.01,0.553,25,14,18.96,1,0
NMR-000056,Worker,Colony-E,26.5,17,0.286,31.2,10.9,5.74,10.02,0.153,25,15,20.28,0,1
NMR-000057,Soldier,Colony-A,28.6,37,0.495,32.2,9.1,7.58,13.43,0.641,20,9,22.38,0,1
NMR-000058,Soldier,Colony-C,29.8,22,0.182,31.8,19.6,5.26,17.7,0.504,24,13,19.37,0,1
NMR-000059,Breeder,Colony-C,38.7,19,0.18,31.2,20.0,6.95,9.05,0.308,13,19,18.28,1,0
NMR-000060,Soldier,Colony-E,37.2,24,0.262,31.3,23.4,6.33,11.78,0.441,18,6,18.91,0,1
NMR-000061,Worker,Colony-D,30.9,32,0.268,32.1,26.9,6.76,12.94,0.372,19,11,19.21,1,0
NMR-000062,Worker,Colony-D,20.1,115,0.196,32.3,13.6,6.96,13.91,0.319,31,12,18.55,1,1
NMR-000063,Worker,Colony-E,24.1,51,0.202,32.6,25.7,6.4,16.55,0.305,24,10,15.8,0,1
NMR-000064,Worker,Colony-C,27.5,24,0.226,32.8,29.2,8.88,10.03,0.217,30,6,21.12,1,0
NMR-000065,Soldier,Colony-B,31.3,24,0.173,30.9,11.9,5.78,11.45,0.371,18,9,23.84,1,1
NMR-000066,Worker,Colony-B,35.9,47,0.277,30.6,8.7,4.64,11.17,0.417,21,13,23.99,0,0
NMR-000067,Breeder,Colony-C,40.8,70,0.237,31.1,14.9,9.25,9.61,0.447,23,13,21.36,0,1
NMR-000068,Worker,Colony-E,26.5,48,0.232,31.8,25.9,8.07,22.9,0.116,25,14,21.43,1,1
NMR-000069,Soldier,Colony-D,25.4,40,0.148,32.2,51.7,8.54,13.58,0.114,18,8,20.03,1,0
NMR-000070,Worker,Colony-D,27.2,19,0.406,32.8,14.3,4.87,14.11,0.194,24,18,17.09,0,1
NMR-000071,Worker,Colony-E,23.0,71,0.269,31.7,29.4,7.85,14.37,0.248,20,10,18.46,0,1
NMR-000072,Soldier,Colony-C,38.8,73,0.263,31.2,59.3,6.37,9.95,0.518,22,12,18.54,1,0
NMR-000073,Worker,Colony-E,25.6,63,0.223,32.4,11.8,6.49,9.57,0.18,20,12,20.18,1,0
NMR-000074,Worker,Colony-C,11.9,54,0.241,30.9,13.2,6.28,19.22,0.269,22,10,22.2,1,0
NMR-000075,Worker,Colony-E,36.2,99,0.21,33.5,31.8,7.48,21.78,0.118,26,13,19.79,1,0
NMR-000076,Worker,Colony-A,24.6,40,0.198,32.1,32.8,7.89,16.67,0.226,28,9,19.31,1,0
NMR-000077,Worker,Colony-E,27.2,27,0.409,34.3,24.0,7.27,13.38,0.289,29,15,17.95,0,0
NMR-000078,Worker,Colony-E,26.3,15,0.18,33.0,18.8,8.09,12.16,0.32,26,6,17.53,0,0
NMR-000079,Soldier,Colony-B,34.2,142,0.356,32.4,25.9,7.53,11.14,0.152,20,18,17.88,1,1
NMR-000080,Soldier,Colony-D,23.7,47,0.234,31.5,11.0,9.36,15.15,0.339,31,9,20.66,0,0
NMR-000081,Soldier,Colony-E,29.8,30,0.344,31.9,21.0,9.18,4.16,0.316,22,12,20.79,1,0
NMR-000082,Worker,Colony-B,25.8,56,0.251,32.1,61.1,6.37,13.17,0.415,17,13,17.93,1,1
NMR-000083,Queen,Colony-D,45.4,84,0.366,31.4,13.4,5.01,4.73,0.27,19,11,14.94,0,0
NMR-000084,Worker,Colony-D,24.5,25,0.269,32.5,18.9,6.72,19.82,0.274,20,5,26.89,1,0
NMR-000085,Breeder,Colony-A,37.3,65,0.125,34.1,17.1,4.45,8.29,0.252,22,13,24.6,1,0
NMR-000086,Worker,Colony-C,33.6,39,0.353,31.9,9.4,5.62,14.06,0.345,23,8,20.97,1,1
NMR-000087,Worker,Colony-C,32.5,29,0.172,32.5,14.9,5.93,33.94,0.255,19,14,20.02,1,1
NMR-000088,Worker,Colony-E,40.2,84,0.202,34.1,14.5,7.06,15.14,0.151,23,11,21.94,1,0
NMR-000089,Soldier,Colony-E,38.8,31,0.184,31.9,8.2,7.93,8.58,0.257,16,12,18.25,0,1
NMR-000090,Worker,Colony-B,21.2,110,0.187,32.9,17.1,6.59,12.04,0.597,24,14,20.5,1,1
NMR-000091,Worker,Colony-E,38.2,73,0.294,32.3,31.9,6.55,13.52,0.217,28,13,18.17,0,1
NMR-000092,Worker,Colony-B,27.9,72,0.343,30.7,13.6,5.86,24.95,0.154,23,9,17.04,0,0
NMR-000093,Worker,Colony-C,31.1,58,0.248,31.4,18.3,7.84,20.34,0.311,20,7,20.28,1,0
NMR-000094,Soldier,Colony-C,30.3,50,0.122,33.1,18.7,6.95,13.13,0.444,12,15,25.44,1,0
NMR-000095,Worker,Colony-C,24.5,66,0.575,31.3,33.6,7.9,11.05,0.304,25,12,22.02,0,0
NMR-000096,Soldier,Colony-B,45.0,41,0.253,32.2,24.8,6.89,13.65,0.231,20,9,17.24,1,1
NMR-000097,Worker,Colony-B,41.1,36,0.342,34.5,12.1,7.86,23.48,0.379,21,8,24.95,0,0
NMR-000098,Queen,Colony-B,37.4,43,0.246,31.6,34.2,6.68,2.46,0.271,31,13,14.47,1,1
NMR-000099,Soldier,Colony-B,37.3,13,0.343,31.6,8.2,6.84,9.85,0.328,25,11,20.53,0,0
NMR-000100,Breeder,Colony-B,37.3,56,0.237,31.9,18.8,6.45,7.05,0.231,17,11,24.82,1,0
NMR-000101,Soldier,Colony-C,29.3,39,0.285,31.7,12.7,7.64,5.79,0.427,18,7,22.96,0,0
NMR-000102,Worker,Colony-B,22.6,29,0.171,30.7,30.0,8.67,10.66,0.548,18,13,20.18,1,0
NMR-000103,Breeder,Colony-A,29.8,79,0.182,32.1,12.6,6.28,4.76,0.164,29,13,25.08,1,1
NMR-000104,Worker,Colony-E,26.1,74,0.313,32.4,18.7,7.55,16.58,0.185,26,10,21.89,0,1
NMR-000105,Soldier,Colony-B,31.8,55,0.369,33.2,8.4,5.82,13.02,0.293,10,11,24.42,0,0
NMR-000106,Worker,Colony-D,32.0,113,0.217,34.9,51.4,7.97,16.87,0.307,25,6,26.87,1,1
NMR-000107,Worker,Colony-B,26.6,37,0.27,31.5,13.1,6.0,17.24,0.218,28,15,18.6,0,1
NMR-000108,Breeder,Colony-E,38.2,80,0.344,33.5,10.1,6.54,21.71,0.362,22,9,20.64,0,0
NMR-000109,Soldier,Colony-D,30.4,212,0.256,31.9,10.4,5.86,6.76,0.099,22,10,20.58,1,0
NMR-000110,Worker,Colony-E,30.1,25,0.153,33.3,11.1,5.47,15.99,0.271,19,15,22.59,1,1
NMR-000111,Breeder,Colony-C,34.2,30,0.179,31.9,19.1,7.89,10.44,0.442,20,11,16.31,1,0
NMR-000112,Breeder,Colony-D,40.0,26,0.228,34.0,15.6,6.01,6.0,0.116,21,12,20.38,0,0
NMR-000113,Worker,Colony-E,24.6,72,0.319,31.6,17.1,7.72,15.12,0.432,22,7,17.71,0,1
NMR-000114,Soldier,Colony-D,27.4,72,0.264,31.6,42.9,6.26,17.25,0.453,26,7,19.81,1,0
NMR-000115,Worker,Colony-B,29.7,36,0.254,32.5,32.7,6.09,16.88,0.202,27,15,20.97,1,1
NMR-000116,Breeder,Colony-D,44.3,59,0.275,32.3,31.0,5.96,5.42,0.365,28,15,22.8,1,1
NMR-000117,Worker,Colony-A,31.0,34,0.243,31.9,14.2,6.61,10.96,0.325,27,7,22.32,1,1
NMR-000118,Worker,Colony-A,26.6,30,0.273,33.6,17.5,7.15,16.0,0.235,16,11,25.26,1,0
NMR-000119,Worker,Colony-A,24.3,140,0.14,33.0,9.3,6.97,13.37,0.176,23,9,18.32,1,0
NMR-000120,Worker,Colony-D,35.3,39,0.306,33.0,35.6,6.54,7.62,0.428,23,4,19.37,0,0
NMR-000121,Worker,Colony-E,28.1,63,0.243,32.6,11.6,5.53,17.98,0.257,27,7,25.44,1,1
NMR-000122,Soldier,Colony-C,38.9,49,0.369,32.0,17.2,8.61,10.77,0.361,24,8,26.58,1,1
NMR-000123,Worker,Colony-E,32.6,76,0.159,32.6,13.1,5.07,15.72,0.294,18,12,16.43,0,1
NMR-000124,Worker,Colony-C,19.6,99,0.45,32.1,44.6,6.8,11.09,0.318,24,11,20.17,1,1
NMR-000125,Worker,Colony-A,27.1,84,0.206,32.5,46.3,7.36,18.55,0.568,24,17,17.57,1,1
NMR-000126,Soldier,Colony-C,32.2,66,0.191,32.6,11.7,7.45,4.85,0.321,29,11,17.27,1,1
NMR-000127,Worker,Colony-E,19.9,57,0.174,30.5,18.1,9.04,9.03,0.166,24,14,23.72,1,0
NMR-000128,Soldier,Colony-B,33.7,37,0.298,33.3,19.5,6.07,12.19,0.269,17,11,20.57,0,1
NMR-000129,Worker,Colony-C,20.5,42,0.239,33.1,12.4,7.78,12.65,0.194,28,12,17.86,1,0
NMR-000130,Worker,Colony-B,24.4,24,0.167,31.2,12.0,8.56,13.62,0.133,22,11,18.31,1,0
NMR-000131,Soldier,Colony-B,34.1,47,0.425,31.5,29.2,8.14,13.3,0.073,28,7,21.14,0,0
NMR-000132,Worker,Colony-C,25.5,97,0.187,32.2,30.4,7.61,11.77,0.262,26,2,21.36,1,1
NMR-000133,Soldier,Colony-C,36.6,46,0.289,31.9,11.0,5.97,12.9,0.08,28,11,16.31,0,1
NMR-000134,Worker,Colony-C,37.1,67,0.156,30.6,46.3,7.6,9.9,0.22,13,13,18.97,1,0
NMR-000135,Worker,Colony-A,34.5,64,0.146,31.7,17.6,5.94,14.17,0.133,24,10,23.26,1,0
NMR-000136,Worker,Colony-A,30.7,91,0.199,30.8,31.5,6.15,20.49,0.417,20,5,14.03,1,0
NMR-000137,Soldier,Colony-E,37.9,74,0.29,31.2,8.7,7.74,25.68,0.208,21,8,19.65,0,1
NMR-000138,Queen,Colony-A,35.8,52,0.24,32.2,15.5,7.22,2.84,0.183,35,6,19.59,0,1
NMR-000139,Worker,Colony-E,30.5,99,0.26,32.4,15.3,5.68,13.06,0.215,19,13,21.36,0,1
NMR-000140,Worker,Colony-D,26.7,123,0.199,30.5,11.6,5.19,8.45,0.188,30,7,22.26,0,0
NMR-000141,Soldier,Colony-A,46.5,74,0.273,33.2,15.3,8.0,12.48,0.468,30,9,21.59,0,1
NMR-000142,Worker,Colony-C,19.2,75,0.217,32.7,10.5,5.84,20.95,0.353,29,10,18.11,1,0
NMR-000143,Worker,Colony-B,25.5,47,0.241,32.3,16.9,6.86,14.31,0.303,17,17,20.48,1,1
NMR-000144,Worker,Colony-D,35.9,58,0.205,33.0,25.7,6.25,13.37,0.358,30,13,21.78,1,1
NMR-000145,Soldier,Colony-B,24.4,71,0.287,32.6,17.3,6.06,11.86,0.564,20,6,13.2,1,0
NMR-000146,Worker,Colony-C,23.0,60,0.216,30.4,14.0,7.4,12.78,0.052,34,10,16.54,0,0
NMR-000147,Worker,Colony-A,25.7,66,0.264,33.7,13.8,9.89,10.97,0.402,25,14,19.88,1,0
NMR-000148,Worker,Colony-E,19.6,122,0.374,31.4,9.2,7.58,13.51,0.262,25,7,26.58,1,1
NMR-000149,Breeder,Colony-B,39.5,46,0.363,33.0,23.5,4.59,7.53,0.345,26,10,19.59,0,0
NMR-000150,Soldier,Colony-B,41.0,59,0.282,31.6,10.4,6.48,5.43,0.383,20,7,17.52,0,1
NMR-000151,Worker,Colony-D,29.5,36,0.276,32.6,10.2,6.62,9.97,0.095,31,8,19.81,0,1
NMR-000152,Queen,Colony-D,48.6,44,0.21,32.6,12.3,5.87,1.19,0.486,22,8,23.69,1,1
NMR-000153,Worker,Colony-D,38.5,35,0.226,32.2,14.0,9.13,16.43,0.335,24,6,22.4,0,1
NMR-000154,Worker,Colony-A,21.7,81,0.237,33.8,20.6,5.21,10.39,0.251,27,12,12.69,0,0
NMR-000155,Worker,Colony-E,22.2,143,0.341,32.6,11.4,6.88,15.99,0.576,23,14,23.38,0,1
NMR-000156,Soldier,Colony-D,43.7,73,0.239,32.0,19.2,5.93,9.25,0.156,23,18,22.21,1,0
NMR-000157,Worker,Colony-E,28.5,81,0.242,32.4,14.4,7.26,25.9,0.545,16,13,16.39,0,1
NMR-000158,Worker,Colony-E,27.5,29,0.175,33.5,16.7,6.93,9.21,0.256,22,8,23.89,0,0
NMR-000159,Breeder,Colony-A,32.5,127,0.148,32.1,16.9,8.0,3.2,0.443,25,8,12.63,1,1
NMR-000160,Worker,Colony-A,32.7,47,0.334,31.8,28.3,8.12,20.78,0.598,25,13,20.81,1,0
NMR-000161,Soldier,Colony-A,40.8,48,0.194,33.0,26.8,6.45,7.92,0.188,31,8,17.52,1,0
NMR-000162,Worker,Colony-B,25.8,83,0.254,32.7,26.1,6.11,19.91,0.203,20,10,22.47,1,1
NMR-000163,Soldier,Colony-E,30.5,26,0.237,33.6,15.9,6.64,7.4,0.571,27,7,12.42,0,0
NMR-000164,Worker,Colony-D,15.0,86,0.169,32.1,10.3,5.93,10.02,0.133,28,10,12.15,0,1
NMR-000165,Worker,Colony-B,39.7,58,0.331,30.6,15.1,6.62,18.5,0.134,27,8,23.32,1,0
NMR-000166,Breeder,Colony-B,35.7,21,0.413,32.6,14.2,7.57,14.96,0.601,20,13,16.38,1,0
NMR-000167,Breeder,Colony-D,38.3,47,0.232,32.0,27.6,7.68,2.9,0.536,23,8,26.12,1,1
NMR-000168,Soldier,Colony-C,32.0,29,0.193,32.2,6.7,7.06,24.96,0.334,32,10,16.91,0,1
NMR-000169,Soldier,Colony-E,30.7,51,0.275,32.9,27.1,8.22,9.98,0.547,21,9,20.22,0,1
NMR-000170,Worker,Colony-E,27.6,44,0.256,31.8,14.0,7.31,14.78,0.378,25,7,20.22,0,0
NMR-000171,Soldier,Colony-B,28.9,49,0.202,32.3,14.9,7.19,18.06,0.271,24,13,25.73,1,1
NMR-000172,Worker,Colony-C,42.0,20,0.313,33.0,13.2,6.47,13.31,0.499,27,10,22.94,0,1
NMR-000173,Worker,Colony-E,32.2,35,0.189,30.9,19.4,6.76,18.3,0.16,27,7,18.9,0,0
NMR-000174,Worker,Colony-D,29.2,95,0.336,32.9,13.7,7.19,7.74,0.471,21,9,20.75,1,1
NMR-000175,Breeder,Colony-D,43.0,35,0.288,30.7,25.4,8.66,25.29,0.495,28,9,28.24,1,0
NMR-000176,Worker,Colony-B,23.6,25,0.132,30.3,12.2,6.5,11.11,0.289,20,7,26.62,1,0
NMR-000177,Breeder,Colony-D,31.7,52,0.296,33.8,7.9,6.36,8.58,0.309,23,6,17.29,0,0
NMR-000178,Worker,Colony-D,29.6,59,0.289,34.0,33.7,6.98,19.28,0.323,18,14,23.03,1,0
NMR-000179,Worker,Colony-A,25.2,76,0.307,30.9,15.2,8.1,16.59,0.275,16,5,21.15,0,0
NMR-000180,Queen,Colony-B,48.8,99,0.231,32.5,12.8,7.4,5.65,0.196,23,13,23.83,1,1
NMR-000181,Worker,Colony-C,28.3,69,0.257,33.7,11.6,5.94,10.82,0.545,21,9,19.53,0,0
NMR-000182,Worker,Colony-E,23.3,117,0.231,33.5,12.3,7.02,10.35,0.639,17,12,17.12,0,0
NMR-000183,Worker,Colony-C,25.3,34,0.353,31.2,10.3,7.22,9.19,0.441,19,14,15.1,0,0
NMR-000184,Soldier,Colony-D,25.8,53,0.302,32.3,21.7,7.54,14.19,0.426,24,12,20.78,0,1
NMR-000185,Queen,Colony-A,43.0,39,0.289,33.3,34.8,5.99,4.33,0.184,20,7,20.23,1,0
NMR-000186,Worker,Colony-B,26.7,34,0.224,32.0,27.2,6.72,10.19,0.132,29,9,13.32,1,1
NMR-000187,Queen,Colony-A,35.9,22,0.179,33.0,19.8,7.63,1.04,0.307,36,11,25.93,1,0
NMR-000188,Worker,Colony-C,16.9,51,0.306,32.3,12.0,8.14,25.42,0.059,25,12,26.71,0,1
NMR-000189,Worker,Colony-E,28.8,67,0.403,32.5,21.7,5.22,19.92,0.235,27,9,18.72,0,0
NMR-000190,Soldier,Colony-C,35.6,73,0.257,32.8,26.5,7.49,24.65,0.13,20,9,24.32,1,1
NMR-000191,Soldier,Colony-A,33.7,61,0.317,31.2,12.4,5.12,17.34,0.219,15,7,17.63,0,0
NMR-000192,Worker,Colony-B,22.9,87,0.266,32.3,26.7,6.12,17.45,0.466,23,17,19.43,1,1
NMR-000193,Worker,Colony-A,37.6,50,0.245,32.0,37.9,6.31,25.77,0.257,38,14,15.11,1,1
NMR-000194,Soldier,Colony-E,31.8,159,0.238,33.0,14.3,5.9,6.72,0.138,23,8,20.5,0,0
NMR-000195,Soldier,Colony-C,31.0,82,0.173,32.8,17.2,6.74,6.53,0.257,26,8,19.71,1,0
NMR-000196,Worker,Colony-A,24.7,73,0.172,30.7,22.4,6.15,13.07,0.297,29,13,19.3,1,1
NMR-000197,Worker,Colony-D,34.2,71,0.208,31.6,17.6,7.91,13.16,0.599,32,16,25.98,1,1
NMR-000198,Worker,Colony-A,36.1,28,0.224,32.9,11.7,6.82,13.27,0.298,25,16,19.14,0,1
NMR-000199,Worker,Colony-A,33.6,74,0.128,31.9,43.9,6.86,13.08,0.342,19,16,22.13,1,1
NMR-000200,Soldier,Colony-D,37.3,36,0.12,33.3,14.7,7.78,8.8,0.455,30,8,25.19,1,0
NMR-000201,Worker,Colony-B,30.0,97,0.207,30.5,25.2,6.78,11.52,0.396,23,9,18.71,1,0
NMR-000202,Soldier,Colony-E,33.6,212,0.232,31.5,15.1,6.35,12.75,0.169,26,12,22.13,0,0
NMR-000203,Breeder,Colony-D,43.3,95,0.184,33.1,22.7,5.82,3.54,0.497,29,11,19.52,1,0
NMR-000204,Soldier,Colony-B,34.8,121,0.204,31.3,12.0,5.54,10.86,0.348,22,14,13.05,0,0
NMR-000205,Worker,Colony-E,26.0,51,0.164,31.7,19.6,6.42,13.41,0.309,33,6,17.01,1,1
NMR-000206,Worker,Colony-A,32.9,68,0.264,32.3,44.8,8.87,13.38,0.188,18,10,15.91,1,1
NMR-000207,Worker,Colony-A,24.2,50,0.157,33.1,18.7,5.91,12.26,0.183,25,10,24.51,1,1
NMR-000208,Breeder,Colony-A,39.1,50,0.225,33.6,36.5,6.96,2.4,0.172,18,13,15.65,1,0
NMR-000209,Soldier,Colony-B,35.8,175,0.127,30.8,6.9,5.81,6.42,0.306,27,11,16.61,0,0
NMR-000210,Worker,Colony-A,23.8,50,0.46,32.7,26.2,5.2,15.29,0.156,28,4,18.14,0,1
NMR-000211,Worker,Colony-D,28.6,50,0.157,32.0,15.8,6.05,10.47,0.584,25,10,21.26,0,0
NMR-000212,Worker,Colony-B,31.9,23,0.155,32.7,20.8,6.17,16.63,0.355,19,9,17.5,1,1
NMR-000213,Worker,Colony-C,37.8,28,0.295,31.0,14.8,8.06,10.96,0.2,25,14,26.53,1,0
NMR-000214,Soldier,Colony-B,29.5,138,0.21,32.3,16.5,7.49,25.39,0.195,23,6,16.77,0,1
NMR-000215,Worker,Colony-A,28.4,59,0.292,32.4,12.6,7.19,26.44,0.184,19,16,20.38,1,1
NMR-000216,Soldier,Colony-B,38.5,71,0.119,33.4,12.2,5.97,6.14,0.141,26,16,22.28,1,0
NMR-000217,Worker,Colony-C,26.7,112,0.166,33.4,18.7,7.61,13.1,0.381,31,18,25.69,1,1
NMR-000218,Worker,Colony-B,35.2,24,0.235,32.4,14.6,9.91,17.02,0.334,32,11,23.9,1,0
NMR-000219,Worker,Colony-E,22.9,40,0.266,31.8,13.2,6.44,15.41,0.2,22,10,18.18,0,1
NMR-000220,Worker,Colony-E,28.0,26,0.275,32.8,14.6,6.92,13.61,0.303,20,11,24.57,1,0
NMR-000221,Soldier,Colony-A,30.5,89,0.198,31.7,14.5,8.0,10.33,0.377,16,8,25.08,1,0
NMR-000222,Worker,Colony-C,19.0,48,0.213,32.2,27.6,6.33,11.64,0.18,19,13,20.5,1,1
NMR-000223,Worker,Colony-C,29.9,90,0.168,32.3,23.8,8.26,11.73,0.145,27,16,20.34,1,1
NMR-000224,Worker,Colony-A,34.2,28,0.224,31.5,26.4,5.68,15.09,0.213,31,14,23.51,1,1
NMR-000225,Worker,Colony-C,26.9,27,0.297,31.1,12.3,7.64,26.13,0.395,28,16,15.53,0,0
NMR-000226,Soldier,Colony-A,16.7,46,0.127,33.9,15.5,7.92,12.35,0.331,30,9,25.69,1,0
NMR-000227,Breeder,Colony-E,38.0,22,0.256,34.3,20.7,6.09,3.8,0.091,24,15,21.01,0,0
NMR-000228,Worker,Colony-B,21.6,37,0.302,33.1,15.1,7.09,15.71,0.401,21,13,18.8,0,0
NMR-000229,Breeder,Colony-C,41.3,36,0.278,33.7,20.0,6.5,12.28,0.227,23,6,17.48,0,1
NMR-000230,Queen,Colony-A,46.2,51,0.197,31.4,13.6,6.82,-1.45,0.106,24,8,25.34,1,1
NMR-000231,Soldier,Colony-E,39.2,53,0.279,32.1,16.1,5.91,10.05,0.1,12,6,19.86,0,0
NMR-000232,Worker,Colony-A,35.3,33,0.306,33.0,22.1,4.7,13.83,0.139,19,12,23.83,1,1
