sample_id,group,batch,measure_1,tx_count_total,genes_detected,mito_fraction,ribo_fraction,mean_gc_percent,duplication_rate,median_tx_length,counts_gene_of_interest,target_a,target_b
GEN-000028,Control,B01,106.04,2381491,11264,0.0343,0.1305,45.0,0.3504,994,-240,0,0
GEN-000029,Control,B02,148.84,600259,13630,0.0676,0.0695,47.27,0.2379,1934,170,1,1
GEN-000030,TreatmentA,B01,112.3,558511,14670,0.0203,0.2031,47.15,0.2862,1395,500,1,1
GEN-000031,TreatmentB,B02,95.68,1117229,17142,0.0404,0.2001,48.83,0.5568,2243,639,1,1
GEN-000032,Control,B01,127.14,1630527,15168,0.0167,0.1784,48.41,0.2261,2207,328,1,1
GEN-000033,Control,B03,124.76,1099697,11839,0.0349,0.1684,47.94,0.1599,1134,-45,0,1
GEN-000034,TreatmentB,B03,123.24,959684,14551,0.0071,0.1662,47.73,0.1479,1752,889,1,1
GEN-000035,TreatmentA,B03,89.26,568085,10237,0.0459,0.1527,48.25,0.309,1781,396,0,0
GEN-000036,TreatmentB,B02,95.33,2675692,15325,0.0175,0.2397,47.03,0.1269,1040,758,0,0
GEN-000037,TreatmentB,B02,107.21,2341727,15428,0.0284,0.1389,48.23,0.3569,1328,847,1,1
GEN-000038,Control,B03,91.63,2162887,11388,0.0522,0.0635,47.1,0.1562,1019,110,0,1
GEN-000039,TreatmentB,B01,79.48,2415021,13844,0.1117,0.0896,44.46,0.1193,1622,948,0,1
GEN-000040,Control,B02,96.16,2318924,11892,0.049,0.1675,44.36,0.4151,2290,138,0,1
GEN-000041,TreatmentB,B03,101.65,608628,18235,0.035,0.1561,45.76,0.2434,2056,637,1,1
GEN-000042,TreatmentA,B03,73.26,2445362,15384,0.0866,0.1829,50.3,0.1512,1727,100,0,0
GEN-000043,Control,B01,101.25,4573738,15337,0.0459,0.1599,45.57,0.1077,1374,-87,1,1
GEN-000044,Control,B02,97.39,3756829,15388,0.0376,0.2129,48.32,0.2738,1221,581,1,1
GEN-000045,Control,B02,103.31,1393110,12396,0.0228,0.1177,48.65,0.1179,2035,888,1,1
GEN-000046,TreatmentA,B03,81.31,1930651,13044,0.0133,0.1406,44.98,0.1183,2073,697,1,1
GEN-000047,Control,B01,92.47,655425,11093,0.0255,0.0695,50.89,0.2777,1774,100,0,0
GEN-000048,Control,B02,90.9,2458915,11425,0.0448,0.1024,43.13,0.2601,1999,921,1,0
GEN-000049,Control,B03,117.91,2080546,16315,0.0701,0.0384,50.3,0.0684,1671,361,1,1
GEN-000050,Control,B02,98.59,1180369,13290,0.0126,0.1255,43.14,0.189,1831,365,1,0
GEN-000051,Control,B02,111.31,2106597,12591,0.1049,0.1958,44.65,0.1536,1318,62,0,0
GEN-000052,Control,B02,56.97,961048,11122,0.047,0.0513,44.9,0.1262,2082,1005,1,1
GEN-000053,TreatmentB,B02,124.0,3175934,17908,0.0403,0.1731,46.42,0.1853,1760,1161,0,0
GEN-000054,TreatmentA,B03,109.02,1981301,13408,0.0526,0.1454,50.17,0.1156,1524,393,1,0
GEN-000055,TreatmentA,B01,124.3,1019495,12408,0.0364,0.2316,48.15,0.1875,1669,496,0,1
GEN-000056,Control,B03,134.93,2728898,13784,0.0181,0.1576,45.05,0.1309,2462,-72,0,1
GEN-000057,Control,B02,59.62,1441125,11965,0.0676,0.1453,42.46,0.1914,1688,6,0,0
GEN-000058,TreatmentA,B01,98.09,1062460,11357,0.0261,0.0805,45.48,0.1041,1460,459,0,1
GEN-000059,TreatmentA,B01,115.19,2595659,11296,0.0203,0.1368,48.67,0.2916,1637,1404,1,0
GEN-000060,TreatmentB,B03,85.5,1339285,15479,0.0453,0.101,48.21,0.1567,1405,1211,1,1
GEN-000061,Control,B01,118.39,2630892,11791,0.0178,0.1353,47.96,0.1242,1152,250,0,1
GEN-000062,TreatmentA,B01,89.63,1749124,20754,0.0227,0.1451,44.84,0.2048,1361,281,0,1
GEN-000063,TreatmentB,B03,107.24,1547880,15206,0.0331,0.0603,47.05,0.42,1290,755,1,0
GEN-000064,TreatmentA,B03,110.61,877576,16665,0.0334,0.0722,45.42,0.258,2423,468,1,0
GEN-000065,Control,B03,87.49,2005911,13281,0.0146,0.1625,43.16,0.2558,2542,245,1,1
GEN-000066,TreatmentB,B02,101.88,311388,13929,0.0199,0.2205,46.0,0.437,1843,883,1,1
GEN-000067,TreatmentA,B02,97.42,1713150,16739,0.0394,0.1911,43.36,0.4398,892,459,1,1
GEN-000068,TreatmentB,B01,74.38,2246705,14895,0.0983,0.1414,43.15,0.1729,1380,1347,1,0
GEN-000069,Control,B01,114.39,1063320,13922,0.0526,0.2451,45.75,0.2092,1669,507,1,1
GEN-000070,TreatmentA,B02,98.47,1387109,14296,0.0507,0.082,46.53,0.0992,1680,849,0,1
GEN-000071,TreatmentB,B03,120.42,802339,19367,0.0225,0.1777,48.34,0.4785,2387,1233,1,1
GEN-000072,TreatmentB,B01,123.35,2463994,13714,0.0378,0.1763,46.08,0.2031,2850,464,1,1
GEN-000073,TreatmentA,B02,131.17,1382888,16293,0.0064,0.133,50.86,0.1835,1858,311,1,0
GEN-000074,Control,B02,83.79,2053637,15595,0.0709,0.1094,47.14,0.3174,2123,401,0,0
GEN-000075,TreatmentB,B02,109.3,1416749,16665,0.0066,0.1862,44.88,0.1485,3227,496,1,0
GEN-000076,Control,B02,94.71,1787927,15351,0.0407,0.1351,44.33,0.2163,2049,-158,0,0
GEN-000077,Control,B03,114.15,1665130,11339,0.0205,0.1983,43.93,0.1216,2516,-106,0,0
GEN-000078,Control,B03,98.39,1404399,14119,0.0154,0.1263,47.11,0.3026,1460,1,1,1
GEN-000079,TreatmentB,B01,106.99,635598,16907,0.071,0.1304,47.04,0.1509,2110,1238,0,1
GEN-000080,TreatmentA,B01,103.7,1791014,15772,0.0279,0.0913,44.33,0.2796,2029,397,1,0
GEN-000081,Control,B02,115.25,3066762,15968,0.0145,0.1731,44.43,0.0499,969,-26,0,0
GEN-000082,TreatmentA,B02,92.79,1273390,12899,0.0043,0.1414,47.38,0.0874,1532,163,1,1
GEN-000083,TreatmentB,B01,98.77,1886731,20145,0.0273,0.0942,46.53,0.1788,1810,427,1,1
GEN-000084,Control,B03,91.13,1292402,14561,0.0047,0.1337,48.45,0.2769,1645,280,0,0
GEN-000085,TreatmentB,B02,93.53,1446078,14828,0.0242,0.1334,46.99,0.1135,1279,643,1,0
GEN-000086,TreatmentB,B01,99.09,988810,16107,0.014,0.1187,40.02,0.3091,2062,1156,1,0
GEN-000087,Control,B01,106.75,862410,12068,0.0633,0.1425,47.95,0.0966,2099,-144,0,1
GEN-000088,Control,B03,92.2,723336,12753,0.0208,0.1306,48.73,0.0874,2478,826,1,1
GEN-000089,TreatmentB,B03,96.53,2712420,16903,0.0305,0.3179,45.24,0.1375,669,571,1,0
GEN-000090,Control,B01,88.72,1127596,11988,0.0096,0.0714,43.61,0.3694,2217,-26,0,0
GEN-000091,TreatmentA,B01,87.58,1792061,15615,0.0511,0.0909,45.92,0.1479,2411,1314,1,1
GEN-000092,TreatmentA,B01,92.8,2463673,12532,0.0325,0.1813,47.39,0.1296,1994,529,0,0
GEN-000093,TreatmentB,B01,78.74,1264656,16110,0.0445,0.1035,48.21,0.4143,637,837,1,0
GEN-000094,TreatmentB,B01,104.4,1292584,14037,0.0249,0.1714,44.11,0.2889,954,1133,1,1
GEN-000095,TreatmentB,B01,96.74,634483,14904,0.0349,0.2081,45.63,0.1347,1186,582,1,1
GEN-000096,TreatmentB,B03,104.74,1992603,18306,0.0311,0.1095,45.21,0.2172,1506,382,1,0
GEN-000097,TreatmentA,B03,88.54,3313858,15985,0.0832,0.1008,47.77,0.3564,3021,164,0,0
GEN-000098,TreatmentB,B02,110.65,3831282,14386,0.0167,0.1084,46.31,0.1356,1290,463,1,1
GEN-000099,Control,B03,108.22,1626704,16478,0.126,0.1657,41.03,0.0592,814,83,0,0
GEN-000100,TreatmentA,B03,103.47,548240,12452,0.0491,0.0479,45.53,0.2277,1149,504,0,1
GEN-000101,Control,B03,89.2,2329266,12199,0.1343,0.0985,46.06,0.1544,1148,-109,0,1
GEN-000102,TreatmentB,B03,106.72,1788086,16573,0.1065,0.1021,48.41,0.1994,776,861,1,0
GEN-000103,Control,B02,102.54,1589506,17115,0.0195,0.1543,49.47,0.3546,1890,-106,0,0
GEN-000104,TreatmentA,B03,101.92,939534,14458,0.1037,0.253,47.57,0.1626,1646,380,0,0
GEN-000105,TreatmentB,B02,113.29,1208505,13900,0.0604,0.1667,45.15,0.2128,2114,527,0,1
GEN-000106,Control,B01,95.11,2589935,11255,0.0318,0.0836,49.26,0.3242,1596,1085,1,0
GEN-000107,Control,B02,121.36,1830950,14972,0.0192,0.0931,45.45,0.274,1139,206,1,0
GEN-000108,TreatmentA,B01,94.72,2746341,14219,0.0261,0.1458,45.67,0.2012,1238,158,1,1
GEN-000109,TreatmentB,B03,121.76,1795898,16401,0.0029,0.1038,46.82,0.1192,1755,1605,1,1
GEN-000110,TreatmentA,B01,104.02,376261,13121,0.0141,0.1336,48.53,0.0971,1363,431,1,0
GEN-000111,Control,B02,119.17,2759649,16341,0.1008,0.0639,48.17,0.1361,827,-153,0,1
GEN-000112,TreatmentA,B02,120.52,1081256,16361,0.0083,0.2065,49.76,0.2723,1432,846,1,0
GEN-000113,TreatmentA,B03,88.74,668110,11679,0.0512,0.1064,44.77,0.0767,1829,1423,1,1
GEN-000114,TreatmentA,B01,108.32,2110906,15771,0.0435,0.1104,46.37,0.3018,1709,846,1,1
GEN-000115,Control,B03,93.13,1166576,15582,0.039,0.2521,48.16,0.3057,1411,131,0,1
GEN-000116,Control,B02,108.87,5022189,12274,0.0169,0.2082,45.38,0.1626,2087,58,0,1
GEN-000117,Control,B02,88.36,1384410,13570,0.0275,0.1598,43.88,0.1929,2033,315,0,0
GEN-000118,TreatmentB,B03,107.6,507982,15372,0.087,0.0615,44.52,0.0421,951,510,0,1
GEN-000119,TreatmentA,B01,99.81,1457545,18401,0.0946,0.1435,39.8,0.1222,1848,217,0,0
GEN-000120,TreatmentA,B02,106.31,2344990,15182,0.0434,0.2065,47.26,0.2245,2348,271,0,1
GEN-000121,TreatmentB,B02,109.76,3282975,17610,0.0435,0.1705,44.0,0.1121,1875,762,1,0
GEN-000122,Control,B01,87.11,2000270,14323,0.0182,0.0834,45.06,0.0263,2479,1576,1,1
GEN-000123,TreatmentA,B03,90.37,2453460,17474,0.0768,0.2343,46.21,0.0463,1434,99,0,0
GEN-000124,Control,B02,90.72,2002135,13843,0.0674,0.1759,38.76,0.0528,1636,-68,0,0
GEN-000125,TreatmentA,B01,102.06,899848,16387,0.0197,0.1038,43.77,0.1148,2044,394,1,0
GEN-000126,Control,B01,94.16,588287,15914,0.0963,0.1613,44.77,0.2263,983,45,0,0
GEN-000127,TreatmentB,B02,94.79,4225522,12469,0.0105,0.0957,42.78,0.0535,1594,1095,1,1
GEN-000128,TreatmentB,B02,103.67,433506,16672,0.09,0.0813,46.71,0.1215,1623,636,0,1
GEN-000129,TreatmentA,B01,105.53,4364247,17828,0.0166,0.1519,49.01,0.1096,2065,786,1,0
GEN-000130,Control,B01,98.11,3184218,18678,0.0498,0.0977,49.8,0.456,1825,330,0,0
GEN-000131,TreatmentB,B02,85.42,2030768,13492,0.0715,0.14,44.02,0.0655,1435,579,0,0
GEN-000132,Control,B01,97.4,1030555,15278,0.0178,0.2037,46.21,0.1699,1997,645,1,1
GEN-000133,TreatmentB,B02,97.47,2877053,16225,0.0351,0.209,45.6,0.2828,2194,443,0,1
GEN-000134,TreatmentB,B02,120.78,2806558,14290,0.038,0.1176,47.32,0.2074,1101,428,1,0
GEN-000135,TreatmentB,B02,90.03,815860,16621,0.0265,0.1737,44.51,0.3247,1535,478,1,1
GEN-000136,TreatmentB,B01,87.14,2463154,16418,0.0385,0.1679,44.45,0.1118,2345,457,1,0
GEN-000137,Control,B03,89.54,2490395,13633,0.0537,0.1346,47.38,0.121,1333,155,0,1
GEN-000138,Control,B01,96.62,1901377,15839,0.0333,0.14,47.97,0.2751,1535,106,0,1
GEN-000139,TreatmentB,B02,78.2,1584205,10258,0.0185,0.061,45.05,0.0221,2064,843,1,1
GEN-000140,Control,B03,87.84,2773387,12999,0.0792,0.3044,46.25,0.1078,1607,78,0,0
GEN-000141,TreatmentB,B03,86.48,2001022,14939,0.0237,0.2581,43.09,0.1318,2026,610,0,0
GEN-000142,TreatmentB,B03,105.58,911361,16897,0.0325,0.2098,50.69,0.092,1608,313,1,0
GEN-000143,TreatmentB,B03,85.25,958845,16418,0.0258,0.1544,47.9,0.3578,1037,831,1,1
GEN-000144,Control,B02,93.89,3174649,13349,0.0201,0.1139,45.8,0.115,1208,176,0,1
GEN-000145,TreatmentB,B01,124.47,928242,13907,0.1232,0.1848,46.12,0.0771,1487,413,0,1
GEN-000146,TreatmentA,B01,93.94,2200917,17821,0.0596,0.2392,42.51,0.1434,892,518,1,0
GEN-000147,TreatmentB,B03,89.18,2789273,14121,0.0098,0.1063,44.62,0.0613,1239,725,1,1
GEN-000148,Control,B01,97.19,3214258,13814,0.0491,0.1367,49.34,0.0764,895,991,1,0
GEN-000149,Control,B02,110.31,2334501,13044,0.0164,0.0919,45.31,0.2557,1420,15,0,0
GEN-000150,TreatmentB,B01,102.82,288841,17428,0.0108,0.3268,48.95,0.1892,1036,450,1,0
GEN-000151,TreatmentB,B03,92.47,666207,19862,0.0552,0.2035,47.33,0.1334,1256,696,1,0
GEN-000152,TreatmentA,B03,97.37,905473,15547,0.0447,0.1952,47.97,0.4641,2572,162,1,1
GEN-000153,TreatmentA,B01,80.96,1553360,15046,0.0154,0.1143,48.53,0.0495,1568,392,1,1
GEN-000154,Control,B03,103.52,1225012,12964,0.0065,0.1932,47.39,0.3472,1157,473,1,1
GEN-000155,TreatmentB,B02,89.58,1218084,11919,0.0843,0.1597,45.78,0.2297,1712,763,0,1
GEN-000156,TreatmentB,B01,94.55,2250684,14902,0.0283,0.1383,46.79,0.0907,1902,401,0,1
GEN-000157,Control,B01,116.53,1492118,14902,0.0101,0.1168,46.83,0.118,804,-3,0,1
GEN-000158,Control,B02,91.72,900835,14845,0.0085,0.0936,43.28,0.1605,799,26,0,0
GEN-000159,TreatmentB,B01,99.12,2394514,16869,0.0115,0.18,44.32,0.1921,3156,356,1,0
GEN-000160,TreatmentB,B01,95.97,1301068,16798,0.0142,0.1471,48.25,0.1245,1384,1435,1,1
GEN-000161,TreatmentB,B01,67.19,4213757,14986,0.0132,0.1834,44.92,0.2656,1662,359,1,1
GEN-000162,TreatmentB,B02,81.88,464483,12318,0.0271,0.2538,45.25,0.1574,1872,1509,1,0
GEN-000163,TreatmentA,B02,133.69,1929303,12944,0.0175,0.1136,44.25,0.1643,1407,118,0,1
GEN-000164,TreatmentB,B01,101.8,2522397,16940,0.0361,0.0967,45.91,0.0649,1554,892,1,1
GEN-000165,TreatmentA,B01,97.14,2698430,12345,0.0516,0.1465,43.48,0.4514,1829,267,1,0
GEN-000166,Control,B03,88.02,2948484,12245,0.0604,0.0791,46.15,0.09,1606,325,0,1
GEN-000167,Control,B01,137.76,1643349,11904,0.0265,0.0599,45.77,0.0886,2479,97,1,1
GEN-000168,Control,B03,100.87,2018635,14542,0.0762,0.3104,45.08,0.0801,1598,230,0,0
GEN-000169,Control,B02,101.5,1223800,14559,0.1056,0.2707,46.72,0.0585,2265,353,1,0
GEN-000170,TreatmentB,B02,95.75,1115862,13643,0.0024,0.1413,49.23,0.2522,1525,382,1,0
GEN-000171,Control,B03,94.81,1774802,16470,0.0031,0.0587,44.41,0.2084,2415,368,1,0
GEN-000172,TreatmentA,B01,114.87,1545780,15891,0.0182,0.2308,44.53,0.119,1396,232,1,0
GEN-000173,TreatmentB,B03,97.21,1127674,16723,0.2139,0.1242,49.06,0.1029,3221,488,0,1
GEN-000174,TreatmentA,B02,74.43,590759,16570,0.0289,0.0716,50.06,0.0393,2987,250,0,1
GEN-000175,Control,B01,113.22,2767032,14034,0.0571,0.2002,46.27,0.2803,1892,892,1,1
GEN-000176,Control,B02,85.5,719305,11080,0.0752,0.1953,44.54,0.0665,751,441,0,0
GEN-000177,TreatmentB,B03,114.45,1421545,15053,0.0575,0.1216,43.5,0.1177,1796,751,0,0
GEN-000178,Control,B01,88.36,4311329,9631,0.0735,0.109,46.23,0.2268,1311,1,0,0
GEN-000179,TreatmentB,B03,115.6,2080469,17093,0.1046,0.2021,48.14,0.063,1179,864,1,0
GEN-000180,Control,B03,100.49,2279702,16891,0.0016,0.1312,49.95,0.214,1812,262,1,0
GEN-000181,TreatmentA,B02,82.95,3550506,13667,0.0018,0.1532,47.34,0.2346,1435,533,1,1
GEN-000182,Control,B02,92.22,516352,17692,0.0656,0.1068,46.66,0.2891,3196,192,0,1
GEN-000183,TreatmentA,B03,102.74,2296645,12144,0.0222,0.1092,44.74,0.0761,2673,274,0,1
GEN-000184,TreatmentB,B02,102.27,528589,12757,0.0401,0.0882,45.66,0.2257,1491,590,1,0
GEN-000185,Control,B03,77.24,4253095,17056,0.0178,0.1509,45.14,0.1655,4564,-180,0,1
GEN-000186,TreatmentB,B02,82.67,1017256,12638,0.0256,0.1385,47.04,0.2223,1419,878,0,1
GEN-000187,TreatmentA,B03,81.91,1793639,15821,0.1132,0.1645,48.85,0.1537,1103,247,0,0
GEN-000188,TreatmentB,B03,141.79,1071738,13894,0.0143,0.1556,47.62,0.1932,1224,692,1,1
GEN-000189,TreatmentB,B02,92.36,4773365,13579,0.0307,0.0792,49.49,0.2802,3006,438,1,0
GEN-000190,Control,B03,92.84,1697310,11823,0.0315,0.1096,42.04,0.1277,2236,-110,0,0
GEN-000191,TreatmentB,B02,101.38,2143022,10989,0.0252,0.1178,49.83,0.0931,1357,1437,1,0
GEN-000192,TreatmentB,B03,97.57,2672510,15244,0.0325,0.1485,45.9,0.1337,1451,365,0,1
GEN-000193,TreatmentA,B02,99.28,927295,17226,0.0137,0.0219,47.7,0.1004,1601,145,1,1
GEN-000194,TreatmentA,B01,81.26,1980386,12520,0.0516,0.1914,45.16,0.1001,1223,169,1,0
GEN-000195,TreatmentA,B02,96.6,1940400,10450,0.0137,0.1365,46.83,0.1699,2289,807,1,1
GEN-000196,TreatmentA,B02,104.16,951545,14821,0.0764,0.051,44.16,0.1599,696,632,0,0
GEN-000197,TreatmentA,B01,100.38,2845504,10047,0.016,0.1555,43.65,0.4267,1308,162,0,0
GEN-000198,TreatmentB,B02,104.94,2044920,16020,0.0777,0.078,46.84,0.087,1670,1082,1,1
GEN-000199,Control,B01,107.53,1243938,12242,0.0187,0.1673,43.55,0.2551,1402,82,0,1
GEN-000200,Control,B03,117.2,2018357,13710,0.0456,0.1715,44.26,0.1148,2444,524,1,1
GEN-000201,TreatmentA,B01,83.68,2102770,14424,0.1025,0.1637,46.36,0.065,2284,382,0,0
GEN-000202,Control,B03,105.49,1156182,16071,0.0391,0.1406,47.69,0.0946,1095,550,0,1
GEN-000203,TreatmentA,B03,98.87,1470795,12803,0.0448,0.1619,48.66,0.2655,1496,176,0,0
GEN-000204,Control,B02,115.25,1977293,14810,0.0383,0.0747,52.56,0.2001,2257,357,1,0
GEN-000205,TreatmentB,B03,97.05,507575,15847,0.0361,0.0932,48.61,0.1795,1613,427,0,1
GEN-000206,TreatmentB,B03,110.84,800563,14553,0.0361,0.1053,51.09,0.0427,1287,724,1,0
GEN-000207,TreatmentA,B02,102.69,1090967,16495,0.0202,0.1567,47.64,0.0745,2240,128,0,0
GEN-000208,TreatmentB,B01,90.87,2095889,13133,0.0286,0.2271,45.68,0.2488,1473,659,1,1
GEN-000209,TreatmentA,B02,97.04,3946205,15405,0.0125,0.1231,48.39,0.1258,1240,1871,1,1
GEN-000210,TreatmentA,B02,105.19,2539526,15965,0.0403,0.1362,45.89,0.2594,1286,327,0,1
GEN-000211,Control,B01,113.31,1559233,9787,0.0595,0.2144,47.51,0.2142,2891,-66,0,1
GEN-000212,Control,B01,95.76,1827804,17220,0.0411,0.114,46.38,0.2221,1030,-89,0,1
GEN-000213,TreatmentA,B02,109.09,871628,16067,0.0026,0.1819,46.8,0.1663,1023,787,1,1
GEN-000214,Control,B02,97.65,658031,14811,0.0439,0.1637,45.67,0.261,1262,128,0,1
GEN-000215,TreatmentA,B02,78.41,769349,13566,0.131,0.1293,48.15,0.0569,1369,572,0,1
GEN-000216,Control,B03,63.38,1643278,14004,0.0362,0.1283,43.57,0.118,1175,865,1,0
GEN-000217,Control,B03,98.73,1056371,14848,0.0285,0.0858,46.03,0.3024,1226,68,0,1
GEN-000218,TreatmentB,B03,102.85,935535,13742,0.0507,0.0998,44.88,0.4361,2444,367,1,0
GEN-000219,Control,B02,79.51,3683547,13166,0.0309,0.1196,47.68,0.0654,2820,452,1,1
GEN-000220,Control,B01,96.41,942568,12982,0.0299,0.095,51.39,0.229,2604,-143,0,0
GEN-000221,Control,B03,85.8,490805,13356,0.0991,0.181,45.8,0.2538,1441,56,0,0
GEN-000222,TreatmentB,B01,106.09,1572760,15492,0.0352,0.2081,43.75,0.2791,1825,591,1,1
GEN-000223,Control,B02,117.87,2767216,10097,0.0406,0.1654,48.68,0.4194,2417,76,0,1
GEN-000224,TreatmentA,B03,97.99,1803566,10934,0.0478,0.1693,49.37,0.2207,1383,813,1,0
GEN-000225,Control,B02,120.68,2002808,10479,0.1169,0.2013,48.26,0.1756,2375,557,0,0
GEN-000226,Control,B01,109.42,1488846,11277,0.1252,0.1004,45.3,0.1151,784,275,0,1
GEN-000227,Control,B03,86.63,2481436,13256,0.0055,0.1674,46.98,0.3811,1480,142,1,1
GEN-000228,TreatmentB,B02,105.75,2459052,17105,0.1168,0.1763,48.86,0.1,1565,371,0,0
GEN-000229,TreatmentA,B01,104.83,2297177,13930,0.0277,0.1516,44.21,0.0899,2062,472,1,1
GEN-000230,TreatmentB,B02,107.57,2478049,18168,0.0793,0.2171,46.08,0.1299,1110,955,0,0
GEN-000231,Control,B02,97.35,1619580,14998,0.0166,0.1111,42.97,0.0802,1286,61,0,0
GEN-000232,TreatmentA,B01,97.21,1628092,14791,0.0463,0.2676,49.22,0.1987,2203,450,0,0
GEN-000233,TreatmentA,B01,77.17,1426582,12092,0.0486,0.1212,47.91,0.3423,1357,300,1,0
GEN-000234,TreatmentB,B03,108.91,2356024,16433,0.0321,0.249,47.09,0.2034,2226,945,1,1
GEN-000235,TreatmentB,B01,101.54,839875,15333,0.0372,0.2363,48.27,0.0814,1859,856,1,0
GEN-000236,TreatmentB,B02,108.28,2952570,17183,0.0606,0.1978,44.32,0.1274,2382,426,1,0
GEN-000237,Control,B02,79.27,1101278,14838,0.0587,0.1387,46.75,0.0492,2699,737,1,1
GEN-000238,TreatmentB,B03,104.3,1534213,18529,0.0214,0.1208,46.13,0.2772,2791,1219,1,1
GEN-000239,TreatmentB,B02,90.85,1846576,15069,0.0484,0.1777,48.33,0.1244,1031,621,1,0
GEN-000240,Control,B01,107.37,712400,16738,0.0339,0.0943,48.41,0.279,1116,541,1,0
GEN-000241,TreatmentA,B03,104.85,1494865,18922,0.0584,0.08,47.01,0.2563,2282,78,0,0
GEN-000242,Control,B03,99.64,1067682,15021,0.0649,0.118,48.18,0.2062,1238,-146,0,1
GEN-000243,TreatmentA,B01,101.03,1733657,11539,0.0778,0.2064,44.3,0.2103,1060,674,0,1
GEN-000244,Control,B01,111.66,2769654,12916,0.0277,0.1665,45.51,0.079,1894,156,0,0
GEN-000245,TreatmentB,B02,87.44,618542,16520,0.0116,0.1365,45.32,0.3847,2070,371,1,0
GEN-000246,TreatmentA,B01,86.49,1493977,12633,0.0644,0.1871,49.18,0.244,3560,37,0,1
GEN-000247,TreatmentB,B01,115.66,1841205,13852,0.0499,0.0908,48.6,0.1962,1841,376,1,1
GEN-000248,Control,B02,87.54,2298821,12153,0.0138,0.2265,45.14,0.2157,2694,164,0,1
GEN-000249,Control,B02,92.77,3281849,13737,0.0311,0.1456,47.64,0.1768,1796,1253,1,1
GEN-000250,TreatmentB,B03,82.8,1655565,14645,0.035,0.247,45.5,0.272,1199,368,1,1
GEN-000251,TreatmentA,B02,96.94,3145381,13544,0.0265,0.0537,43.06,0.1434,1875,281,0,0
GEN-000252,TreatmentA,B03,75.62,1780442,14810,0.0112,0.1514,50.93,0.1295,1808,403,0,0
GEN-000253,Control,B01,112.78,1104245,17639,0.1147,0.0655,46.36,0.1463,1786,754,0,1
GEN-000254,TreatmentA,B03,106.83,2082515,13991,0.0245,0.2025,48.02,0.19,1566,519,1,1
GEN-000255,TreatmentA,B03,95.18,407690,11833,0.0385,0.1435,41.58,0.25,3010,735,1,0
