sample_id,role,colony,body_mass_g,age_months,resting_metabolic_rate,body_temp_c,hypoxia_survival_min,hyaluronan_mda,cortisol_ng_ml,incisor_wear_score,chirps_per_hour,grooming_events_day,telomere_length_kb,target_a,target_b
NMR-000024,Soldier,Colony-D,27.1,25,0.474,30.4,12.8,7.04,6.04,0.294,25,14,21.12,0,0
NMR-000025,Soldier,Colony-B,33.8,92,0.206,33.7,25.4,6.72,9.74,0.374,26,12,17.65,1,0
NMR-000026,Worker,Colony-B,22.0,45,0.252,33.7,17.6,6.17,8.65,0.121,19,12,21.82,1,0
NMR-000027,Worker,Colony-E,35.0,33,0.295,31.6,11.2,4.96,11.8,0.345,18,6,17.07,0,1
NMR-000028,Worker,Colony-B,34.5,41,0.222,31.9,20.2,6.52,12.82,0.381,23,10,18.73,0,1
NMR-000029,Worker,Colony-D,30.2,92,0.303,31.3,15.4,7.15,11.69,0.364,33,12,13.5,0,1
NMR-000030,Soldier,Colony-B,31.6,29,0.19,33.1,12.5,5.34,11.65,0.359,17,13,17.32,1,1
NMR-000031,Worker,Colony-E,30.9,54,0.328,32.0,19.8,5.6,18.35,0.658,20,8,20.15,0,1
NMR-000032,Worker,Colony-E,31.6,46,0.316,32.8,11.3,5.9,15.72,0.204,22,11,13.39,0,0
NMR-000033,Soldier,Colony-C,39.7,59,0.239,32.4,12.4,7.76,5.8,0.274,25,14,18.8,0,1
NMR-000034,Worker,Colony-C,33.5,40,0.26,33.7,11.5,5.04,20.03,0.604,26,14,19.27,0,0
NMR-000035,Worker,Colony-B,27.0,98,0.145,32.6,14.6,8.16,9.81,0.411,24,9,17.27,1,1
NMR-000036,Worker,Colony-D,26.7,36,0.23,31.8,22.4,7.39,11.57,0.281,31,11,20.98,1,1
NMR-000037,Breeder,Colony-E,34.4,48,0.18,32.2,8.9,5.42,24.54,0.324,35,18,25.75,1,1
NMR-000038,Worker,Colony-B,27.5,74,0.243,32.8,23.0,7.73,12.95,0.46,20,8,22.95,1,1
NMR-000039,Worker,Colony-B,34.1,54,0.287,32.9,12.7,5.54,12.22,0.305,24,6,15.76,0,0
NMR-000040,Breeder,Colony-D,31.2,46,0.317,30.8,8.6,7.96,12.98,0.313,21,5,14.84,0,0
NMR-000041,Worker,Colony-C,20.2,85,0.199,33.8,50.9,5.65,10.19,0.465,39,14,13.7,1,0
NMR-000042,Worker,Colony-A,34.6,54,0.323,31.7,23.4,8.69,11.4,0.216,26,9,13.99,0,1
NMR-000043,Worker,Colony-C,10.8,66,0.43,31.7,11.4,7.93,13.19,0.659,29,12,20.0,0,1
NMR-000044,Worker,Colony-B,24.5,70,0.123,30.5,18.7,7.67,19.99,0.361,32,13,19.3,1,0
NMR-000045,Worker,Colony-A,26.4,78,0.236,33.0,23.3,4.82,11.54,0.345,23,10,20.4,0,0
NMR-000046,Worker,Colony-C,30.4,50,0.16,30.6,30.8,7.64,21.17,0.221,26,14,17.23,1,0
NMR-000047,Worker,Colony-C,31.9,57,0.259,32.1,19.8,7.13,13.1,0.317,19,15,26.02,1,0
NMR-000048,Worker,Colony-D,34.9,39,0.219,31.9,17.6,6.21,18.42,0.213,25,8,22.29,1,0
NMR-000049,Worker,Colony-E,30.2,28,0.146,32.0,13.7,6.76,11.32,0.134,21,10,21.36,1,0
NMR-000050,Worker,Colony-A,23.7,48,0.202,31.7,8.4,6.44,10.01,0.419,40,10,24.22,0,0
NMR-000051,Worker,Colony-A,26.4,53,0.18,32.0,26.3,5.85,11.06,0.174,23,9,22.85,1,1
NMR-000052,Worker,Colony-C,28.5,82,0.251,32.2,6.8,7.46,20.7,0.187,26,10,19.99,0,1
NMR-000053,Queen,Colony-B,37.5,13,0.364,33.2,37.2,6.55,4.66,0.419,27,11,19.57,1,0
NMR-000054,Worker,Colony-A,27.2,51,0.24,31.5,11.7,6.81,11.69,0.36,27,7,16.16,1,0
NMR-000055,Breeder,Colony-A,46.2,50,0.208,32.0,11.5,5.28,4.44,0.3,29,13,20.86,1,1
NMR-000056,Worker,Colony-A,32.5,54,0.324,32.3,15.4,5.44,19.4,0.321,34,14,17.61,0,1
NMR-000057,Worker,Colony-C,22.7,62,0.224,32.7,11.2,4.19,11.92,0.163,29,9,17.6,0,0
NMR-000058,Worker,Colony-E,27.1,45,0.22,31.3,10.5,6.25,16.8,0.395,24,13,22.97,0,1
NMR-000059,Worker,Colony-A,32.4,32,0.349,32.1,15.0,3.69,12.39,0.183,24,17,19.14,0,1
NMR-000060,Soldier,Colony-E,28.6,37,0.171,32.0,12.7,7.42,27.26,0.131,28,8,19.35,0,1
NMR-000061,Worker,Colony-A,25.7,61,0.284,32.9,13.6,7.04,21.77,0.102,18,11,25.63,1,1
NMR-000062,Soldier,Colony-A,47.8,37,0.232,33.1,22.3,5.4,16.44,0.302,31,13,21.69,1,1
NMR-000063,Soldier,Colony-E,38.4,48,0.234,32.3,18.6,7.46,13.49,0.336,28,13,20.58,1,1
NMR-000064,Soldier,Colony-A,41.5,40,0.324,31.9,13.3,6.32,10.06,0.311,25,17,16.27,1,1
NMR-000065,Queen,Colony-B,46.7,61,0.472,31.7,18.4,6.29,11.96,0.453,21,6,18.69,0,0
NMR-000066,Breeder,Colony-E,34.3,78,0.187,32.1,16.6,7.98,6.55,0.041,26,13,14.61,1,1
NMR-000067,Worker,Colony-C,27.7,58,0.132,31.6,12.0,6.41,17.56,0.336,26,9,16.81,0,1
NMR-000068,Breeder,Colony-E,37.7,75,0.351,32.8,27.4,6.19,13.02,0.331,21,16,15.59,1,0
NMR-000069,Worker,Colony-D,22.7,33,0.214,31.9,25.3,6.26,9.85,0.304,31,11,20.62,1,1
NMR-000070,Worker,Colony-E,32.1,39,0.202,31.3,12.2,6.55,9.25,0.378,24,11,19.0,1,1
NMR-000071,Worker,Colony-E,24.6,41,0.312,32.3,21.7,6.97,15.21,0.025,16,13,19.68,1,1
NMR-000072,Soldier,Colony-A,33.0,101,0.176,33.5,7.5,6.12,18.59,0.222,23,11,24.64,1,0
NMR-000073,Soldier,Colony-B,31.7,118,0.209,32.6,22.2,6.53,9.97,0.13,19,12,23.57,1,0
NMR-000074,Worker,Colony-E,22.5,59,0.268,31.5,28.9,6.88,12.67,0.231,28,7,25.07,0,0
NMR-000075,Soldier,Colony-B,35.3,100,0.287,32.7,15.3,7.27,11.3,0.159,31,10,18.63,0,1
NMR-000076,Worker,Colony-B,30.7,101,0.284,31.0,34.3,7.95,13.29,0.193,19,12,18.42,1,1
NMR-000077,Worker,Colony-D,18.2,60,0.305,32.2,20.8,9.84,15.15,0.558,36,11,21.02,0,1
NMR-000078,Soldier,Colony-A,36.5,42,0.244,31.3,10.1,7.4,9.86,0.156,17,13,17.65,0,0
NMR-000079,Worker,Colony-C,30.6,82,0.264,30.8,18.7,6.38,13.78,0.785,17,8,14.88,1,0
NMR-000080,Soldier,Colony-D,27.1,37,0.211,32.6,11.5,7.7,9.94,0.181,17,8,21.41,0,0
NMR-000081,Soldier,Colony-A,36.2,67,0.275,33.3,22.3,7.98,10.1,0.214,25,14,19.88,0,0
NMR-000082,Soldier,Colony-D,37.7,44,0.333,32.1,25.8,6.33,15.96,0.15,22,13,18.78,0,1
NMR-000083,Worker,Colony-E,22.3,30,0.217,33.2,11.9,5.79,14.01,0.241,33,8,18.84,1,1
NMR-000084,Worker,Colony-E,26.9,70,0.175,32.6,15.0,6.52,11.71,0.21,26,15,21.32,1,1
NMR-000085,Worker,Colony-E,37.3,70,0.161,32.5,27.1,8.41,33.79,0.336,20,15,19.92,1,1
NMR-000086,Worker,Colony-B,29.0,86,0.254,31.8,24.9,5.94,15.52,0.361,16,13,18.06,1,0
NMR-000087,Worker,Colony-A,26.2,56,0.137,32.8,11.1,4.95,14.56,0.264,29,14,21.69,1,0
NMR-000088,Breeder,Colony-D,38.0,16,0.183,31.1,19.1,7.79,3.06,0.454,28,6,21.39,1,0
NMR-000089,Soldier,Colony-C,33.6,49,0.345,31.4,16.4,7.2,13.26,0.391,20,12,18.65,0,0
NMR-000090,Worker,Colony-D,25.5,38,0.315,30.9,11.8,7.39,11.16,0.227,31,19,23.87,1,0
NMR-000091,Worker,Colony-C,31.5,47,0.165,32.9,15.1,7.89,13.0,0.269,18,16,22.13,1,1
NMR-000092,Soldier,Colony-B,39.0,189,0.251,32.4,17.8,5.74,12.84,0.173,30,11,20.01,1,0
NMR-000093,Worker,Colony-B,33.6,69,0.148,32.6,7.8,7.0,8.77,0.523,20,6,24.62,1,0
NMR-000094,Soldier,Colony-A,30.4,35,0.273,31.6,26.8,5.35,12.46,0.171,28,14,19.5,1,1
NMR-000095,Worker,Colony-E,29.6,75,0.246,31.3,34.1,7.5,12.38,0.291,18,5,21.25,1,0
NMR-000096,Worker,Colony-B,32.7,33,0.235,33.0,15.5,5.9,39.27,0.291,22,12,19.35,0,1
NMR-000097,Worker,Colony-D,27.0,68,0.149,31.3,15.5,5.74,22.98,0.309,20,15,18.63,1,0
NMR-000098,Worker,Colony-C,40.3,94,0.292,33.2,12.9,5.83,28.52,0.663,29,11,22.7,0,0
NMR-000099,Worker,Colony-B,19.9,30,0.173,32.2,13.0,5.77,14.81,0.523,31,17,15.61,0,1
NMR-000100,Soldier,Colony-B,31.0,65,0.28,32.7,14.6,4.67,8.01,0.464,24,15,17.17,0,0
NMR-000101,Soldier,Colony-B,30.8,33,0.24,31.0,43.6,5.53,6.96,0.121,25,8,20.65,1,1
NMR-000102,Breeder,Colony-A,37.1,74,0.189,31.5,12.1,6.92,11.86,0.451,32,10,15.25,1,1
NMR-000103,Soldier,Colony-D,30.5,212,0.149,32.7,14.9,6.51,11.71,0.189,31,13,23.74,0,1
NMR-000104,Worker,Colony-C,20.9,119,0.409,32.9,12.1,7.16,15.05,0.513,20,10,19.27,0,1
NMR-000105,Soldier,Colony-E,26.9,41,0.199,32.3,20.0,7.1,12.42,0.129,21,14,17.86,0,0
NMR-000106,Worker,Colony-B,35.1,45,0.206,32.9,19.2,6.1,8.26,0.567,32,13,18.05,0,1
NMR-000107,Worker,Colony-E,30.7,29,0.356,33.7,27.2,6.37,9.47,0.433,15,11,18.67,0,0
NMR-000108,Soldier,Colony-A,41.2,39,0.307,32.7,10.5,8.2,8.92,0.243,29,13,16.41,0,0
NMR-000109,Worker,Colony-E,35.2,50,0.349,32.0,10.5,5.43,15.64,0.169,31,8,21.04,0,1
NMR-000110,Soldier,Colony-C,39.6,51,0.189,32.2,27.1,5.98,8.98,0.21,25,14,20.65,1,0
NMR-000111,Worker,Colony-D,22.2,67,0.19,32.2,12.1,8.34,8.64,0.312,26,9,22.09,1,1
NMR-000112,Worker,Colony-A,31.2,41,0.193,31.1,12.4,7.67,17.38,0.272,23,5,21.15,0,0
NMR-000113,Worker,Colony-A,38.8,35,0.241,33.1,13.6,5.62,12.65,0.302,19,14,21.39,1,1
NMR-000114,Worker,Colony-E,36.0,63,0.213,32.9,8.2,6.29,11.12,0.228,32,13,16.37,0,1
NMR-000115,Worker,Colony-A,25.8,149,0.228,31.6,12.5,5.9,10.42,0.137,23,9,18.86,1,0
NMR-000116,Worker,Colony-E,29.8,40,0.281,32.3,15.7,6.36,12.06,0.313,23,13,18.55,1,1
NMR-000117,Soldier,Colony-C,43.8,33,0.265,32.0,13.8,8.97,15.56,0.135,25,13,20.51,0,0
NMR-000118,Soldier,Colony-A,36.0,41,0.151,30.9,11.9,7.3,8.09,0.463,25,8,18.14,1,0
NMR-000119,Soldier,Colony-A,33.1,78,0.141,32.9,5.9,7.49,9.22,0.09,17,13,24.2,1,1
NMR-000120,Worker,Colony-C,26.6,46,0.211,31.8,18.2,8.87,17.07,0.369,28,12,17.09,0,1
NMR-000121,Worker,Colony-D,30.3,32,0.322,31.9,17.0,7.39,12.38,0.131,19,9,14.31,0,1
NMR-000122,Worker,Colony-D,31.7,125,0.359,31.3,29.5,7.26,26.15,0.293,31,14,19.11,1,1
NMR-000123,Worker,Colony-C,31.4,59,0.191,32.2,17.0,7.3,26.15,0.457,22,12,23.91,0,1
NMR-000124,Worker,Colony-E,24.3,65,0.452,31.9,16.0,8.45,24.53,0.535,24,7,11.83,0,1
NMR-000125,Breeder,Colony-E,32.1,55,0.438,32.4,21.1,9.2,3.73,0.205,22,14,19.0,0,1
NMR-000126,Worker,Colony-B,22.9,22,0.384,31.4,12.5,6.04,11.18,0.372,24,10,22.06,0,1
NMR-000127,Soldier,Colony-E,30.5,53,0.179,32.2,17.0,6.42,21.81,0.286,25,11,13.17,0,1
NMR-000128,Soldier,Colony-B,39.6,45,0.349,32.3,13.7,6.22,9.31,0.442,23,12,20.44,0,1
NMR-000129,Worker,Colony-D,37.5,37,0.256,32.5,11.7,7.67,37.06,0.132,24,7,18.6,1,0
NMR-000130,Queen,Colony-B,38.0,18,0.148,32.0,24.2,8.86,5.04,0.34,19,14,19.62,1,0
NMR-000131,Worker,Colony-E,29.0,46,0.355,31.1,9.0,6.34,11.08,0.151,30,10,26.18,1,0
NMR-000132,Breeder,Colony-B,46.1,57,0.275,32.6,9.0,7.08,3.39,0.269,34,7,14.17,0,1
NMR-000133,Soldier,Colony-D,28.9,14,0.319,31.4,34.6,6.59,16.85,0.198,30,7,19.95,1,1
NMR-000134,Soldier,Colony-A,41.8,85,0.134,32.0,26.7,9.07,10.27,0.096,33,6,22.87,1,1
NMR-000135,Worker,Colony-A,32.9,121,0.222,32.3,24.3,6.95,14.33,0.374,25,13,21.29,1,1
NMR-000136,Worker,Colony-A,23.4,21,0.322,32.5,12.9,7.78,11.38,0.308,23,6,23.11,1,0
NMR-000137,Worker,Colony-E,22.1,67,0.177,32.7,18.7,6.14,14.0,0.275,22,14,10.89,0,0
NMR-000138,Worker,Colony-D,23.5,77,0.365,34.2,22.0,5.65,14.91,0.307,24,7,20.68,1,0
NMR-000139,Worker,Colony-A,30.1,50,0.209,32.6,28.2,6.84,14.5,0.417,28,18,21.01,1,1
NMR-000140,Worker,Colony-D,31.0,74,0.31,32.5,22.6,8.32,12.81,0.353,25,12,22.62,1,1
NMR-000141,Worker,Colony-B,24.1,125,0.143,33.2,35.7,6.72,14.85,0.098,21,14,15.25,0,0
NMR-000142,Worker,Colony-B,27.0,62,0.337,32.9,27.4,5.57,15.5,0.527,23,7,15.29,0,0
NMR-000143,Breeder,Colony-A,33.8,17,0.801,32.7,14.3,5.84,1.88,0.216,29,21,23.2,0,1
NMR-000144,Worker,Colony-B,37.0,28,0.338,30.6,24.0,6.5,9.93,0.192,25,12,16.34,0,0
NMR-000145,Worker,Colony-C,26.3,24,0.3,33.9,45.2,5.87,24.23,0.153,26,12,13.35,0,1
NMR-000146,Worker,Colony-B,24.8,69,0.308,32.2,17.3,7.78,16.89,0.418,36,7,20.83,1,1
NMR-000147,Worker,Colony-C,36.0,134,0.296,32.1,12.6,8.05,10.91,0.132,25,14,17.4,0,1
NMR-000148,Worker,Colony-A,24.8,150,0.247,31.7,9.2,7.66,8.45,0.254,27,9,20.06,0,1
NMR-000149,Worker,Colony-A,37.7,31,0.265,33.6,33.1,5.29,13.17,0.656,23,15,21.2,1,1
NMR-000150,Worker,Colony-E,28.2,35,0.153,34.1,36.2,9.13,9.83,0.437,23,9,21.53,1,0
NMR-000151,Soldier,Colony-B,35.1,64,0.214,32.3,10.8,5.01,13.2,0.317,25,9,20.31,0,0
NMR-000152,Breeder,Colony-A,37.8,35,0.304,32.4,12.2,6.2,5.44,0.167,22,11,15.75,0,1
NMR-000153,Worker,Colony-C,16.5,84,0.273,33.2,15.2,6.5,27.55,0.367,27,8,17.38,0,0
NMR-000154,Worker,Colony-B,33.1,113,0.197,32.3,28.0,7.69,9.8,0.125,15,12,18.82,1,1
NMR-000155,Worker,Colony-A,24.5,109,0.201,32.7,16.4,5.53,13.62,0.254,25,16,16.95,1,0
NMR-000156,Queen,Colony-C,32.1,33,0.297,32.6,16.9,8.64,4.18,0.106,20,16,28.16,1,0
NMR-000157,Soldier,Colony-C,19.8,52,0.198,31.0,19.6,5.87,19.38,0.398,25,7,12.59,0,0
NMR-000158,Soldier,Colony-C,32.4,25,0.213,30.8,21.3,5.88,6.83,0.356,24,10,24.63,1,1
NMR-000159,Soldier,Colony-C,33.7,50,0.242,31.3,15.0,4.87,6.59,0.33,23,7,17.75,1,1
NMR-000160,Worker,Colony-E,35.4,51,0.239,33.8,21.6,6.39,13.55,0.385,17,8,23.35,1,0
NMR-000161,Worker,Colony-B,28.6,118,0.321,32.6,20.4,6.37,12.48,0.324,21,11,14.46,0,0
NMR-000162,Worker,Colony-A,36.0,67,0.408,32.7,20.1,5.64,10.56,0.17,27,9,18.45,0,1
NMR-000163,Breeder,Colony-A,46.4,36,0.199,33.3,17.7,6.19,6.01,0.38,23,15,24.14,1,1
NMR-000164,Worker,Colony-B,25.0,43,0.222,31.3,8.6,6.4,12.42,0.344,32,10,23.43,1,1
NMR-000165,Breeder,Colony-D,31.8,79,0.264,32.7,16.1,6.99,9.09,0.248,31,11,24.04,0,1
NMR-000166,Worker,Colony-D,31.3,116,0.193,32.1,22.3,6.58,10.51,0.343,27,9,13.67,1,0
NMR-000167,Soldier,Colony-E,34.5,28,0.241,31.3,17.7,5.35,11.49,0.621,30,8,18.78,1,1
NMR-000168,Breeder,Colony-E,30.4,76,0.193,31.1,12.7,6.99,8.33,0.152,25,7,11.88,0,0
NMR-000169,Worker,Colony-B,37.4,71,0.334,30.4,44.0,7.02,12.46,0.135,13,7,24.77,1,1
NMR-000170,Worker,Colony-B,25.2,84,0.277,33.5,12.6,8.56,20.31,0.314,24,9,13.17,0,1
NMR-000171,Soldier,Colony-E,37.1,51,0.28,31.4,11.1,6.05,10.21,0.142,21,11,12.57,1,0
NMR-000172,Queen,Colony-B,42.3,56,0.236,31.3,12.3,7.11,12.6,0.455,33,11,14.63,0,0
NMR-000173,Worker,Colony-D,30.1,58,0.448,33.3,15.4,8.07,10.58,0.446,22,9,23.3,0,0
NMR-000174,Worker,Colony-B,21.6,16,0.244,32.9,8.8,5.33,17.03,0.41,27,11,22.53,1,1
NMR-000175,Worker,Colony-C,32.5,49,0.257,33.7,12.9,7.63,20.31,0.326,18,15,18.54,0,0
NMR-000176,Worker,Colony-E,21.2,184,0.39,31.2,26.1,6.47,7.95,0.384,21,10,18.83,1,0
NMR-000177,Soldier,Colony-D,32.1,58,0.323,31.8,14.1,5.7,20.61,0.233,21,16,17.33,0,1
NMR-000178,Worker,Colony-E,23.3,44,0.172,31.8,16.3,8.48,13.94,0.432,26,14,20.25,1,0
NMR-000179,Queen,Colony-E,40.0,43,0.341,31.6,23.9,6.84,3.18,0.35,26,8,26.22,1,1
NMR-000180,Worker,Colony-C,15.3,50,0.212,32.2,35.4,5.68,16.0,0.252,23,9,15.71,1,1
NMR-000181,Worker,Colony-D,30.3,51,0.426,32.6,20.6,5.17,16.47,0.406,24,4,17.03,0,0
NMR-000182,Breeder,Colony-C,36.5,49,0.18,31.3,13.1,6.43,9.44,0.326,16,14,22.55,0,0
NMR-000183,Soldier,Colony-B,30.5,30,0.238,32.8,6.5,7.63,15.6,0.372,27,9,21.14,1,1
NMR-000184,Queen,Colony-B,42.3,44,0.284,33.7,19.4,7.05,11.92,0.194,27,12,18.53,0,0
NMR-000185,Worker,Colony-B,26.0,56,0.325,31.8,16.0,7.28,13.26,0.532,21,11,16.9,0,1
NMR-000186,Worker,Colony-B,21.4,48,0.289,32.1,19.9,6.12,17.21,0.105,30,10,18.56,0,1
NMR-000187,Worker,Colony-B,35.0,66,0.407,32.1,11.0,6.65,25.85,0.234,24,12,14.67,0,1
NMR-000188,Worker,Colony-B,35.5,53,0.215,33.7,21.6,8.7,12.34,0.365,28,9,20.46,0,0
NMR-000189,Soldier,Colony-B,33.4,185,0.27,32.9,11.4,6.41,25.78,0.075,27,10,25.32,0,0
NMR-000190,Soldier,Colony-A,37.7,140,0.146,33.5,30.3,8.46,12.37,0.316,29,11,22.09,1,0
NMR-000191,Queen,Colony-E,45.8,18,0.257,33.0,28.1,5.49,-2.08,0.343,25,12,18.41,1,1
NMR-000192,Worker,Colony-D,32.4,22,0.198,31.9,51.1,7.84,12.54,0.338,21,11,24.02,1,0
NMR-000193,Soldier,Colony-D,27.1,25,0.457,32.6,37.9,7.88,15.97,0.303,23,5,21.0,0,0
NMR-000194,Worker,Colony-C,29.8,92,0.174,32.4,18.0,6.78,12.31,0.155,25,14,20.16,0,1
NMR-000195,Worker,Colony-A,31.5,58,0.69,32.0,13.3,6.87,37.45,0.226,18,9,15.97,0,1
NMR-000196,Soldier,Colony-D,29.4,108,0.172,31.8,19.1,6.54,4.34,0.587,24,8,21.33,1,0
NMR-000197,Worker,Colony-E,23.6,25,0.472,30.6,39.1,9.04,16.21,0.286,16,8,23.89,1,0
NMR-000198,Worker,Colony-E,36.3,57,0.317,32.2,42.7,6.09,13.14,0.5,24,12,17.27,1,1
NMR-000199,Worker,Colony-E,23.5,69,0.235,32.4,16.3,6.52,10.73,0.371,27,10,23.86,1,1
NMR-000200,Soldier,Colony-A,31.5,39,0.257,31.5,27.2,8.51,10.58,0.347,16,4,24.49,1,0
NMR-000201,Worker,Colony-B,34.1,55,0.259,30.7,9.1,7.8,21.38,0.357,17,9,21.26,0,0
NMR-000202,Worker,Colony-A,35.0,25,0.236,31.0,23.0,6.62,17.19,0.143,32,11,21.05,0,0
NMR-000203,Worker,Colony-A,31.1,79,0.203,30.4,7.5,5.59,9.65,0.413,22,13,18.83,0,0
NMR-000204,Breeder,Colony-C,47.2,43,0.277,31.6,17.8,6.56,10.58,0.329,20,5,17.91,1,1
NMR-000205,Breeder,Colony-E,40.8,63,0.296,32.1,30.7,8.85,1.65,0.311,23,13,18.35,1,1
NMR-000206,Worker,Colony-C,30.1,35,0.183,34.1,10.4,7.21,16.45,0.22,30,9,23.9,1,0
NMR-000207,Breeder,Colony-C,36.5,77,0.258,31.1,14.2,8.37,4.8,0.426,26,9,19.09,0,1
NMR-000208,Worker,Colony-B,19.8,106,0.207,31.5,22.6,8.65,18.91,0.301,24,11,19.84,1,1
NMR-000209,Soldier,Colony-B,33.1,63,0.243,30.5,9.7,7.06,9.09,0.202,22,14,23.48,1,0
NMR-000210,Worker,Colony-A,39.1,58,0.228,31.0,27.8,9.73,8.74,0.334,21,7,21.81,1,1
NMR-000211,Worker,Colony-D,30.9,41,0.378,31.5,19.2,5.1,22.62,0.493,29,11,19.4,0,1
NMR-000212,Worker,Colony-C,22.8,88,0.246,30.6,22.4,6.18,17.83,0.316,34,5,20.68,0,0
NMR-000213,Soldier,Colony-D,39.6,49,0.217,30.6,19.3,4.35,9.19,0.16,21,5,17.39,0,0
NMR-000214,Worker,Colony-A,31.1,42,0.379,32.0,17.1,6.17,15.28,0.301,14,9,17.89,0,1
NMR-000215,Worker,Colony-D,21.0,49,0.218,34.1,8.5,6.7,32.34,0.061,18,8,18.36,0,0
NMR-000216,Breeder,Colony-A,37.2,127,0.24,31.0,36.5,6.26,5.36,0.613,27,11,17.8,1,0
NMR-000217,Breeder,Colony-A,41.5,24,0.292,34.5,35.6,6.86,6.44,0.636,21,10,18.22,1,0
NMR-000218,Soldier,Colony-B,35.4,108,0.181,32.5,9.6,7.99,10.28,0.616,17,15,22.39,1,1
NMR-000219,Worker,Colony-E,28.8,48,0.137,31.8,8.6,6.4,12.51,0.567,22,15,18.71,1,1
NMR-000220,Worker,Colony-D,32.8,92,0.203,32.6,29.3,7.3,18.56,0.303,17,10,18.07,1,1
NMR-000221,Soldier,Colony-C,24.2,28,0.193,32.6,15.5,7.46,9.52,0.358,31,10,16.96,0,0
NMR-000222,Worker,Colony-C,30.2,59,0.148,34.4,46.4,6.91,13.65,0.209,27,13,18.2,1,0
NMR-000223,Worker,Colony-A,18.7,66,0.344,33.8,18.3,7.38,15.24,0.284,37,9,19.8,0,1
NMR-000224,Breeder,Colony-A,29.7,47,0.304,32.2,34.2,5.65,16.79,0.143,25,9,20.72,0,1
NMR-000225,Breeder,Colony-B,39.9,50,0.264,32.5,12.8,8.75,16.56,0.133,37,7,16.62,0,1
NMR-000226,Breeder,Colony-A,41.0,85,0.465,32.2,23.5,5.91,5.41,0.736,29,16,15.12,0,0
NMR-000227,Worker,Colony-E,25.9,17,0.241,31.9,12.2,6.62,16.74,0.069,29,15,16.97,0,1
NMR-000228,Worker,Colony-A,33.9,65,0.184,32.8,17.4,6.2,34.18,0.318,25,8,22.87,1,1
NMR-000229,Worker,Colony-C,25.3,72,0.235,31.8,13.6,5.96,11.75,0.627,35,11,24.36,1,0
NMR-000230,Worker,Colony-A,23.9,84,0.214,31.9,25.3,6.23,9.4,0.138,23,11,20.28,1,1
NMR-000231,Worker,Colony-E,33.0,63,0.235,32.6,16.1,5.83,10.45,0.537,32,11,18.71,0,1
