sample_id,group,batch,measure_1,resolution_ang,r_free,chain_length_aa,molecular_weight_kda,fraction_helix,fraction_sheet,mean_b_factor,radius_gyration_ang,ligand_count,isoelectric_point,target_a,target_b
STR-000051,Control,B01,102.79,2.82,0.2228,456,26.28,0.3075,0.2748,39.79,22.83,0,8.54,0,1
STR-000052,TreatmentB,B01,89.56,0.95,0.226,170,80.97,0.5234,0.2736,36.05,29.49,7,6.16,0,1
STR-000053,TreatmentB,B02,107.88,0.63,0.2586,286,74.2,0.2427,0.2565,26.71,21.79,1,5.35,1,0
STR-000054,TreatmentA,B01,114.06,1.61,0.2097,298,65.52,0.3731,0.3626,20.39,27.62,0,6.92,0,1
STR-000055,TreatmentA,B03,88.01,2.82,0.2559,153,18.51,0.5758,0.2982,32.34,25.09,2,5.1,1,0
STR-000056,Control,B02,114.5,2.04,0.1692,312,53.23,0.3524,0.3249,61.03,14.82,2,7.99,1,0
STR-000057,TreatmentA,B03,96.18,1.34,0.2186,196,42.51,0.5112,0.3367,43.94,23.22,0,6.41,1,1
STR-000058,TreatmentA,B03,94.57,1.86,0.2533,320,40.1,0.2482,0.5135,28.86,16.05,3,6.82,1,0
STR-000059,TreatmentA,B03,121.22,2.08,0.2578,213,19.52,0.2584,0.4163,36.3,28.68,2,5.64,0,0
STR-000060,Control,B03,119.93,1.83,0.298,163,29.44,0.1611,0.3294,54.28,36.6,1,7.47,1,0
STR-000061,Control,B03,122.34,2.41,0.2264,116,41.94,0.2656,0.3067,28.43,24.62,1,4.06,0,0
STR-000062,TreatmentA,B02,108.36,1.04,0.2122,294,48.91,0.232,0.5319,20.95,18.25,4,8.96,1,0
STR-000063,TreatmentA,B03,129.09,1.74,0.2224,187,35.59,0.2698,0.2588,36.35,37.4,0,3.84,1,0
STR-000064,TreatmentA,B02,113.99,1.82,0.2451,258,63.51,0.1306,0.1627,27.67,21.03,2,6.6,0,1
STR-000065,TreatmentA,B01,76.76,1.86,0.1888,484,100.64,0.3043,0.4418,58.24,21.2,3,9.01,1,0
STR-000066,TreatmentB,B03,90.27,1.37,0.2851,314,16.12,0.2825,0.3687,49.11,27.87,3,7.24,0,1
STR-000067,Control,B03,90.0,3.26,0.2223,349,33.82,0.3001,0.3447,64.13,24.67,1,5.63,0,0
STR-000068,Control,B01,120.7,2.85,0.213,414,38.43,0.43,0.2639,29.77,31.1,0,8.29,1,0
STR-000069,TreatmentA,B01,115.15,1.68,0.2742,545,35.65,0.386,0.1861,27.44,26.97,2,4.61,0,0
STR-000070,TreatmentB,B02,70.62,2.54,0.2784,158,57.7,0.3875,0.332,35.88,20.75,4,8.23,0,1
STR-000071,TreatmentB,B02,104.31,2.3,0.2088,223,55.51,0.3771,0.2742,35.23,30.95,3,7.53,0,1
STR-000072,TreatmentA,B01,109.46,1.55,0.175,382,43.19,0.4507,0.2867,31.89,22.79,1,7.63,1,1
STR-000073,TreatmentA,B02,104.36,0.85,0.2176,338,21.04,0.3803,0.2762,21.56,10.98,2,4.89,1,0
STR-000074,Control,B02,81.09,1.48,0.2127,355,27.88,0.7133,0.2336,36.62,25.04,2,8.08,1,0
STR-000075,TreatmentB,B02,95.4,1.61,0.2327,328,57.53,0.133,0.1666,24.13,26.86,2,8.63,1,1
STR-000076,TreatmentB,B02,117.64,1.37,0.2672,163,15.46,0.2753,0.4857,4.84,30.65,1,6.03,1,0
STR-000077,Control,B03,101.86,3.73,0.2737,288,36.13,0.5024,0.2972,32.96,17.49,0,5.5,0,1
STR-000078,TreatmentB,B01,98.05,1.3,0.2272,135,47.73,0.4376,0.1976,26.41,21.42,3,4.99,1,1
STR-000079,TreatmentB,B03,118.44,1.85,0.3392,160,10.0,0.449,0.5248,12.42,33.37,4,5.86,0,0
STR-000080,Control,B02,104.38,1.69,0.2668,359,19.26,0.1773,0.354,27.15,22.45,0,7.76,1,1
STR-000081,Control,B02,99.55,3.32,0.2239,145,38.7,0.3113,0.165,27.81,14.67,2,5.88,0,1
STR-000082,TreatmentB,B02,97.28,0.97,0.2335,267,20.77,0.2533,0.2052,58.63,14.78,2,7.07,1,1
STR-000083,Control,B02,98.0,3.76,0.2753,281,42.38,0.3457,0.1222,47.12,24.9,2,9.3,0,0
STR-000084,TreatmentB,B02,95.07,2.52,0.3035,404,30.44,0.5235,0.3201,17.87,28.62,5,7.21,0,1
STR-000085,TreatmentA,B03,106.21,2.98,0.2314,585,12.71,0.627,0.1112,18.2,14.13,0,6.62,0,0
STR-000086,TreatmentB,B01,94.2,2.56,0.1726,703,29.87,0.3998,0.3072,7.46,16.83,0,6.52,1,1
STR-000087,TreatmentA,B03,91.07,1.18,0.2503,282,27.85,0.1924,0.0801,21.02,19.55,4,5.82,1,1
STR-000088,TreatmentB,B03,90.15,1.04,0.2546,209,79.08,0.2341,0.0897,19.24,14.71,3,5.69,1,1
STR-000089,TreatmentA,B02,117.71,1.88,0.2292,146,54.03,0.4851,0.1658,17.2,28.6,2,5.96,1,1
STR-000090,TreatmentA,B02,80.1,1.76,0.2507,551,101.22,0.484,0.2234,32.46,31.11,4,5.75,1,0
STR-000091,TreatmentA,B01,120.48,1.94,0.2452,408,63.68,0.441,0.3066,37.73,21.77,1,9.55,1,0
STR-000092,TreatmentB,B02,75.12,1.95,0.284,226,29.7,0.3672,0.1822,49.06,23.18,2,6.64,0,1
STR-000093,Control,B02,98.43,2.57,0.2614,611,13.47,0.3457,0.4216,62.99,30.99,5,8.27,0,0
STR-000094,TreatmentB,B02,103.73,1.42,0.1294,407,21.79,0.6131,0.4575,33.89,26.68,2,8.43,1,1
STR-000095,TreatmentA,B03,110.98,1.9,0.2759,377,65.72,0.4288,0.3257,33.63,18.03,1,5.6,0,0
STR-000096,TreatmentB,B03,96.21,1.59,0.209,314,30.63,0.2355,0.0414,73.94,33.28,1,7.57,1,1
STR-000097,TreatmentB,B01,116.23,0.8,0.2024,341,50.08,0.2492,0.3218,27.77,32.28,1,8.89,1,0
STR-000098,Control,B01,103.67,2.41,0.1617,244,18.77,0.4939,0.2837,70.89,33.54,2,6.97,1,1
STR-000099,Control,B02,95.94,1.48,0.2043,235,39.03,0.2207,0.2368,38.04,30.21,4,7.17,1,1
STR-000100,TreatmentB,B02,107.52,1.7,0.2099,1123,21.75,0.5153,0.2374,34.35,35.39,5,6.63,1,1
STR-000101,Control,B01,106.26,1.56,0.2541,300,55.75,0.3642,0.2611,41.92,26.98,3,4.9,1,0
STR-000102,Control,B01,83.1,1.84,0.2079,88,52.97,0.3667,0.2541,37.26,22.11,2,8.26,1,0
STR-000103,Control,B02,83.36,2.49,0.2337,305,67.97,0.3673,0.2706,31.44,17.79,4,6.6,0,1
STR-000104,TreatmentA,B02,93.76,3.1,0.2061,219,12.52,0.6845,0.3832,30.13,44.62,2,9.37,0,1
STR-000105,TreatmentA,B03,84.42,1.49,0.2318,141,28.37,0.6297,0.2938,31.32,18.81,5,6.14,1,1
STR-000106,TreatmentB,B01,109.89,1.6,0.2783,225,59.88,0.2214,0.3795,43.34,28.34,1,7.69,1,0
STR-000107,TreatmentB,B01,89.83,2.52,0.2165,97,33.96,0.3728,0.3789,44.05,25.31,1,7.07,1,1
STR-000108,TreatmentA,B01,90.26,1.95,0.1633,113,47.95,0.4384,0.1937,19.3,22.39,1,7.35,1,1
STR-000109,TreatmentB,B03,82.52,1.36,0.2587,149,17.55,0.6253,0.2196,29.73,29.07,4,6.78,1,1
STR-000110,Control,B03,93.61,1.97,0.1956,159,80.43,0.5131,0.3325,37.69,22.68,3,6.91,0,1
STR-000111,TreatmentB,B02,104.6,1.12,0.186,492,19.52,0.4806,0.2178,16.14,28.22,0,7.67,1,1
STR-000112,Control,B01,114.89,2.0,0.1978,329,50.8,0.677,0.4122,36.52,8.72,2,10.33,1,0
STR-000113,TreatmentA,B01,70.62,3.67,0.2777,143,57.91,0.5415,0.3552,38.13,17.04,2,7.03,0,1
STR-000114,Control,B01,99.44,1.88,0.201,502,53.45,0.2257,0.4288,18.14,25.61,4,7.13,1,0
STR-000115,TreatmentA,B03,109.14,1.94,0.3172,256,34.15,0.3365,0.4824,21.25,27.77,2,7.5,0,1
STR-000116,TreatmentB,B03,110.84,1.19,0.233,715,35.85,0.3821,0.3679,50.23,19.04,1,9.27,0,0
STR-000117,TreatmentB,B02,110.2,2.38,0.238,539,24.25,0.2873,0.2345,12.33,24.04,5,8.0,1,0
STR-000118,TreatmentA,B01,111.39,1.74,0.2189,414,37.82,0.4802,0.1078,63.62,31.01,4,6.78,1,1
STR-000119,TreatmentB,B03,75.7,2.64,0.2146,134,32.46,0.5371,0.1341,47.59,33.0,4,6.55,1,0
STR-000120,Control,B02,77.72,2.38,0.1908,323,13.33,0.3629,0.1983,58.89,23.84,4,6.11,0,0
STR-000121,TreatmentB,B01,101.03,2.05,0.2658,137,37.12,0.5771,0.2247,16.49,27.72,2,7.03,0,1
STR-000122,Control,B02,110.65,2.04,0.2266,117,7.22,0.2944,0.4638,26.09,31.28,2,7.14,0,0
STR-000123,TreatmentB,B01,104.22,1.32,0.2355,89,13.46,0.5577,0.3091,11.08,36.9,4,5.75,1,1
STR-000124,Control,B02,104.62,1.37,0.2153,309,40.68,0.4821,0.1603,23.78,30.99,1,5.13,1,0
STR-000125,TreatmentB,B02,97.72,2.06,0.1944,399,28.23,0.6692,0.2548,7.6,19.33,1,6.49,0,1
STR-000126,Control,B02,90.94,2.44,0.193,211,42.6,0.4236,0.5284,32.04,18.93,6,7.59,0,0
STR-000127,Control,B02,75.89,2.08,0.1671,209,43.36,0.4063,0.5656,63.03,25.91,3,6.39,1,1
STR-000128,Control,B03,67.56,1.63,0.2533,447,21.99,0.0944,0.2816,45.22,33.77,3,6.2,1,1
STR-000129,TreatmentB,B02,94.48,2.46,0.2081,268,40.35,0.4996,0.1436,40.08,22.91,2,7.17,1,0
STR-000130,TreatmentB,B02,89.54,1.45,0.283,433,62.94,0.2409,0.3854,36.85,40.53,2,7.03,0,1
STR-000131,TreatmentB,B01,115.32,1.17,0.2173,194,7.68,0.1936,0.0835,118.41,18.94,4,7.42,0,1
STR-000132,Control,B01,88.35,3.07,0.2507,223,72.8,0.2994,0.1593,38.79,19.26,1,4.47,0,0
STR-000133,TreatmentB,B03,103.85,1.12,0.2613,252,38.06,0.1871,0.5375,43.59,21.17,1,5.95,1,0
STR-000134,Control,B01,127.97,2.77,0.2489,61,25.7,0.5889,0.2462,65.15,26.32,2,6.66,0,0
STR-000135,Control,B03,109.11,1.89,0.2344,303,72.24,0.4963,0.105,27.04,27.62,3,6.35,1,1
STR-000136,Control,B02,87.16,2.81,0.1971,187,28.55,0.5673,0.3285,32.59,30.28,1,5.96,0,1
STR-000137,TreatmentA,B03,78.16,1.26,0.2412,328,49.29,0.3363,0.433,28.43,23.72,2,4.48,1,0
STR-000138,TreatmentB,B01,53.79,0.98,0.2258,150,95.37,0.4129,0.3231,15.2,19.46,2,8.01,1,1
STR-000139,Control,B01,89.93,2.53,0.2207,110,91.59,0.7104,0.569,18.58,22.35,2,3.99,0,1
STR-000140,Control,B01,106.2,1.57,0.213,266,47.59,0.2172,0.4011,48.81,26.2,1,6.34,1,0
STR-000141,TreatmentB,B02,99.48,1.54,0.1904,165,57.32,0.6948,0.3824,80.44,25.68,4,5.52,1,1
STR-000142,TreatmentA,B03,91.31,1.8,0.2794,785,90.13,0.4415,0.1985,41.18,22.88,0,6.93,1,1
STR-000143,TreatmentA,B02,99.03,2.06,0.2237,298,25.72,0.4523,0.1634,49.35,21.55,4,5.87,1,1
STR-000144,Control,B01,64.38,3.39,0.2004,193,24.33,0.4046,0.3577,28.32,27.39,3,4.35,0,0
STR-000145,TreatmentB,B01,95.57,2.5,0.2356,376,12.05,0.2983,0.4168,9.48,29.28,3,7.95,1,0
STR-000146,TreatmentB,B03,93.88,1.77,0.2438,581,29.16,0.4492,0.2488,20.94,18.91,4,8.79,1,1
STR-000147,TreatmentA,B03,135.46,2.6,0.3007,231,71.73,0.4846,0.3141,21.52,24.19,5,5.03,0,1
STR-000148,Control,B03,114.94,1.98,0.1867,106,13.97,0.3839,0.3485,53.26,24.35,3,7.52,0,0
STR-000149,TreatmentA,B01,91.89,2.03,0.24,257,87.18,0.5705,0.2459,52.61,22.95,0,5.39,0,0
STR-000150,TreatmentA,B01,100.15,1.52,0.2233,104,62.79,0.4271,0.0815,32.31,28.59,1,5.49,0,0
STR-000151,TreatmentA,B02,109.68,1.97,0.3114,741,15.68,0.286,0.4624,27.1,34.97,2,7.53,0,0
STR-000152,TreatmentA,B03,118.37,1.32,0.2121,199,17.91,0.6732,0.2885,41.85,22.63,0,5.04,1,0
STR-000153,TreatmentB,B01,117.21,1.06,0.2507,149,28.0,0.1834,0.2616,20.37,16.6,2,6.35,1,1
STR-000154,TreatmentA,B01,90.81,1.76,0.2766,475,16.35,0.7277,0.2903,36.21,20.6,0,7.24,0,1
STR-000155,TreatmentB,B02,105.36,0.78,0.2208,277,16.8,0.4931,0.4025,12.03,24.67,0,6.7,1,0
STR-000156,TreatmentA,B03,89.19,2.07,0.3106,317,34.41,0.2771,0.4287,27.2,27.59,1,4.09,0,0
STR-000157,Control,B03,107.61,1.72,0.2221,340,12.18,0.4811,0.2104,39.75,16.55,1,5.06,0,0
STR-000158,Control,B03,79.47,2.93,0.2777,109,111.83,0.3597,0.4324,29.01,31.91,0,6.22,0,1
STR-000159,TreatmentA,B02,117.54,1.7,0.2911,160,18.54,0.2087,0.3335,34.82,22.37,2,5.96,0,1
STR-000160,Control,B03,100.71,2.22,0.2402,141,11.79,0.2027,0.1003,44.32,22.68,6,9.39,1,1
STR-000161,Control,B03,101.81,2.31,0.2376,279,42.06,0.4576,0.2921,38.95,42.85,1,6.41,1,1
STR-000162,TreatmentA,B02,97.09,2.83,0.2814,409,64.9,0.8383,0.4704,21.31,22.55,2,7.7,0,1
STR-000163,Control,B03,113.3,2.26,0.2103,320,38.16,0.3423,0.32,19.97,22.37,6,8.75,0,0
STR-000164,TreatmentB,B01,78.24,0.83,0.237,654,36.13,0.4291,0.1815,9.09,29.31,1,3.36,1,0
STR-000165,Control,B01,98.44,1.99,0.2039,112,91.8,0.6358,0.3815,38.33,24.73,4,6.1,1,1
STR-000166,TreatmentA,B02,121.49,1.4,0.2245,162,30.18,0.3212,0.2528,67.09,29.37,0,6.64,0,1
STR-000167,TreatmentB,B03,111.73,2.28,0.2871,120,43.92,0.6406,0.6118,30.67,21.62,2,6.74,0,1
STR-000168,TreatmentB,B03,89.07,1.4,0.2511,511,17.38,0.3024,0.6352,15.59,29.47,0,6.88,1,1
STR-000169,TreatmentA,B01,92.02,2.91,0.2601,173,57.62,0.4213,0.2738,25.91,21.96,3,6.74,0,1
STR-000170,Control,B01,116.11,1.88,0.2388,131,72.74,0.5178,0.4147,22.63,24.81,4,5.78,0,1
STR-000171,TreatmentB,B01,111.93,1.73,0.1757,197,11.02,0.445,0.3509,54.54,22.36,5,7.15,1,1
STR-000172,TreatmentA,B02,131.84,2.9,0.2204,502,10.75,0.2196,0.2548,21.25,24.73,4,3.88,0,0
STR-000173,TreatmentA,B03,104.66,2.01,0.165,287,33.49,0.5282,0.5454,21.91,21.68,1,6.13,1,1
STR-000174,Control,B02,85.96,3.5,0.2581,198,39.73,0.4949,0.2676,26.28,11.01,2,6.65,0,0
STR-000175,TreatmentB,B02,98.2,1.29,0.2033,157,69.24,0.6593,0.4277,30.34,27.12,1,6.62,1,1
STR-000176,TreatmentB,B02,121.81,1.77,0.2153,310,26.06,0.3214,0.5314,28.36,29.8,0,6.29,1,1
STR-000177,TreatmentB,B03,87.31,1.61,0.2077,51,25.7,0.6169,0.1362,57.77,31.87,3,6.77,1,0
STR-000178,TreatmentA,B01,107.08,1.61,0.2283,597,152.29,0.3035,0.1415,20.0,21.32,6,7.09,1,1
STR-000179,TreatmentA,B02,73.39,2.26,0.2155,240,10.83,0.4295,0.2221,57.07,19.66,4,3.23,1,0
STR-000180,TreatmentB,B03,84.24,1.28,0.1589,438,46.6,0.3266,0.6073,22.65,25.42,2,7.53,1,0
STR-000181,TreatmentA,B03,100.19,1.41,0.2023,865,16.1,0.3071,0.1999,49.07,16.8,4,6.49,1,1
STR-000182,Control,B02,105.1,3.83,0.1899,422,15.82,0.4849,0.4466,49.79,26.35,1,6.84,0,1
STR-000183,TreatmentB,B03,121.58,1.06,0.2386,275,31.08,0.3198,0.5866,32.63,25.08,3,7.93,1,0
STR-000184,TreatmentB,B02,137.0,1.25,0.2291,1282,18.8,0.6545,0.155,24.2,23.18,2,7.7,1,0
STR-000185,TreatmentA,B03,108.81,2.07,0.2505,458,27.98,0.5199,0.2064,38.13,22.43,4,7.29,0,0
STR-000186,Control,B02,87.72,2.06,0.2095,215,28.27,0.4059,0.2495,39.72,20.27,2,5.77,1,1
STR-000187,TreatmentB,B02,75.2,0.92,0.2184,96,31.23,0.3276,0.5271,26.36,27.04,1,8.8,1,0
STR-000188,TreatmentA,B01,78.55,2.31,0.1862,252,82.93,0.1883,0.3673,42.23,30.62,2,6.99,0,1
STR-000189,TreatmentB,B03,75.24,1.61,0.3184,319,68.5,0.5587,0.4063,23.66,28.69,3,7.56,0,1
STR-000190,TreatmentB,B03,89.84,2.73,0.2586,226,75.6,0.237,0.4297,67.67,25.17,0,7.49,0,0
STR-000191,TreatmentA,B01,78.93,2.06,0.2663,180,21.24,0.5179,0.3263,60.54,22.42,1,7.54,0,1
STR-000192,Control,B02,102.72,2.09,0.2567,222,20.19,0.5136,0.4247,31.11,8.36,4,5.42,0,1
STR-000193,TreatmentB,B01,89.88,2.19,0.2765,406,46.84,0.4195,0.4813,22.72,28.74,1,5.81,0,1
STR-000194,TreatmentB,B02,119.7,1.92,0.2348,278,52.51,0.3552,0.1746,23.61,20.39,3,6.03,1,1
STR-000195,Control,B01,95.04,3.55,0.2404,295,35.08,0.5931,0.2589,41.81,28.34,2,7.42,0,0
STR-000196,Control,B03,107.96,2.12,0.1892,216,9.11,0.5717,0.1432,35.3,21.09,3,4.7,1,0
STR-000197,TreatmentA,B01,84.34,2.74,0.195,1148,13.84,0.4704,0.3941,28.08,18.81,3,7.38,1,1
STR-000198,Control,B03,100.05,2.74,0.2871,130,23.53,0.3909,0.4634,113.82,10.79,2,7.43,0,1
STR-000199,TreatmentA,B02,117.29,2.19,0.2361,367,31.94,0.2064,0.1788,33.42,39.53,3,6.36,0,1
STR-000200,Control,B03,131.84,2.62,0.2017,433,30.45,0.4982,0.1215,28.57,22.66,2,4.98,1,0
STR-000201,Control,B01,118.71,2.92,0.2707,345,34.26,0.4958,0.5101,97.52,16.01,1,6.17,0,1
STR-000202,Control,B02,79.89,2.25,0.2811,313,65.24,0.5073,0.2235,24.03,24.64,2,5.41,1,0
STR-000203,TreatmentA,B01,114.91,3.23,0.2294,270,38.45,0.4922,0.2428,55.9,11.95,1,7.27,0,1
STR-000204,TreatmentA,B02,77.64,2.18,0.225,213,35.09,0.619,0.3322,44.38,35.41,2,9.87,1,0
STR-000205,Control,B03,97.08,3.07,0.2722,927,48.58,0.3698,0.239,54.03,37.31,1,7.71,0,1
STR-000206,Control,B03,94.43,2.75,0.2213,112,31.27,0.4332,0.1247,29.22,19.54,3,6.38,0,0
STR-000207,Control,B03,101.41,1.42,0.2463,294,48.75,0.4469,0.3495,33.7,25.75,3,8.58,1,0
STR-000208,TreatmentB,B01,99.44,1.74,0.2546,144,75.21,0.4328,0.5725,22.65,24.82,3,6.35,0,1
STR-000209,Control,B02,91.98,2.03,0.2239,284,24.62,0.3383,0.21,35.88,15.45,0,3.63,0,0
STR-000210,TreatmentB,B02,108.43,1.44,0.3014,129,79.01,0.1944,0.2814,13.8,22.96,2,6.14,0,1
STR-000211,TreatmentA,B03,110.56,2.2,0.2448,181,21.55,0.44,0.1449,43.33,24.94,4,6.15,1,1
STR-000212,Control,B02,75.53,2.13,0.2605,252,23.29,0.319,0.4182,51.12,19.03,0,7.3,0,1
STR-000213,Control,B01,121.99,2.39,0.1722,928,43.65,0.1366,0.1557,44.15,32.82,5,4.92,0,1
STR-000214,TreatmentB,B01,107.56,1.36,0.2141,379,63.97,0.1782,0.6103,23.03,22.74,1,7.42,1,0
STR-000215,TreatmentB,B03,102.3,1.87,0.2223,692,44.24,0.5702,0.4926,18.0,25.65,3,5.38,1,1
STR-000216,Control,B01,118.11,2.97,0.1875,1118,12.22,0.277,0.1235,51.5,18.38,3,7.69,0,1
STR-000217,TreatmentB,B01,98.92,1.62,0.2212,178,11.42,0.167,0.4094,12.92,24.26,3,7.37,1,0
STR-000218,TreatmentB,B02,104.04,1.13,0.2525,150,30.39,0.3637,0.3534,17.97,28.76,3,5.77,0,0
STR-000219,TreatmentA,B01,97.36,1.67,0.2497,410,26.64,0.5557,0.4217,53.95,10.62,2,6.69,0,1
STR-000220,Control,B01,103.67,1.42,0.3174,181,19.96,0.4933,0.3383,41.91,18.26,4,5.39,1,1
STR-000221,TreatmentB,B03,95.74,1.55,0.2438,225,30.58,0.8688,0.2902,-2.07,16.05,1,8.28,0,0
STR-000222,TreatmentA,B02,104.35,2.81,0.2647,565,26.35,0.6917,0.5392,20.9,34.96,3,5.43,0,1
STR-000223,Control,B02,96.95,3.02,0.2669,451,44.54,0.3029,0.2864,48.93,18.18,2,8.33,0,1
STR-000224,TreatmentB,B03,125.76,2.47,0.2254,335,15.29,0.2302,0.5101,42.59,33.22,4,6.2,0,0
