sample_id,group,batch,measure_1,resolution_ang,r_free,chain_length_aa,molecular_weight_kda,fraction_helix,fraction_sheet,mean_b_factor,radius_gyration_ang,ligand_count,isoelectric_point,target_a,target_b
STR-503022,Control,B01,97.73,1.83,0.2676,206,27.48,0.3208,0.3117,29.81,25.16,3,5.81,1,1
STR-507071,Control,B02,102.2,2.16,0.2015,324,38.25,0.3215,0.4279,32.57,30.62,3,6.66,1,0
STR-506844,TreatmentA,B01,108.38,1.45,0.2206,312,75.36,0.5605,0.296,11.89,36.78,2,5.59,1,1
STR-502500,TreatmentA,B03,95.65,1.52,0.2489,241,40.92,0.4144,0.1686,20.19,34.19,2,7.88,0,0
STR-503784,TreatmentB,B02,83.52,1.0,0.2385,227,79.19,0.1792,0.2972,30.28,15.98,4,9.56,1,0
STR-501396,TreatmentA,B01,88.29,2.12,0.2591,242,82.64,0.3232,0.1248,38.21,20.34,6,5.81,1,1
STR-502780,Control,B01,108.62,1.29,0.2018,379,35.92,0.3346,0.3065,74.27,33.74,1,7.02,0,1
STR-506550,Control,B02,87.93,1.86,0.1906,299,41.95,0.4052,0.1476,65.67,17.58,4,6.97,0,1
STR-508612,TreatmentA,B01,98.95,2.13,0.231,145,12.39,0.2525,0.3784,17.34,14.8,5,6.36,1,0
STR-505028,Control,B02,109.0,2.09,0.2931,244,40.71,0.5533,0.3032,38.33,16.27,5,8.72,0,1
STR-509766,TreatmentB,B02,85.4,2.25,0.2232,966,29.16,0.4255,0.3131,38.17,32.35,2,6.98,1,0
STR-504579,TreatmentA,B03,90.7,1.75,0.2189,408,29.57,0.5386,0.3632,20.49,27.35,2,5.39,1,1
STR-502541,Control,B03,115.05,1.94,0.2854,166,64.94,0.4931,0.3737,69.44,19.54,5,5.86,0,1
STR-504524,TreatmentB,B02,81.44,0.9,0.2736,334,12.54,0.4439,0.2901,26.2,18.98,3,7.29,1,0
STR-500429,Control,B02,101.28,1.53,0.2512,201,48.63,0.3606,0.3143,19.37,14.01,7,8.5,0,0
STR-502670,TreatmentB,B01,95.12,1.06,0.2663,593,28.65,0.2866,0.2865,14.82,16.39,3,7.05,0,1
STR-500540,TreatmentA,B02,112.67,1.55,0.2363,154,27.94,0.366,0.2448,38.77,24.2,0,8.42,0,0
STR-500742,TreatmentB,B03,78.11,1.79,0.2094,377,34.12,0.268,0.2737,34.49,24.65,1,6.23,0,1
STR-502506,Control,B03,123.31,1.99,0.2567,102,34.3,0.466,0.1956,54.18,22.59,2,5.71,0,0
STR-500778,TreatmentA,B02,95.93,1.02,0.3263,89,41.85,0.4932,0.1073,21.62,23.3,2,7.04,0,0
STR-507318,Control,B03,102.83,2.98,0.234,431,12.96,0.0965,0.5576,28.07,24.21,6,5.8,0,0
STR-502557,TreatmentA,B03,98.1,1.79,0.2335,429,53.24,0.5354,0.3484,58.1,27.26,2,7.11,1,1
STR-500904,TreatmentB,B03,66.37,1.48,0.2327,291,25.59,0.5001,0.2568,31.17,20.57,1,7.48,1,1
STR-501558,TreatmentA,B02,103.36,1.41,0.1795,306,47.55,0.2835,0.5607,25.34,22.62,4,4.38,1,0
STR-501840,TreatmentA,B02,105.23,1.2,0.1655,1072,61.53,0.1451,0.4266,13.74,25.31,5,8.71,1,0
STR-507325,TreatmentB,B01,87.19,1.34,0.248,433,33.64,0.7362,0.2751,47.5,18.82,3,6.99,0,1
STR-505042,TreatmentB,B01,87.04,0.68,0.1663,160,13.9,0.4272,0.3105,10.53,22.91,1,7.54,1,1
STR-501499,Control,B01,94.93,2.47,0.2184,59,37.34,0.2569,0.345,45.54,27.3,5,5.99,0,0
STR-500467,Control,B01,110.22,2.1,0.27,110,29.31,0.5867,0.3788,25.14,30.77,1,10.59,0,0
STR-504474,Control,B02,84.54,1.88,0.2725,260,13.56,0.3888,0.1334,44.6,24.86,3,8.61,0,0
STR-501986,Control,B03,90.99,1.86,0.238,187,10.29,0.4267,0.2282,47.59,24.91,2,9.27,0,0
STR-501251,TreatmentA,B03,126.16,2.52,0.2733,112,25.53,0.5795,0.231,64.75,30.75,2,5.73,0,0
STR-509599,TreatmentA,B03,115.12,2.51,0.2622,192,19.6,0.5168,0.2174,21.09,21.86,2,5.66,0,0
STR-501381,TreatmentB,B03,99.51,0.75,0.2464,362,60.7,0.3249,0.3146,59.55,31.56,2,7.97,0,1
STR-504179,TreatmentB,B02,109.89,0.75,0.2559,196,117.83,0.3265,0.121,14.08,24.5,2,8.67,1,0
STR-508730,TreatmentB,B01,88.5,2.96,0.3034,172,24.39,0.4458,0.2296,10.83,28.45,5,8.06,0,1
STR-503552,TreatmentB,B02,94.94,1.1,0.2833,275,65.91,0.3332,0.2869,37.2,32.39,1,7.61,0,1
STR-509562,TreatmentA,B02,79.55,1.35,0.2707,372,62.39,0.5682,0.4924,9.67,23.72,4,8.15,0,1
STR-505988,Control,B02,111.98,1.99,0.3076,278,79.36,0.366,0.2282,34.21,25.04,1,7.93,0,1
STR-503328,TreatmentB,B03,77.2,1.4,0.252,240,33.29,0.5132,0.2151,46.24,18.19,0,6.96,1,1
STR-502865,TreatmentB,B03,105.16,1.44,0.2304,714,25.08,0.4891,0.4403,-1.49,16.42,3,6.99,1,1
STR-501024,TreatmentB,B01,109.07,0.87,0.1684,308,49.09,0.3989,0.2342,15.69,28.06,3,8.74,1,0
STR-502967,TreatmentA,B02,92.45,2.01,0.2312,275,14.21,0.3519,0.2521,31.96,22.09,1,4.92,0,0
STR-507881,TreatmentA,B01,136.01,2.39,0.2454,139,40.93,0.2905,0.3836,28.39,27.51,5,5.63,0,0
STR-507028,Control,B01,93.41,1.03,0.2184,408,34.66,0.1464,0.284,42.34,32.15,5,5.83,1,1
STR-503370,TreatmentB,B01,78.85,0.84,0.1869,127,17.31,0.4622,0.3171,36.25,35.82,5,9.0,1,0
STR-500005,TreatmentA,B01,80.5,0.97,0.1603,104,40.64,0.6577,0.2392,23.21,20.84,2,3.33,1,0
STR-504134,Control,B03,106.84,1.46,0.3013,226,36.18,0.3322,0.3424,35.39,18.86,1,5.72,0,0
STR-502194,Control,B02,119.32,2.78,0.1907,332,14.73,0.4496,0.2317,45.18,20.18,2,6.83,0,1
STR-507716,Control,B03,132.43,2.03,0.2153,298,17.94,0.2887,0.1499,49.66,27.92,3,7.13,1,1
STR-501726,TreatmentB,B02,93.94,2.02,0.2924,275,70.5,0.8,0.2468,18.88,13.6,2,4.8,0,0
STR-501975,TreatmentA,B02,85.5,2.26,0.2078,376,65.22,0.368,0.3733,33.09,27.3,2,6.49,0,1
STR-508688,TreatmentB,B01,86.34,2.39,0.152,139,53.27,0.5475,0.3386,12.8,21.92,1,6.41,1,1
STR-507738,TreatmentB,B02,76.09,0.99,0.2493,117,28.11,0.322,0.1395,11.85,28.28,3,8.15,0,1
STR-503951,TreatmentB,B03,96.23,0.42,0.264,326,35.91,0.38,0.234,32.08,15.85,4,6.38,1,1
STR-500617,TreatmentA,B03,111.75,2.3,0.2166,535,119.53,0.3146,0.2346,32.11,16.87,2,7.89,0,1
STR-509585,TreatmentB,B02,84.82,1.06,0.2155,866,42.47,0.4055,0.22,44.41,21.36,1,4.77,0,1
STR-505499,TreatmentA,B01,88.6,2.15,0.2571,351,36.67,0.2309,0.0442,61.85,34.09,4,4.34,0,1
STR-502768,TreatmentB,B01,96.22,1.38,0.2083,1269,27.4,0.3117,0.2588,37.65,19.15,3,6.5,0,1
STR-506415,Control,B01,78.66,2.44,0.2368,176,36.49,0.4902,0.2046,59.3,24.92,3,6.03,0,1
STR-507602,TreatmentA,B01,130.14,2.4,0.2621,151,55.74,0.4125,0.1703,19.33,24.11,0,8.18,0,0
STR-506432,TreatmentB,B03,95.88,1.08,0.2729,109,52.65,0.4003,0.483,27.82,32.05,1,3.29,1,0
STR-501553,TreatmentA,B01,103.87,1.47,0.231,43,29.42,0.6375,0.386,46.84,6.91,1,7.19,0,1
STR-508687,TreatmentB,B03,79.32,1.93,0.184,591,32.27,0.2578,0.138,88.26,24.57,1,5.08,0,1
STR-504886,TreatmentB,B03,109.05,1.66,0.1852,313,16.23,0.3645,0.2809,59.16,24.69,1,7.41,1,1
STR-508493,TreatmentB,B03,85.13,0.69,0.1867,795,78.01,0.4713,0.4205,34.02,21.29,0,5.66,1,1
STR-503241,TreatmentB,B03,100.76,1.01,0.2726,513,111.39,0.5928,0.3847,9.17,24.09,2,6.9,0,1
STR-504757,TreatmentA,B03,98.33,2.08,0.2673,60,58.17,0.6051,0.1376,60.11,27.63,1,8.6,0,0
STR-503188,TreatmentB,B01,98.65,1.29,0.2558,433,46.82,0.4723,0.3582,20.49,23.03,3,7.42,0,1
STR-503184,TreatmentB,B02,95.22,4.14,0.1596,245,31.0,0.209,0.257,26.33,29.93,4,8.02,0,1
STR-505808,TreatmentA,B03,104.79,1.84,0.2014,535,15.95,0.1227,0.3831,13.87,42.25,1,5.45,1,0
STR-509303,TreatmentA,B01,101.02,1.94,0.2249,190,28.52,0.5186,0.3161,39.49,18.07,0,7.28,1,1
STR-509755,Control,B02,106.51,1.83,0.1746,204,42.91,0.5644,0.3471,93.53,18.81,4,7.01,0,1
STR-501369,Control,B02,101.09,2.6,0.2661,296,64.94,0.4822,0.2048,75.88,30.38,3,8.8,0,0
STR-507886,TreatmentB,B02,122.73,1.36,0.2378,385,48.13,0.2657,0.2986,5.72,22.62,1,7.47,0,1
STR-506319,Control,B03,113.88,1.45,0.1406,554,31.57,0.2897,0.4253,25.69,26.33,1,6.66,1,1
STR-506989,TreatmentA,B02,75.41,2.05,0.1947,115,142.98,0.4477,0.4119,25.24,32.83,2,9.15,1,0
STR-500473,TreatmentA,B01,74.03,1.36,0.2518,207,23.75,0.3531,0.2595,36.19,27.07,1,6.49,0,1
STR-506602,Control,B03,130.47,1.89,0.275,464,28.1,0.3159,0.2864,70.27,21.16,0,7.56,0,1
STR-501646,Control,B03,99.1,3.91,0.2319,850,32.28,0.4976,0.2966,87.16,27.79,4,5.68,0,0
STR-505093,TreatmentA,B03,84.07,1.17,0.2813,229,75.62,0.2652,0.2718,19.01,28.34,2,7.88,1,1
STR-500765,Control,B03,107.09,2.93,0.2413,334,127.07,0.5904,0.2198,31.22,22.67,3,8.16,0,0
STR-506862,TreatmentB,B03,118.13,0.23,0.183,218,59.81,0.2281,0.3259,27.32,31.81,0,7.86,1,0
STR-505971,Control,B01,111.08,3.21,0.2704,459,30.63,0.4604,0.1447,34.66,25.42,1,7.28,0,1
STR-502429,TreatmentB,B03,109.14,1.77,0.2693,113,18.22,0.3341,0.3244,1.17,35.54,1,9.36,0,0
STR-501621,TreatmentA,B02,103.35,2.43,0.221,392,22.7,0.6818,0.3816,57.85,29.21,1,6.67,0,1
STR-501309,TreatmentA,B01,80.08,2.17,0.1879,449,10.81,0.4749,0.2277,21.91,30.39,4,6.61,1,0
STR-503890,TreatmentB,B02,99.08,0.52,0.2489,262,36.23,0.3889,0.3052,6.51,29.88,2,8.4,1,0
STR-507551,TreatmentB,B01,89.39,2.67,0.1376,123,79.4,0.4213,0.0778,20.3,18.05,0,8.99,1,0
STR-502060,TreatmentB,B02,121.8,1.73,0.1519,197,26.99,0.43,0.2868,3.0,18.01,4,6.32,1,0
STR-500524,TreatmentA,B01,77.27,1.4,0.2605,165,22.65,0.4886,0.4905,10.26,27.14,2,6.69,1,1
STR-503195,TreatmentA,B01,106.19,1.58,0.2474,271,49.46,0.3667,0.1596,83.13,29.12,3,7.7,0,0
STR-508468,TreatmentB,B01,102.58,0.93,0.2419,261,26.26,0.531,0.1361,-5.19,24.9,2,8.26,1,0
STR-508130,TreatmentB,B03,68.98,1.47,0.2103,205,17.58,0.1341,0.2105,22.5,28.48,5,5.97,1,1
STR-505817,TreatmentB,B01,89.1,1.34,0.1677,210,70.18,0.2735,0.2665,32.3,18.44,1,9.14,1,0
STR-506034,TreatmentB,B01,98.2,1.09,0.2748,326,38.5,0.2507,0.2531,76.05,23.32,5,7.46,0,1
STR-501960,TreatmentA,B01,121.4,2.69,0.296,339,22.96,0.4489,0.3871,60.21,21.48,5,8.42,0,0
STR-502983,TreatmentB,B03,87.42,1.73,0.2875,246,12.81,0.577,0.147,4.81,29.88,3,5.91,0,0
STR-505231,TreatmentB,B01,76.27,1.72,0.2149,197,40.12,0.5504,0.6295,19.3,8.69,1,5.95,1,1
STR-501584,Control,B03,104.73,2.19,0.2471,217,40.47,0.6084,0.1472,24.83,22.4,4,6.34,1,0
STR-509428,Control,B03,102.66,2.2,0.2444,247,13.43,0.4616,0.2967,65.18,32.79,0,8.25,0,0
STR-501506,TreatmentA,B02,82.35,1.2,0.2296,121,49.5,0.2844,0.3275,35.35,30.12,5,8.48,1,0
STR-508722,Control,B02,97.1,1.89,0.2369,452,26.72,0.746,0.1598,31.2,28.33,3,7.63,0,0
STR-501786,Control,B01,95.2,5.89,0.287,150,16.4,0.3635,0.2921,43.1,25.12,3,6.84,0,0
STR-504273,TreatmentA,B01,78.52,2.77,0.2503,160,79.3,0.3859,0.1985,18.32,22.21,1,6.78,0,1
STR-500608,TreatmentA,B01,78.74,1.79,0.2397,461,60.09,0.263,0.3018,70.05,26.1,0,5.23,0,0
STR-506580,Control,B02,120.83,2.93,0.2445,614,14.72,0.4117,0.3043,63.9,30.39,2,6.78,0,1
STR-505644,Control,B03,108.76,1.95,0.2749,272,27.13,0.4839,0.3852,25.46,25.61,4,7.85,0,1
STR-501837,TreatmentB,B03,114.98,2.15,0.2899,134,60.74,0.4224,0.296,19.44,29.8,2,5.45,0,1
STR-507017,TreatmentB,B03,115.72,1.24,0.1871,177,31.76,0.4154,0.1358,26.06,17.1,2,4.4,1,0
STR-507752,TreatmentA,B03,120.39,2.22,0.2514,213,33.81,0.6465,0.6116,31.63,23.26,2,9.68,0,1
STR-507062,Control,B03,117.04,1.98,0.2704,257,77.22,0.4203,0.3671,58.11,27.26,2,6.4,0,1
STR-502070,Control,B01,119.79,1.48,0.2915,61,41.57,0.3458,0.3044,48.28,32.9,4,6.94,0,1
STR-508390,TreatmentA,B03,108.53,3.29,0.1891,355,11.34,0.6302,0.2827,35.27,18.56,2,7.76,0,1
STR-508719,TreatmentB,B03,93.72,0.75,0.22,323,38.82,0.3901,0.2767,-2.08,30.53,2,6.18,1,0
STR-502004,TreatmentB,B03,90.91,2.03,0.186,595,28.81,0.114,0.3068,28.79,25.41,2,6.42,0,0
STR-501746,TreatmentB,B02,92.49,1.48,0.1686,206,25.58,0.5369,0.1772,28.03,23.79,0,6.0,1,0
STR-500870,TreatmentA,B02,90.17,2.42,0.2576,290,16.9,0.4822,0.1477,14.66,33.35,2,5.03,1,0
STR-508353,Control,B02,80.99,2.07,0.2748,197,16.03,0.5085,0.3917,33.11,15.03,1,7.43,0,1
STR-504779,TreatmentB,B01,88.23,2.36,0.2115,266,32.18,0.402,0.5176,26.86,17.27,3,6.66,0,1
STR-505820,Control,B01,85.94,2.85,0.2676,187,12.1,0.3016,0.343,51.52,20.09,5,6.19,0,1
STR-500537,TreatmentA,B01,90.9,1.53,0.2576,357,60.79,0.6076,0.2782,21.92,25.55,1,8.24,1,1
STR-501693,Control,B03,99.91,1.65,0.2136,80,26.06,0.4796,0.0725,22.6,27.09,4,7.05,1,1
STR-505223,TreatmentB,B01,98.1,0.97,0.2193,696,51.85,0.4981,0.2884,13.18,24.38,3,6.63,1,1
STR-508349,TreatmentB,B02,107.57,1.07,0.3108,747,12.34,0.3451,0.3905,23.02,9.61,0,5.69,0,0
STR-505989,Control,B01,110.94,1.57,0.214,207,21.43,0.4763,0.4635,57.97,21.89,1,6.65,0,1
STR-506705,Control,B01,94.49,1.95,0.2453,212,26.39,0.3656,0.2203,64.93,26.28,0,5.34,0,1
STR-500448,TreatmentB,B02,79.84,2.19,0.207,119,16.81,0.4764,0.5239,21.08,24.44,1,6.68,0,1
STR-506769,TreatmentB,B02,105.86,1.59,0.2094,180,7.28,0.4948,0.3388,1.68,17.52,4,7.4,0,1
STR-509350,TreatmentA,B02,109.16,0.95,0.2035,223,50.85,0.4099,0.1836,34.42,17.38,2,6.03,1,0
STR-500286,TreatmentB,B02,79.95,0.16,0.203,139,48.44,0.5265,0.16,61.29,26.57,4,6.78,1,0
STR-505747,Control,B01,91.62,2.15,0.2433,749,36.77,0.4851,0.2613,42.42,24.95,0,6.1,0,0
STR-500318,TreatmentB,B02,108.3,2.29,0.2568,464,25.27,0.3867,0.554,33.29,31.14,0,6.81,0,1
STR-506463,TreatmentA,B03,103.94,2.06,0.2827,359,21.42,0.5772,0.2811,19.11,31.84,2,6.17,0,1
STR-500242,TreatmentA,B01,93.15,1.22,0.2068,260,28.96,0.5043,0.3039,102.76,33.69,6,9.07,0,0
STR-501390,TreatmentB,B03,73.15,1.27,0.2265,414,48.44,0.5429,0.2425,17.7,15.77,2,5.85,1,1
STR-508379,TreatmentA,B02,91.42,1.12,0.2261,214,27.33,0.3769,0.3191,12.02,25.36,2,9.11,1,0
STR-503897,TreatmentA,B02,91.55,1.4,0.2427,175,28.52,0.5738,0.3555,20.37,27.3,3,7.31,0,1
STR-506166,TreatmentA,B01,103.42,1.34,0.2659,87,85.98,0.566,0.1741,45.78,27.32,4,7.29,1,0
STR-504508,TreatmentB,B03,96.28,0.94,0.1606,158,28.94,0.4557,0.4515,31.17,23.99,4,6.4,1,0
STR-503406,TreatmentA,B02,83.08,1.65,0.2032,412,20.18,0.6624,0.3447,45.03,24.7,2,6.39,1,1
STR-504893,Control,B02,68.28,1.89,0.2182,115,37.57,0.1101,0.1984,17.21,16.88,3,6.43,0,1
STR-501335,TreatmentB,B02,100.24,2.1,0.1783,1085,20.59,0.3063,0.25,16.61,20.75,3,2.94,1,0
STR-505076,TreatmentA,B01,101.02,1.86,0.3011,368,36.68,0.3993,0.4998,22.4,30.13,2,7.31,1,1
STR-503357,TreatmentB,B03,98.06,1.37,0.2225,312,66.5,0.6247,0.1799,18.32,17.75,1,8.17,1,0
STR-504230,Control,B02,93.33,2.95,0.2081,309,48.95,0.4395,0.2462,52.82,22.3,2,7.77,0,1
STR-502806,TreatmentA,B03,88.53,1.92,0.2084,312,38.82,0.402,0.1229,19.55,25.42,3,7.08,0,1
STR-500767,TreatmentA,B02,84.67,1.64,0.2591,365,23.6,0.3165,0.2641,25.53,11.47,1,6.75,0,1
STR-508697,TreatmentA,B02,56.75,1.11,0.2224,806,35.56,0.3173,0.4201,26.61,26.21,3,5.31,1,0
STR-505384,Control,B03,79.43,1.85,0.1942,309,23.5,0.2421,0.3973,39.56,16.24,3,6.61,1,1
STR-501817,TreatmentB,B01,98.61,0.56,0.1912,360,21.81,0.5273,0.3477,42.08,17.16,4,6.78,1,1
STR-502184,TreatmentB,B02,94.09,2.28,0.2181,485,45.45,0.3816,0.3169,11.79,27.68,2,7.8,0,1
STR-509909,TreatmentA,B02,95.25,2.25,0.26,535,16.66,0.3861,0.1339,42.36,21.46,1,4.57,1,0
STR-505914,TreatmentB,B01,110.55,0.66,0.3036,193,14.16,0.5591,0.0698,20.06,16.03,0,3.91,0,0
STR-509625,Control,B03,82.63,1.65,0.2017,531,18.37,0.2976,0.1984,47.31,23.37,1,6.96,1,1
STR-505693,Control,B01,86.82,4.28,0.2386,128,29.22,0.5765,0.4236,73.32,27.75,4,6.53,0,1
STR-506196,TreatmentA,B03,107.7,0.78,0.1851,277,58.65,0.5633,0.3392,46.36,17.4,2,9.09,1,0
STR-502852,Control,B01,117.64,1.66,0.2929,278,24.87,0.4944,0.705,20.71,31.8,6,6.89,0,1
STR-509681,TreatmentB,B03,85.37,1.29,0.2133,442,30.37,0.5774,0.3365,22.17,18.66,2,6.74,1,1
STR-504083,TreatmentA,B01,95.04,1.93,0.2459,301,33.39,0.5307,0.2082,26.0,13.92,2,7.54,0,1
STR-507918,Control,B01,149.09,3.0,0.2117,445,19.32,0.3377,0.3509,67.25,24.45,1,5.48,0,0
STR-507884,TreatmentA,B02,108.04,3.14,0.2154,248,18.86,0.4894,0.3373,64.72,20.79,3,7.4,1,1
STR-508703,TreatmentA,B02,90.93,1.47,0.2117,170,52.49,0.6504,0.1864,37.08,29.68,1,7.14,1,1
STR-509434,TreatmentA,B02,105.67,1.48,0.2698,190,34.48,0.4357,0.2419,17.45,23.05,2,5.91,0,0
STR-507018,Control,B02,85.3,2.09,0.2262,955,24.64,0.3636,0.4254,59.43,27.49,2,7.09,0,0
STR-501618,TreatmentA,B03,89.07,1.96,0.2153,725,68.39,0.4209,0.4154,34.83,18.06,4,5.38,1,1
STR-506642,Control,B01,113.08,2.1,0.1804,367,23.57,0.6172,0.3808,20.38,24.28,4,6.07,1,1
STR-500936,TreatmentA,B03,122.64,3.29,0.2558,233,35.96,0.3975,0.2235,16.86,26.54,2,7.25,0,1
STR-506963,TreatmentA,B03,86.03,1.86,0.2424,119,50.39,0.5545,0.5426,54.1,23.38,1,7.73,0,1
