sample_id,group,batch,measure_1,nuclei_count,mean_nuclear_area,mean_cell_area,mean_intensity_dapi,mean_intensity_gfp,nuclear_circularity,fraction_in_focus,background_sd,target_a,target_b
IMG-500046,Control,B02,84.69,220,192.52,638.97,1230.6,468.4,0.8759,0.8964,29.33,0,1
IMG-500768,TreatmentB,B01,104.21,227,271.05,842.04,1376.7,1191.8,0.9193,0.8534,27.98,1,0
IMG-500638,Control,B01,110.53,254,172.85,644.55,1419.4,401.1,0.7042,0.9441,28.11,0,0
IMG-500188,TreatmentB,B02,79.33,255,171.49,859.27,1347.6,823.1,0.7327,0.8887,19.82,1,0
IMG-500668,Control,B01,79.64,229,231.17,729.64,889.1,442.7,0.892,0.9796,18.47,0,0
IMG-500042,Control,B02,129.62,221,188.9,523.1,1158.0,1337.1,0.8021,0.9103,34.98,1,1
IMG-500981,TreatmentA,B01,130.65,277,141.48,718.82,1721.4,644.5,0.7809,0.9479,22.56,1,0
IMG-500600,Control,B03,105.31,212,262.41,507.86,1631.7,295.4,0.932,0.8773,23.68,0,0
IMG-500291,TreatmentA,B02,110.63,273,205.96,511.82,1801.0,926.9,0.688,0.9275,15.54,1,0
IMG-500373,Control,B01,101.92,241,197.07,722.76,1559.7,328.9,0.8601,0.87,35.41,0,1
IMG-500752,TreatmentA,B03,101.1,246,119.0,733.45,1937.9,744.9,0.7964,0.9449,26.06,1,0
IMG-500345,TreatmentB,B03,125.74,251,186.35,415.35,1361.7,805.4,0.8317,0.765,31.3,1,1
IMG-500041,Control,B01,113.72,228,205.46,624.58,1380.2,1167.8,0.8745,0.9865,32.81,0,1
IMG-500522,TreatmentA,B01,95.1,268,170.18,739.29,1344.1,506.5,0.729,0.9318,18.48,1,1
IMG-500054,Control,B02,91.22,230,209.49,797.38,1260.8,619.8,0.5945,0.8254,9.57,1,1
IMG-500223,TreatmentB,B02,103.27,267,211.39,611.97,1611.9,977.9,0.6813,0.992,15.62,1,0
IMG-500366,TreatmentB,B03,100.54,251,203.88,809.58,1475.5,744.6,0.779,0.9182,56.19,1,1
IMG-500003,TreatmentB,B03,72.11,258,209.82,976.42,1288.5,661.9,0.7337,0.9808,20.13,0,0
IMG-500589,Control,B03,97.83,205,257.31,783.94,1721.2,454.3,0.8738,0.9605,32.2,0,0
IMG-500362,Control,B03,90.18,240,188.3,628.16,1181.2,253.0,0.7991,0.93,34.61,0,1
IMG-500991,TreatmentA,B02,121.75,255,151.28,582.72,1503.9,527.4,0.7807,0.8421,25.32,1,0
IMG-500659,Control,B02,98.27,221,204.06,653.58,1477.5,199.6,0.7431,0.8778,40.18,0,1
IMG-500327,TreatmentB,B01,91.66,251,165.75,639.29,1925.3,1220.0,0.7328,0.8648,22.35,1,0
IMG-500556,TreatmentB,B03,113.26,232,204.82,593.33,1367.9,868.3,0.7649,0.7804,15.86,0,1
IMG-500511,Control,B02,97.59,257,183.94,705.84,1386.0,273.4,0.6803,0.8918,22.69,0,1
IMG-500956,Control,B02,110.31,221,213.07,721.16,1620.6,622.6,0.7611,0.9509,18.06,0,1
IMG-500161,Control,B02,97.25,249,200.55,825.57,1387.3,160.2,0.6952,0.8893,17.45,0,1
IMG-500811,TreatmentB,B02,107.82,297,133.06,633.57,1176.4,817.9,0.595,0.9423,19.62,1,0
IMG-500922,TreatmentA,B02,87.49,233,125.03,642.11,1288.7,373.3,0.6354,0.9477,25.55,1,0
IMG-500627,TreatmentB,B03,78.35,247,172.25,601.2,1117.4,1166.7,0.7844,0.9491,29.41,1,1
IMG-500425,TreatmentB,B02,96.78,250,190.78,794.94,1394.8,754.5,0.8055,0.932,16.66,1,1
IMG-500146,TreatmentB,B02,88.68,268,86.75,625.68,1318.2,933.6,0.7207,0.8831,21.7,1,0
IMG-500033,TreatmentB,B01,99.95,250,201.73,795.49,1330.3,1182.1,0.7588,0.8882,19.02,1,1
IMG-500063,Control,B03,101.89,230,180.85,510.04,1487.9,28.1,0.9091,0.9458,18.93,0,1
IMG-500518,TreatmentB,B03,119.0,242,136.1,691.26,1449.3,1087.8,0.8264,0.9152,32.4,1,1
IMG-500833,Control,B03,86.9,253,178.94,844.27,1254.2,665.4,0.8386,0.9493,30.07,0,1
IMG-500393,Control,B02,103.32,258,167.43,609.37,1451.8,137.1,0.8351,0.9296,20.16,0,1
IMG-500742,Control,B01,109.22,197,219.47,596.11,1319.0,465.7,0.8667,0.9455,32.91,0,1
IMG-500268,TreatmentA,B02,109.82,249,198.33,694.95,1846.7,743.8,0.6597,0.9142,20.16,1,0
IMG-500634,TreatmentA,B01,119.04,249,219.79,678.01,1225.1,595.6,0.7604,0.9487,29.44,0,0
IMG-500130,TreatmentA,B03,81.41,246,154.0,674.8,1638.7,1885.8,0.874,0.8827,29.94,1,0
IMG-500300,TreatmentB,B01,99.5,241,122.15,835.49,1485.2,1013.8,0.7449,0.8857,21.3,1,0
IMG-500839,TreatmentA,B01,99.5,249,115.89,562.97,1422.5,1027.3,0.8532,0.8558,33.06,1,0
IMG-500910,TreatmentB,B02,127.52,222,217.26,632.75,1793.5,1202.2,0.7059,0.9572,29.69,1,0
IMG-500744,Control,B02,113.3,221,221.09,1052.39,952.4,329.4,0.6902,0.779,34.93,0,0
IMG-500060,TreatmentB,B03,86.13,244,187.34,864.16,2005.5,778.3,0.9148,0.8933,30.96,1,1
IMG-500263,TreatmentA,B01,93.73,258,194.56,804.42,1368.3,1661.7,0.9555,0.8413,28.28,1,1
IMG-500988,Control,B03,106.29,243,182.87,560.23,1675.6,222.4,0.8155,0.8886,15.94,0,0
IMG-500524,TreatmentB,B01,123.46,262,159.61,642.12,1748.8,1113.8,0.8056,0.9341,27.3,1,0
IMG-500969,TreatmentA,B01,113.72,227,197.7,875.65,1688.3,912.4,0.8,0.8824,25.56,1,1
IMG-500367,TreatmentA,B01,127.63,236,206.76,655.18,1273.5,542.0,0.8085,0.9713,14.0,0,1
IMG-500315,TreatmentB,B03,84.38,243,201.83,676.6,1669.5,1460.5,0.7752,0.9729,34.07,1,1
IMG-500012,TreatmentB,B02,83.28,252,227.64,822.53,1643.6,897.7,0.8365,0.8104,50.14,1,0
IMG-500249,Control,B03,101.97,250,215.34,796.53,1677.0,854.3,0.7631,0.6886,35.85,1,1
IMG-500145,TreatmentA,B01,126.26,246,163.79,810.55,1708.4,652.1,0.8724,0.9157,29.54,1,1
IMG-500658,TreatmentB,B03,95.56,267,247.38,803.9,1300.6,784.2,0.8561,0.9517,34.01,1,0
IMG-500521,Control,B01,137.16,227,216.94,523.95,1500.4,858.6,0.8427,0.9325,49.44,1,0
IMG-500565,TreatmentB,B01,109.9,244,136.7,809.18,1590.7,949.9,0.8509,0.9504,13.11,1,0
IMG-500835,TreatmentB,B03,96.03,265,217.59,1077.12,1558.2,1138.7,0.7568,0.8715,42.49,1,1
IMG-500786,Control,B03,86.7,230,222.66,650.52,1308.2,116.2,0.7517,0.8978,14.53,0,0
IMG-500037,TreatmentB,B01,102.9,223,214.08,670.4,1300.8,1808.2,0.8527,0.9855,10.77,0,1
IMG-500633,Control,B03,115.0,234,148.64,632.68,1770.4,229.5,0.8688,0.8957,16.48,0,1
IMG-500432,TreatmentB,B02,94.67,272,146.02,671.39,1433.1,715.5,0.6872,0.9391,14.42,1,0
IMG-500734,TreatmentB,B03,126.84,263,195.34,675.21,1407.9,1093.6,0.893,0.9078,27.1,1,0
IMG-500064,TreatmentA,B01,129.45,246,236.8,407.73,1775.1,412.5,0.9247,0.8148,29.54,0,0
IMG-500243,Control,B01,93.86,237,204.23,556.07,1185.9,190.2,0.8408,0.913,23.36,0,1
IMG-500878,TreatmentA,B03,108.3,217,192.61,762.78,1632.7,426.1,0.68,0.9498,34.29,0,1
IMG-500379,TreatmentA,B01,87.01,250,225.98,671.45,1164.7,973.4,0.8235,0.8523,21.48,0,0
IMG-500928,Control,B03,117.11,238,156.84,822.73,1067.6,286.9,0.9061,0.8298,12.37,0,0
IMG-500160,TreatmentB,B01,140.74,247,162.2,582.13,1456.1,759.1,0.8471,0.9352,12.92,0,0
IMG-500670,TreatmentB,B03,87.39,234,131.21,950.51,942.3,807.6,0.891,0.9783,26.5,1,0
IMG-500914,TreatmentB,B02,99.41,271,184.18,712.16,2108.3,748.4,0.702,0.9073,40.18,1,1
IMG-500244,TreatmentB,B02,104.66,246,117.15,983.64,910.7,611.8,0.5515,0.9457,11.84,1,0
IMG-500940,TreatmentA,B03,135.9,257,200.49,655.21,1623.5,770.2,0.8889,0.9394,17.17,1,1
IMG-500467,Control,B01,94.2,254,205.68,593.41,1678.9,68.5,0.7961,0.9426,14.05,1,0
IMG-500887,TreatmentA,B02,119.95,243,234.06,321.7,1149.8,924.8,0.7109,0.9899,42.13,1,1
IMG-500325,TreatmentA,B01,100.44,245,153.04,460.87,1202.9,579.9,0.8591,0.8668,28.82,0,1
IMG-500232,Control,B03,95.0,237,183.31,497.45,1407.1,330.5,0.8427,0.8889,15.03,0,0
IMG-500588,TreatmentA,B02,95.31,254,156.33,794.17,1452.4,838.7,0.7816,0.788,19.26,1,0
IMG-500721,Control,B03,93.91,226,178.68,829.2,1722.6,210.3,0.6782,0.8779,15.98,0,1
IMG-500233,Control,B01,87.71,244,198.58,722.24,1498.7,64.5,0.8084,0.8738,43.53,0,0
IMG-500685,Control,B03,95.87,247,234.0,810.1,1138.2,236.3,0.7372,0.8483,11.32,1,0
IMG-500224,Control,B01,89.25,247,176.83,775.08,1725.5,468.4,0.8069,0.9698,24.98,1,1
IMG-500200,TreatmentB,B03,101.47,251,198.38,706.51,1687.4,1223.9,0.7247,0.9366,15.61,1,1
IMG-500927,Control,B01,113.54,217,214.67,796.5,1254.9,293.5,0.859,0.8789,18.34,0,0
IMG-500843,TreatmentB,B03,105.77,252,105.28,760.38,1139.8,793.5,0.8626,0.9442,27.3,1,0
IMG-500371,TreatmentA,B03,101.56,259,186.5,694.94,1721.2,508.7,0.873,0.9475,20.35,0,1
IMG-500029,TreatmentB,B01,90.87,223,204.5,567.64,1389.5,1076.9,0.8814,0.9666,18.93,1,1
IMG-500069,TreatmentB,B03,104.86,247,179.2,961.11,1214.4,598.6,0.6815,0.9429,22.44,0,0
IMG-500973,TreatmentA,B01,122.25,226,179.75,622.36,1536.3,1315.2,0.7897,0.6365,26.36,0,0
IMG-500741,Control,B03,104.64,239,209.82,513.14,1235.8,569.3,0.7959,0.7882,26.02,0,1
IMG-500024,TreatmentB,B02,82.84,262,211.96,641.34,1484.1,788.3,0.8706,0.9421,24.37,0,0
IMG-500982,TreatmentB,B03,115.34,252,191.24,852.2,1078.8,973.2,0.7604,0.9773,16.28,1,0
IMG-500229,Control,B03,98.09,237,162.99,579.24,1213.6,186.1,0.755,0.858,24.08,0,1
IMG-500411,Control,B01,114.68,228,165.89,858.07,1423.5,384.4,0.9405,0.7663,20.61,0,1
IMG-500313,TreatmentB,B01,78.04,240,190.58,655.25,1841.0,624.7,0.9166,0.887,39.72,0,1
IMG-500418,TreatmentB,B01,101.26,264,160.64,973.24,1682.4,646.5,0.8681,0.8915,17.95,0,1
IMG-500743,TreatmentB,B02,91.15,269,216.09,700.3,1872.5,1262.2,0.609,0.796,13.42,1,0
IMG-500587,Control,B03,108.28,234,210.81,735.02,1734.5,798.2,0.5651,0.9829,22.1,1,1
IMG-500052,TreatmentB,B02,82.76,258,205.24,890.55,1633.5,1164.8,0.6809,0.8593,17.22,1,1
IMG-500865,TreatmentB,B02,100.38,247,201.87,621.49,1780.3,1753.3,0.7857,0.7019,22.74,1,1
IMG-500131,TreatmentB,B03,89.14,251,142.55,839.03,1048.8,816.8,0.8715,0.9645,39.62,0,0
IMG-500254,TreatmentB,B02,102.32,247,211.41,608.22,1513.8,794.4,0.7805,0.9602,39.72,0,1
IMG-500090,TreatmentA,B02,119.78,260,197.26,880.1,1427.6,491.7,0.8463,0.9342,18.97,0,1
IMG-500488,TreatmentA,B02,91.74,237,178.43,795.29,1617.1,552.5,0.6077,0.9469,23.9,1,1
IMG-500287,Control,B02,108.27,235,177.62,967.58,1005.8,3200.8,0.9282,0.9481,33.89,1,0
IMG-500321,Control,B02,112.84,245,135.5,592.88,1715.0,432.2,0.8943,0.8943,24.9,0,0
IMG-500897,TreatmentA,B01,101.48,243,224.16,732.59,1261.4,967.0,0.7762,0.9695,16.03,1,0
IMG-500192,Control,B03,85.69,220,136.28,674.55,1968.7,836.1,0.8976,0.784,46.54,0,0
IMG-500824,TreatmentA,B03,109.88,218,274.1,797.79,1240.4,1024.5,0.749,0.888,15.22,0,0
IMG-500691,TreatmentA,B02,101.46,250,218.16,768.41,975.8,929.1,0.6741,0.9853,14.11,1,0
IMG-500086,TreatmentB,B01,94.81,237,143.59,652.04,1597.1,1013.9,0.9284,0.8069,33.07,0,0
IMG-500214,TreatmentA,B02,83.91,239,164.24,501.45,1701.0,634.2,0.6747,0.9093,21.71,0,0
IMG-500107,Control,B02,117.79,233,203.9,654.53,1479.4,86.7,0.875,0.8584,20.19,0,1
IMG-500472,Control,B02,99.89,250,171.65,764.66,1237.5,286.2,0.7646,0.9866,13.39,1,0
IMG-500736,Control,B01,101.22,226,243.07,815.42,1371.3,158.9,0.8654,0.877,19.7,0,0
IMG-500476,TreatmentA,B03,107.71,242,220.57,767.89,1582.0,427.3,0.7775,0.8751,20.14,1,1
IMG-500617,TreatmentA,B02,102.07,248,198.49,308.68,1382.3,712.6,0.7766,0.9721,12.67,0,1
IMG-500269,TreatmentB,B01,121.64,247,170.42,751.9,1458.5,756.4,0.7686,0.9459,25.03,0,1
IMG-500231,TreatmentA,B03,107.46,225,194.37,767.14,892.6,266.0,0.7291,0.8634,11.06,0,1
IMG-500770,TreatmentA,B03,84.22,221,151.44,393.01,1573.7,476.5,0.934,0.857,29.9,0,0
IMG-500713,TreatmentA,B03,117.67,227,224.59,720.35,1175.8,492.4,0.6872,0.8614,16.57,0,0
IMG-500996,Control,B01,98.86,240,127.79,817.83,1154.8,885.6,0.7351,0.9801,21.33,0,0
IMG-500473,TreatmentB,B03,86.48,249,187.45,462.4,1554.3,1372.6,0.8538,0.9184,10.33,1,1
IMG-500296,Control,B03,112.81,213,216.26,645.93,1393.1,343.0,0.9676,0.8055,20.22,0,1
IMG-500312,TreatmentB,B03,121.59,239,208.93,659.27,1615.7,751.4,0.5885,0.8499,29.66,1,0
IMG-500999,Control,B01,86.58,221,183.36,745.59,1386.5,522.3,0.7433,0.7949,25.72,0,0
IMG-500530,TreatmentA,B03,103.88,248,154.61,745.81,1635.2,501.0,0.8088,0.8699,26.97,0,1
IMG-500851,Control,B01,126.27,233,173.59,569.81,1537.3,612.6,0.7767,0.9557,27.09,1,1
IMG-500005,Control,B02,102.26,230,198.51,988.34,925.2,399.6,0.6002,0.9824,15.29,1,0
IMG-500227,Control,B02,76.12,226,266.08,629.37,1127.4,531.6,0.8947,0.8392,9.29,0,1
IMG-500555,TreatmentB,B03,94.25,253,233.39,942.21,1564.1,884.1,0.6528,0.972,24.85,0,1
IMG-500406,TreatmentA,B02,92.28,248,208.43,676.87,1089.9,430.4,0.7795,0.8947,9.1,1,1
IMG-500818,TreatmentA,B03,113.07,235,246.83,790.61,1873.2,643.9,0.9642,0.9017,31.06,1,0
IMG-500050,TreatmentA,B03,94.91,253,145.34,817.52,1494.8,515.6,0.7565,0.91,17.87,1,0
IMG-500810,TreatmentB,B03,89.17,263,161.99,810.8,1274.8,733.4,0.9409,0.9123,10.15,0,0
IMG-500569,TreatmentB,B02,101.45,248,133.93,526.46,890.1,814.5,0.7596,0.9266,9.21,0,1
IMG-500577,TreatmentA,B02,81.6,254,216.57,955.45,1738.2,560.4,0.7219,0.9379,40.77,1,1
IMG-500065,TreatmentA,B03,96.38,268,192.08,835.33,1120.2,422.9,0.8634,0.9834,33.43,0,0
IMG-500347,TreatmentA,B01,72.84,249,180.2,767.84,908.3,653.3,0.7255,0.9068,33.7,1,1
IMG-500459,TreatmentA,B03,87.64,220,129.95,836.6,1612.1,731.0,0.7342,0.966,13.22,0,0
IMG-500932,TreatmentA,B03,98.29,247,177.14,759.96,904.7,962.5,0.7707,0.9368,19.09,1,1
IMG-500868,TreatmentA,B02,96.25,258,181.12,565.82,1109.6,833.5,0.9153,0.977,22.78,1,1
IMG-500210,TreatmentA,B01,118.28,248,120.43,718.81,1113.8,658.7,0.8168,0.9173,19.38,1,0
IMG-500083,Control,B02,89.33,241,178.6,673.87,1473.9,359.3,0.6119,0.9439,13.21,1,1
IMG-500239,TreatmentA,B03,96.84,235,182.07,755.01,1054.5,259.2,0.8725,0.9027,13.5,0,0
IMG-500339,TreatmentA,B02,109.91,240,206.35,570.61,1120.3,389.8,0.8432,0.8489,27.2,1,1
IMG-500622,Control,B01,80.45,216,160.42,853.06,1191.2,1393.1,0.9582,0.8502,62.92,0,0
IMG-500497,TreatmentA,B01,139.24,217,213.8,786.0,1448.7,588.4,0.7789,0.8178,23.05,1,1
IMG-500731,TreatmentA,B03,110.05,225,223.85,669.43,1351.3,909.2,0.8358,0.9974,27.29,0,0
IMG-500676,TreatmentB,B01,91.18,249,65.02,558.63,1169.6,1338.2,0.8806,0.7992,14.63,1,1
IMG-500993,Control,B03,113.41,209,159.56,662.61,1505.9,170.0,0.6706,0.9287,37.88,0,0
IMG-500380,TreatmentB,B02,66.27,248,144.95,730.48,1420.9,1140.0,0.6765,0.9194,23.15,1,0
IMG-500191,TreatmentB,B03,86.89,248,138.76,733.9,1268.6,876.0,0.8222,0.9278,25.62,1,0
IMG-500764,TreatmentB,B02,119.94,236,225.81,764.57,1548.5,881.5,0.9315,0.9547,28.89,1,0
IMG-500934,TreatmentA,B02,121.21,244,197.6,870.2,1609.3,278.2,0.861,0.7924,12.14,0,1
IMG-500273,Control,B03,91.56,263,202.5,743.98,1400.5,376.5,0.4952,0.7769,14.19,1,1
IMG-500272,Control,B03,105.88,250,116.71,555.21,1280.9,282.7,0.7568,0.9828,15.68,0,0
IMG-500515,Control,B03,92.84,237,130.13,890.47,1379.1,87.1,0.7547,0.8949,24.04,0,0
