sample_id,role,colony,body_mass_g,age_months,resting_metabolic_rate,body_temp_c,hypoxia_survival_min,hyaluronan_mda,cortisol_ng_ml,incisor_wear_score,chirps_per_hour,grooming_events_day,telomere_length_kb,target_a,target_b
NMR-500167,Worker,Colony-C,28.1,52,0.196,32.3,15.2,8.37,19.76,0.257,16,11,19.97,0,1
NMR-500327,Queen,Colony-B,37.5,80,0.257,31.2,25.4,6.49,13.14,0.396,23,13,21.08,1,0
NMR-500054,Worker,Colony-B,33.2,68,0.259,32.1,16.2,7.43,7.28,0.339,19,9,22.18,0,1
NMR-500695,Worker,Colony-B,32.9,25,0.167,30.5,35.2,4.78,6.74,0.405,25,8,17.3,0,1
NMR-500637,Worker,Colony-B,25.6,63,0.187,31.8,26.4,7.36,20.3,0.367,25,9,23.93,1,1
NMR-500732,Worker,Colony-B,35.4,44,0.276,33.2,16.4,7.45,10.05,0.406,30,10,22.38,1,0
NMR-500865,Worker,Colony-D,22.4,58,0.334,32.1,11.3,6.32,16.28,0.223,25,10,20.61,0,0
NMR-500004,Soldier,Colony-B,46.8,78,0.32,32.8,16.0,7.29,4.84,0.221,23,13,18.68,0,1
NMR-500348,Soldier,Colony-C,38.9,63,0.503,31.7,10.5,7.63,7.74,0.355,24,10,17.1,0,1
NMR-500213,Worker,Colony-D,23.8,58,0.146,31.1,24.4,4.87,12.39,0.301,18,9,17.95,1,0
NMR-500775,Worker,Colony-E,26.7,44,0.257,33.0,34.0,7.16,10.88,0.403,26,11,18.92,0,1
NMR-500611,Worker,Colony-E,24.4,84,0.357,32.6,10.3,7.83,12.18,0.234,33,13,18.48,0,1
NMR-500872,Worker,Colony-B,32.3,25,0.281,32.3,23.8,7.13,12.81,0.256,26,9,19.21,0,1
NMR-500407,Breeder,Colony-D,43.5,76,0.284,31.1,14.9,6.38,4.11,0.27,23,9,25.32,0,0
NMR-500446,Worker,Colony-E,31.0,53,0.183,32.0,21.7,6.66,25.66,0.386,22,12,20.13,1,1
NMR-500492,Worker,Colony-D,26.6,56,0.331,33.0,10.8,7.54,23.8,0.368,26,9,14.31,0,0
NMR-500094,Soldier,Colony-E,30.4,66,0.25,30.9,20.3,6.5,21.95,0.188,26,10,22.96,0,0
NMR-500197,Worker,Colony-D,30.2,88,0.302,32.7,18.5,7.5,14.11,0.135,21,18,19.0,0,1
NMR-500620,Queen,Colony-E,38.1,63,0.178,33.0,22.0,4.82,10.19,0.214,26,14,15.11,1,0
NMR-500810,Worker,Colony-A,28.0,55,0.239,32.1,37.3,6.9,15.72,0.319,30,19,19.59,1,1
NMR-500593,Worker,Colony-D,23.9,57,0.257,32.1,16.3,2.95,9.93,0.205,18,10,18.5,1,0
NMR-500868,Worker,Colony-D,36.9,55,0.232,33.5,20.6,6.94,24.11,0.419,20,7,11.91,0,0
NMR-500458,Worker,Colony-C,26.5,41,0.63,33.5,19.7,4.27,9.18,0.444,23,14,16.53,0,1
NMR-500154,Soldier,Colony-B,31.0,33,0.17,33.0,28.1,6.64,16.06,0.072,21,9,25.74,1,0
NMR-500297,Worker,Colony-E,26.1,23,0.257,33.7,25.3,6.6,18.32,0.437,18,10,16.5,1,0
NMR-500713,Breeder,Colony-B,35.8,87,0.422,32.4,13.3,8.32,10.09,0.348,26,11,21.82,0,1
NMR-500146,Worker,Colony-A,26.9,42,0.304,34.5,19.7,5.22,12.65,0.094,19,11,21.95,0,1
NMR-500211,Worker,Colony-E,27.1,87,0.256,33.7,13.5,6.7,16.51,0.253,25,19,20.25,1,0
NMR-500011,Worker,Colony-B,28.1,47,0.39,31.5,17.0,7.18,10.66,0.208,25,14,16.13,0,1
NMR-500044,Worker,Colony-E,36.8,76,0.184,32.8,17.7,6.87,9.69,0.106,33,6,19.33,0,0
NMR-500305,Soldier,Colony-B,35.7,54,0.33,32.1,19.4,4.85,13.73,0.315,38,9,20.5,0,1
NMR-500052,Worker,Colony-D,28.2,40,0.48,31.8,35.3,6.24,14.55,0.697,23,11,23.89,1,1
NMR-500978,Breeder,Colony-B,38.2,74,0.104,33.2,21.0,8.17,-0.87,0.444,26,13,16.8,1,1
NMR-500504,Soldier,Colony-E,32.3,38,0.227,32.4,15.6,5.04,9.12,0.241,25,11,25.91,1,1
NMR-500160,Breeder,Colony-A,41.8,43,0.274,32.4,33.9,6.58,6.51,0.18,22,16,18.93,1,1
NMR-500184,Worker,Colony-C,31.7,31,0.244,32.9,14.5,8.8,19.74,0.234,32,10,18.02,1,0
NMR-500793,Soldier,Colony-C,27.3,110,0.382,32.5,15.7,4.68,5.53,0.423,17,9,19.63,0,0
NMR-500069,Soldier,Colony-A,34.1,80,0.155,31.5,23.8,6.55,7.57,0.138,26,11,22.98,1,0
NMR-500590,Breeder,Colony-D,45.1,71,0.421,33.0,32.4,5.58,10.74,0.243,24,16,23.84,1,1
NMR-500802,Worker,Colony-D,32.3,49,0.272,31.3,13.6,5.53,14.99,0.38,20,9,21.87,1,0
NMR-500243,Worker,Colony-A,37.5,51,0.295,33.1,37.5,6.98,11.6,0.161,23,18,19.79,1,0
NMR-500145,Soldier,Colony-D,34.5,41,0.376,32.0,17.6,7.95,23.45,0.236,15,11,23.36,1,0
NMR-500861,Worker,Colony-A,31.5,69,0.298,34.0,30.3,7.74,13.16,0.134,14,12,16.19,1,0
NMR-500677,Worker,Colony-D,35.5,31,0.224,32.1,19.0,8.04,11.44,0.436,24,13,18.73,1,0
NMR-500063,Worker,Colony-B,37.9,134,0.325,33.0,8.9,5.65,15.2,0.205,30,21,16.65,0,0
NMR-500224,Worker,Colony-D,26.9,45,0.351,32.4,22.8,7.09,23.52,0.346,29,8,15.97,0,1
NMR-500269,Soldier,Colony-E,35.1,50,0.203,33.2,26.2,4.8,6.8,0.316,28,6,20.07,0,1
NMR-500801,Worker,Colony-A,39.7,57,0.277,32.6,15.6,4.99,21.19,0.236,19,9,17.43,0,1
NMR-500839,Soldier,Colony-E,30.0,48,0.286,30.5,9.9,7.61,8.39,0.336,23,13,21.47,0,0
NMR-500281,Worker,Colony-B,35.4,42,0.269,30.3,16.4,5.4,27.71,0.408,21,12,16.38,0,0
NMR-500217,Worker,Colony-A,27.6,25,0.205,32.7,41.3,7.6,16.49,0.227,21,7,17.49,1,0
NMR-500948,Worker,Colony-D,39.7,64,0.169,32.3,15.7,6.28,15.1,0.067,22,11,14.79,0,1
NMR-500542,Breeder,Colony-D,45.5,38,0.432,33.5,20.1,7.0,5.84,0.285,20,13,18.35,0,0
NMR-500643,Worker,Colony-C,22.9,63,0.295,32.6,6.5,6.09,11.41,0.225,16,10,18.11,0,1
NMR-500743,Worker,Colony-B,30.0,33,0.306,31.6,11.0,6.03,8.63,0.199,26,11,20.72,0,1
NMR-500433,Worker,Colony-E,31.5,92,0.353,33.8,14.4,7.65,9.84,0.168,33,10,21.46,1,1
NMR-500721,Queen,Colony-A,43.3,28,0.103,33.1,22.8,6.21,2.32,0.521,17,10,18.06,1,1
NMR-500814,Worker,Colony-B,31.0,82,0.173,33.8,7.4,7.47,9.48,0.424,28,6,17.62,0,0
NMR-500883,Worker,Colony-E,20.9,37,0.258,31.0,15.0,5.8,6.76,0.162,25,13,20.38,0,0
NMR-500074,Worker,Colony-C,33.3,107,0.199,31.2,24.3,4.97,10.43,0.245,26,9,16.94,1,0
NMR-500073,Worker,Colony-E,30.6,54,0.341,31.2,12.8,7.07,7.4,0.245,27,17,25.19,0,1
NMR-500440,Breeder,Colony-C,46.8,94,0.216,31.6,14.5,7.63,11.74,0.421,20,7,23.43,0,1
NMR-500726,Worker,Colony-E,35.3,68,0.23,31.3,10.7,4.77,20.15,0.347,22,17,19.15,0,0
NMR-500546,Worker,Colony-D,34.8,47,0.197,30.7,10.6,6.43,17.48,0.147,24,16,21.37,0,0
NMR-500812,Soldier,Colony-E,35.5,77,0.308,32.6,29.6,6.37,9.0,0.336,22,16,23.83,1,1
NMR-500141,Soldier,Colony-B,39.0,55,0.314,32.5,17.6,6.52,13.4,0.286,20,13,26.1,0,1
NMR-500645,Breeder,Colony-A,55.5,101,0.232,32.3,28.0,6.76,4.41,0.415,26,13,22.06,0,1
NMR-500003,Breeder,Colony-A,50.0,32,0.308,32.2,16.9,5.93,3.76,0.11,24,8,18.82,0,1
NMR-500718,Soldier,Colony-A,31.0,62,0.135,32.2,19.7,9.23,7.01,0.285,24,9,14.25,1,1
NMR-500123,Worker,Colony-D,42.6,63,0.221,32.4,35.7,6.55,10.53,0.332,24,4,17.36,1,1
NMR-500665,Breeder,Colony-A,32.0,90,0.194,32.6,14.1,6.15,11.22,0.079,27,7,14.0,0,1
NMR-500099,Soldier,Colony-B,24.1,97,0.433,32.0,13.0,5.5,15.58,0.369,23,9,18.4,0,0
NMR-500233,Queen,Colony-A,51.0,28,0.31,32.8,7.7,7.26,2.62,0.242,28,13,16.43,0,0
NMR-500232,Worker,Colony-C,32.4,61,0.493,31.2,12.7,6.24,8.35,0.308,29,11,15.12,0,0
NMR-500076,Soldier,Colony-A,33.4,23,0.26,31.4,49.2,5.75,6.04,0.461,15,12,20.47,1,1
NMR-500047,Worker,Colony-D,40.1,35,0.225,31.4,8.2,5.46,17.5,0.347,23,11,21.68,1,1
NMR-500570,Soldier,Colony-A,29.3,30,0.273,34.0,18.1,5.89,8.73,0.179,16,13,15.06,0,0
NMR-500654,Worker,Colony-B,37.6,51,0.187,31.2,25.4,6.92,12.94,0.382,25,16,19.2,1,0
NMR-500239,Worker,Colony-E,15.4,43,0.251,31.2,19.4,7.93,16.97,0.387,26,11,16.43,0,0
NMR-500156,Queen,Colony-A,32.9,62,0.178,31.6,21.2,7.18,7.21,0.328,34,12,19.43,1,0
NMR-500143,Worker,Colony-D,33.3,95,0.212,32.3,38.1,7.04,10.54,0.304,18,13,23.68,1,1
NMR-500180,Worker,Colony-C,33.7,80,0.168,31.1,6.8,4.87,8.03,0.507,26,13,18.05,1,0
NMR-500472,Worker,Colony-E,21.7,60,0.312,29.8,11.4,8.24,10.35,0.332,19,15,22.93,0,0
NMR-500131,Breeder,Colony-A,34.8,38,0.261,33.4,14.3,7.14,6.06,0.3,25,7,17.23,0,0
NMR-500402,Breeder,Colony-D,23.9,77,0.286,32.8,8.9,5.21,3.64,0.551,19,13,24.99,1,0
NMR-500779,Worker,Colony-B,31.8,56,0.227,32.2,13.7,9.59,16.26,0.331,25,14,18.62,0,1
NMR-500411,Worker,Colony-B,34.0,86,0.495,31.4,17.3,6.5,10.16,0.282,21,11,18.24,0,0
NMR-500403,Breeder,Colony-E,35.4,63,0.259,31.0,14.8,8.42,7.99,0.264,24,16,21.52,0,0
NMR-500277,Soldier,Colony-D,37.0,38,0.255,33.2,9.7,6.93,6.49,0.221,29,10,24.78,1,1
NMR-500317,Worker,Colony-C,21.5,27,0.233,31.7,19.4,7.18,11.46,0.237,19,11,16.19,0,0
NMR-500950,Worker,Colony-A,24.2,108,0.223,29.8,21.8,7.79,12.62,0.267,21,7,14.58,1,1
NMR-500568,Worker,Colony-B,34.4,43,0.293,31.5,27.5,8.38,10.02,0.389,24,9,15.48,0,1
NMR-500441,Soldier,Colony-D,30.7,57,0.281,32.3,15.5,6.06,17.73,0.353,19,8,17.05,0,1
NMR-500512,Worker,Colony-C,36.7,54,0.204,32.9,25.1,7.44,14.86,0.445,25,16,20.8,0,0
NMR-500330,Worker,Colony-E,22.5,25,0.3,30.8,14.0,7.65,28.57,0.195,22,13,22.81,1,0
NMR-500694,Worker,Colony-B,31.6,65,0.182,33.8,23.1,5.0,9.5,0.289,26,13,18.12,0,0
NMR-500994,Worker,Colony-C,24.6,35,0.183,32.0,8.7,8.31,9.41,0.188,26,7,24.17,1,0
NMR-500791,Worker,Colony-A,33.6,41,0.213,33.7,24.5,5.78,10.25,0.149,16,15,19.16,0,1
NMR-500736,Soldier,Colony-D,46.5,38,0.331,32.8,17.3,10.1,8.26,0.076,34,14,16.01,0,0
NMR-500781,Soldier,Colony-C,28.3,46,0.37,33.3,22.8,7.96,6.78,0.487,20,7,21.13,0,0
NMR-500185,Soldier,Colony-B,47.3,95,0.227,31.5,6.9,5.54,6.85,0.196,22,10,17.68,0,0
NMR-500172,Breeder,Colony-A,40.6,109,0.212,33.1,25.9,7.92,5.3,0.265,18,16,22.73,1,1
NMR-500470,Worker,Colony-C,37.0,46,0.353,32.0,18.6,7.55,7.82,0.348,15,10,25.7,1,0
NMR-500577,Soldier,Colony-E,41.9,56,0.297,31.9,31.9,7.68,5.21,0.124,21,8,21.54,1,1
NMR-500630,Worker,Colony-E,30.0,46,0.184,33.3,20.0,6.86,11.48,0.196,23,9,18.55,0,0
NMR-500719,Worker,Colony-E,24.6,66,0.293,32.0,49.9,7.75,11.35,0.327,23,8,17.02,0,1
NMR-500447,Worker,Colony-D,39.2,73,0.487,31.4,14.8,7.19,9.26,0.139,23,11,18.68,0,0
NMR-500283,Soldier,Colony-B,38.2,87,0.253,32.8,21.9,8.15,9.8,0.159,16,10,22.97,0,1
NMR-500765,Worker,Colony-E,16.0,82,0.324,32.3,11.7,6.74,9.93,0.356,19,12,21.21,0,1
NMR-500126,Soldier,Colony-A,40.0,63,0.2,32.6,26.4,5.65,8.01,0.539,19,8,20.58,1,1
NMR-500701,Worker,Colony-B,27.4,94,0.228,32.7,8.8,6.78,13.23,0.268,17,7,19.9,0,1
NMR-500939,Soldier,Colony-A,33.5,66,0.239,32.3,9.1,5.16,6.32,0.317,24,6,16.98,0,1
NMR-500963,Worker,Colony-C,23.4,18,0.292,33.0,48.8,6.65,9.01,0.395,12,12,21.84,1,1
NMR-500911,Worker,Colony-E,23.4,43,0.393,33.1,14.8,8.12,13.07,0.485,16,18,18.78,1,0
