sample_id,group,batch,measure_1,tx_count_total,genes_detected,mito_fraction,ribo_fraction,mean_gc_percent,duplication_rate,median_tx_length,counts_gene_of_interest,target_a,target_b
GEN-500052,TreatmentA,B02,104.02,1240049,12659,0.1333,0.1731,47.84,0.201,1011,460,0,1
GEN-500980,Control,B03,108.32,428462,13599,0.0471,0.2485,49.58,0.1842,1769,805,1,0
GEN-500202,TreatmentB,B01,87.05,679246,14066,0.0028,0.085,49.68,0.1038,1184,1452,1,0
GEN-500926,TreatmentA,B01,114.19,2125470,19785,0.1379,0.1495,47.58,0.1558,1960,269,0,0
GEN-500168,TreatmentB,B02,116.3,1783095,16807,0.0246,0.0786,47.79,0.0764,964,942,1,1
GEN-500089,TreatmentB,B03,118.16,3277471,14564,0.042,0.2036,50.14,0.153,1491,2249,1,0
GEN-500878,TreatmentA,B03,95.82,733262,18488,0.0304,0.0282,47.21,0.1129,1304,661,0,1
GEN-500503,TreatmentB,B03,105.85,3255552,16799,0.0147,0.1778,47.04,0.1448,2408,557,0,1
GEN-500042,TreatmentA,B01,96.63,2314460,13292,0.1102,0.0591,44.55,0.0962,1666,1206,0,1
GEN-500308,Control,B02,98.89,2566775,19270,0.0016,0.1316,44.73,0.2563,1205,1069,1,0
GEN-500231,TreatmentA,B02,112.1,2714009,14770,0.0407,0.1031,51.15,0.1421,1069,921,1,1
GEN-500872,TreatmentA,B02,108.44,2417467,12856,0.0359,0.0446,46.57,0.2377,1550,316,0,0
GEN-500346,TreatmentA,B03,111.89,1013830,14240,0.0576,0.1225,47.2,0.2676,1780,521,1,0
GEN-500118,TreatmentA,B03,114.09,3105878,13797,0.0208,0.1385,47.56,0.1603,2128,1356,1,1
GEN-500621,Control,B02,74.69,2408292,13702,0.1055,0.1557,46.13,0.2713,1106,454,0,1
GEN-500136,Control,B02,112.13,4015001,11207,0.0291,0.161,49.63,0.2152,1552,323,1,0
GEN-500897,Control,B01,110.09,2065061,15588,0.0108,0.0898,48.09,0.0945,1367,649,1,1
GEN-500833,TreatmentA,B03,110.27,2061777,15255,0.0152,0.1578,44.99,0.1397,1487,562,0,1
GEN-500242,Control,B02,104.41,2273015,12050,0.0155,0.1656,43.98,0.3283,2595,1661,1,1
GEN-500478,Control,B03,92.59,917325,12584,0.0819,0.0815,48.49,0.3142,2515,114,0,0
GEN-500741,Control,B02,87.08,2702030,12865,0.0526,0.1573,42.67,0.2008,2454,662,0,0
GEN-500673,TreatmentB,B02,93.01,2651297,20402,0.0416,0.2579,50.53,0.0392,690,652,0,0
GEN-500276,Control,B01,112.64,3316624,14137,0.0396,0.0543,45.43,0.1975,2207,291,1,0
GEN-500496,TreatmentA,B03,76.77,291780,15407,0.0519,0.1353,46.69,0.0878,998,195,1,1
GEN-500527,TreatmentB,B01,79.05,1371738,15296,0.0268,0.187,48.78,0.2056,1273,838,1,0
GEN-500510,Control,B02,95.96,1768122,12768,0.082,0.0892,47.46,0.0984,2379,386,1,1
GEN-500898,TreatmentA,B01,97.19,1013798,15761,0.0366,0.0914,44.96,0.2707,1369,1147,1,1
GEN-500121,TreatmentA,B03,85.79,1523055,15532,0.064,0.0832,46.66,0.1584,1098,578,0,0
GEN-500888,Control,B03,101.26,1593037,21266,0.0333,0.1049,45.64,0.1279,1540,57,0,1
GEN-500908,TreatmentB,B02,101.38,1544608,16389,0.0881,0.1443,49.22,0.2606,1204,512,0,0
GEN-500394,Control,B02,92.54,1148217,16836,0.1607,0.1349,45.48,0.4132,1161,57,0,1
GEN-500212,TreatmentB,B02,93.28,756157,15409,0.1023,0.0918,49.25,0.1831,1865,1353,1,0
GEN-500891,Control,B01,110.31,2157284,14369,0.0794,0.235,46.25,0.309,1493,105,0,1
GEN-500583,TreatmentA,B02,87.22,2229151,14211,0.0607,0.1878,48.03,0.1146,1976,344,0,0
GEN-500658,TreatmentB,B03,111.88,3600937,13807,0.0357,0.1465,44.7,0.3547,2366,472,1,1
GEN-500102,Control,B01,94.94,3706266,13071,0.0176,0.0766,46.57,0.2137,1637,740,1,1
GEN-500324,Control,B02,67.59,3672589,14324,0.0585,0.2045,48.0,0.2996,825,-46,0,1
GEN-500702,TreatmentA,B02,116.42,619067,19804,0.0452,0.1659,45.1,0.155,3050,1328,1,0
GEN-500822,TreatmentA,B02,109.2,1186872,16289,0.0328,0.1301,46.24,0.2141,1043,727,1,1
GEN-500726,Control,B03,113.53,1795241,13221,0.0555,0.0918,43.09,0.1381,1456,131,0,0
GEN-500116,TreatmentB,B02,93.86,1371889,14997,0.1202,0.094,48.68,0.3035,839,982,0,0
GEN-500643,TreatmentA,B03,73.27,4050229,14739,0.0961,0.2247,48.06,0.1448,1767,836,0,0
GEN-500071,Control,B01,102.03,1004599,13845,0.0252,0.1307,47.48,0.0559,2842,451,0,1
GEN-500396,Control,B03,107.57,1361415,16557,0.0597,0.1619,46.98,0.5186,1079,61,0,1
GEN-500053,Control,B01,109.7,1652179,13447,0.0086,0.0919,46.89,0.3001,1956,236,1,1
GEN-500861,TreatmentB,B02,85.02,649473,14346,0.0316,0.1965,44.31,0.2298,1158,1071,1,1
GEN-500809,TreatmentA,B02,108.2,1997354,14966,0.0815,0.1527,43.38,0.1734,1778,260,1,1
GEN-500992,Control,B03,105.8,1800174,9453,0.0256,0.152,47.86,0.1826,2269,249,0,0
GEN-500819,TreatmentB,B01,90.47,738515,15937,0.0137,0.1755,45.14,0.0414,2255,541,0,0
GEN-500045,TreatmentB,B01,87.26,1373898,19982,0.0474,0.0612,48.67,0.0548,2419,1296,1,1
GEN-500268,TreatmentB,B02,112.99,1889715,17389,0.0301,0.1745,47.75,0.3105,1280,551,1,1
GEN-500225,TreatmentA,B01,111.1,897696,12187,0.0436,0.1245,45.62,0.2749,1893,297,0,1
GEN-500014,Control,B03,90.8,2014503,13541,0.0768,0.2034,47.57,0.0556,2214,312,0,0
GEN-500618,Control,B02,85.31,1964603,10039,0.0376,0.0146,43.85,0.1699,1661,81,0,0
GEN-500370,TreatmentA,B03,123.19,1638070,13641,0.1047,0.2314,45.7,0.0678,1284,1281,1,0
GEN-500763,TreatmentB,B01,122.06,1370045,17394,0.0266,0.132,47.26,0.0981,1337,620,1,1
GEN-500769,TreatmentB,B01,100.35,2248780,10659,0.012,0.1576,44.61,0.1067,683,912,1,0
GEN-500305,Control,B03,122.78,1131301,13699,0.0576,0.2172,46.65,0.145,2154,61,0,1
GEN-500639,TreatmentA,B01,94.97,2046276,13271,0.0053,0.0983,47.47,0.3247,847,244,0,0
GEN-500056,Control,B03,106.6,1330438,14463,0.1673,0.0906,45.37,0.0928,1487,86,0,1
GEN-500423,TreatmentB,B02,75.11,1061346,13744,0.0623,0.0936,45.26,0.2077,2238,646,0,1
GEN-500395,Control,B01,97.5,3080925,17883,0.0316,0.1784,48.99,0.2715,1323,134,0,1
GEN-500713,TreatmentB,B03,101.71,1782837,17996,0.0051,0.0886,42.43,0.1726,918,597,1,0
GEN-500264,TreatmentA,B03,106.63,3214301,15816,0.0729,0.1594,46.4,0.2892,3936,399,0,1
GEN-500715,Control,B02,87.33,2342765,16888,0.0604,0.1746,45.89,0.18,3095,334,0,0
GEN-500495,TreatmentA,B02,91.12,4435170,12640,0.0094,0.1961,47.58,0.1737,837,192,0,1
GEN-500207,Control,B01,97.47,1910023,15472,0.0523,0.119,48.61,0.2938,1569,274,0,0
GEN-500218,TreatmentA,B01,77.34,1046373,15431,0.0116,0.1889,49.11,0.3669,1415,977,1,0
GEN-500892,TreatmentB,B03,74.07,4733863,14095,0.0132,0.1437,47.01,0.1271,1086,421,1,1
GEN-500617,TreatmentB,B03,112.74,4460494,11497,0.036,0.1157,47.0,0.1743,1059,429,0,1
GEN-500693,Control,B03,108.68,1557712,15936,0.0296,0.1542,47.37,0.1578,1148,346,1,1
GEN-500015,Control,B02,112.31,977768,18160,0.0409,0.1723,47.65,0.1272,1758,726,1,1
GEN-500403,TreatmentB,B02,104.42,992429,16585,0.0395,0.1677,47.25,0.2737,1132,468,1,1
GEN-500839,TreatmentB,B01,101.77,2165271,15734,0.063,0.1194,49.39,0.084,2684,1072,1,1
GEN-500750,TreatmentA,B01,117.67,2732510,15356,0.1139,0.1329,46.97,0.1287,1158,952,0,1
GEN-500816,TreatmentB,B02,110.65,2935493,12860,0.1134,0.161,50.16,0.053,2116,1105,1,0
GEN-500165,TreatmentB,B01,101.94,3853685,17429,0.0196,0.1076,44.84,0.1717,715,865,1,0
GEN-500138,TreatmentA,B01,110.65,1306064,17685,0.0253,0.1298,51.23,0.277,1811,285,0,0
GEN-500095,TreatmentA,B03,86.99,2496127,13902,0.0394,0.1449,45.66,0.1923,1747,218,0,1
GEN-500092,TreatmentA,B02,105.21,991223,17508,0.1131,0.1786,47.95,0.1704,2067,579,0,0
GEN-500740,TreatmentA,B02,103.18,2931951,13190,0.0406,0.131,50.03,0.0607,1468,479,0,0
GEN-500454,Control,B02,98.03,1716829,11116,0.0355,0.2309,46.43,0.2626,1295,259,0,1
GEN-500649,Control,B02,113.13,2602063,12202,0.0142,0.1062,44.01,0.2251,900,643,0,0
GEN-500479,TreatmentA,B02,108.92,2678810,13616,0.0095,0.0746,47.64,0.1154,1082,231,1,1
GEN-500028,Control,B02,84.24,1783462,18497,0.0135,0.1953,42.42,0.2693,1652,-93,1,1
GEN-500683,TreatmentB,B03,90.87,610531,18389,0.0226,0.1125,44.08,0.1525,1642,608,0,0
GEN-500084,Control,B03,102.52,1477020,17562,0.0764,0.1019,48.32,0.358,3430,461,0,0
GEN-500585,TreatmentA,B02,102.97,1541523,16784,0.0041,0.1481,48.87,0.356,1151,539,1,0
GEN-500686,Control,B03,70.53,3289805,13310,0.0553,0.1467,45.0,0.035,1837,-26,1,0
GEN-500700,TreatmentA,B03,112.61,2075271,17590,0.0459,0.0503,44.26,0.3602,1722,636,1,0
GEN-500291,TreatmentB,B01,116.59,1396549,14762,0.0297,0.1116,43.8,0.2481,871,869,0,0
GEN-500801,TreatmentA,B01,105.21,2331567,15857,0.0229,0.134,45.45,0.2704,1686,513,1,1
GEN-500812,TreatmentA,B02,79.44,1326153,13752,0.0395,0.1918,45.7,0.1232,1346,199,0,0
GEN-500998,Control,B03,96.46,4863885,14589,0.0935,0.0958,47.93,0.1923,2061,673,0,0
GEN-500003,TreatmentB,B02,84.76,802477,17095,0.0395,0.084,46.75,0.3581,1647,1038,1,0
GEN-500047,TreatmentB,B01,107.03,1210657,15557,0.0251,0.1941,43.39,0.1034,2351,673,1,0
GEN-500862,TreatmentB,B02,80.72,1442781,17618,0.0781,0.0456,45.83,0.1258,1616,1457,1,1
GEN-500064,TreatmentB,B03,125.23,418410,15607,0.0211,0.1451,50.13,0.1241,2514,661,1,0
GEN-500411,Control,B02,101.01,1750290,13021,0.0941,0.2381,43.11,0.0904,1242,307,1,0
GEN-500334,TreatmentA,B02,98.54,2137652,15350,0.0688,0.1577,45.65,0.2538,1100,266,0,1
GEN-500317,Control,B03,92.6,1694842,13796,0.0316,0.0982,44.96,0.0679,2239,978,1,1
GEN-500214,TreatmentB,B03,103.16,1143719,18334,0.0225,0.1761,46.36,0.2496,1769,530,1,1
GEN-500748,TreatmentB,B03,82.9,3108266,20789,0.1074,0.2182,47.96,0.1767,1429,829,1,0
GEN-500374,TreatmentB,B01,104.8,848444,13528,0.0161,0.147,41.4,0.5367,1863,664,0,0
GEN-500401,Control,B01,114.42,1414318,14194,0.0224,0.1874,47.15,0.0995,2035,27,1,0
GEN-500425,Control,B03,92.96,791722,16192,0.0795,0.1104,43.68,0.1362,2743,586,0,0
GEN-500441,Control,B01,76.71,2400423,13129,0.102,0.211,42.25,0.2179,1678,263,0,0
GEN-500439,TreatmentA,B02,103.24,1470045,13550,0.0799,0.1238,46.04,0.4585,2403,474,0,1
GEN-500951,Control,B03,99.21,1216745,11777,0.0086,0.0987,49.48,0.3096,1386,509,0,0
GEN-500722,TreatmentA,B03,97.5,1720900,17163,0.0085,0.0896,47.77,0.0913,1926,292,1,1
GEN-500429,TreatmentB,B02,86.0,924535,14284,0.0887,0.1806,48.05,0.2278,2132,1185,1,1
GEN-500070,TreatmentA,B03,104.76,2522504,14722,0.0908,0.1047,46.5,0.1584,2044,1952,1,1
GEN-500521,TreatmentB,B01,87.6,1188815,14430,0.0442,0.0342,46.21,0.2713,1854,452,0,0
GEN-500762,TreatmentB,B01,111.99,488596,18253,0.0277,0.1045,46.08,0.1666,3782,423,1,0
GEN-500766,TreatmentB,B01,125.79,2159378,16326,0.0377,0.1852,46.92,0.2787,1103,947,0,1
GEN-500835,Control,B03,80.98,1950529,18788,0.0586,0.1216,48.77,0.0565,1380,-89,0,0
GEN-500400,TreatmentA,B02,79.16,1039042,16708,0.0445,0.1356,46.1,0.2253,1271,422,0,1
GEN-500706,Control,B02,75.53,3154531,13215,0.0354,0.1356,46.98,0.0781,1305,194,0,1
GEN-500788,Control,B01,101.51,1641636,12134,0.0324,0.1701,44.24,0.3594,1474,187,0,1
GEN-500519,TreatmentB,B02,95.3,3726970,14438,0.0682,0.1458,46.45,0.2553,2402,721,1,1
GEN-500156,TreatmentB,B02,70.27,1303215,16870,0.0113,0.1005,43.92,0.4159,1389,930,1,0
GEN-500590,TreatmentB,B03,99.72,2106025,18680,0.1418,0.1713,44.88,0.2008,2342,1101,1,1
GEN-500501,Control,B01,78.54,1794717,14704,0.0291,0.1708,48.4,0.171,1655,914,1,1
GEN-500663,TreatmentB,B01,115.1,1248000,18744,0.0598,0.1467,50.33,0.2177,2469,482,0,0
GEN-500082,TreatmentA,B01,101.56,2677172,14486,0.0595,0.216,46.13,0.2096,2081,572,0,1
GEN-500669,TreatmentB,B02,67.56,483819,19220,0.0343,0.1803,44.53,0.2768,1412,708,1,1
GEN-500151,TreatmentB,B03,111.78,762013,14649,0.0202,0.0525,43.37,0.2308,523,1160,1,0
GEN-500182,TreatmentB,B03,98.07,1316830,17920,0.0806,0.1975,46.7,0.1894,1535,1208,1,1
GEN-500462,Control,B01,140.79,2017285,11697,0.0737,0.0529,46.37,0.0778,2498,511,0,1
GEN-500699,TreatmentB,B02,99.03,2297706,9993,0.0256,0.1188,46.78,0.2845,1851,917,1,0
GEN-500930,TreatmentA,B02,95.25,1227185,13255,0.0828,0.155,45.77,0.2386,1157,944,1,1
GEN-500377,Control,B01,116.0,1306188,13209,0.0212,0.4243,47.16,0.0789,1150,502,0,0
GEN-500435,Control,B02,72.74,1948699,14649,0.0153,0.1652,46.94,0.0949,2056,-93,0,0
GEN-500680,Control,B02,101.85,1969821,15133,0.0186,0.0651,47.48,0.1724,1077,73,0,1
GEN-500765,TreatmentA,B03,95.17,1963417,15355,0.0416,0.1666,45.61,0.3344,1375,240,1,1
GEN-500773,TreatmentA,B02,118.37,1743398,14137,0.0272,0.0857,51.06,0.1647,1969,439,1,1
GEN-500274,TreatmentB,B03,125.33,384881,17930,0.0368,0.3096,44.03,0.1798,1969,622,0,0
GEN-500097,TreatmentB,B01,98.66,3227958,16990,0.045,0.0941,44.01,0.2996,1938,698,1,0
GEN-500883,TreatmentA,B02,103.32,1071350,20584,0.0498,0.1634,48.24,0.079,1971,564,1,0
GEN-500555,TreatmentB,B03,97.19,1649910,16657,0.0439,0.0682,41.16,0.2102,1906,556,0,1
GEN-500288,Control,B01,80.77,3690592,15918,0.1115,0.0732,43.39,0.0924,2382,-17,0,0
GEN-500845,TreatmentB,B02,107.68,3103811,13935,0.0026,0.0569,44.96,0.1221,1480,699,1,1
GEN-500829,TreatmentB,B02,83.3,1247463,16459,0.0521,0.0318,45.57,0.2026,1399,1001,1,1
GEN-500236,TreatmentB,B02,102.93,2494340,14773,0.0234,0.1339,43.35,0.2572,1633,701,1,0
GEN-500466,TreatmentA,B03,107.56,4615187,13624,0.0311,0.2328,50.49,0.1756,1611,327,0,0
GEN-500823,Control,B03,115.07,4001031,11874,0.0359,0.0688,45.44,0.2104,2469,229,0,1
GEN-500601,TreatmentA,B03,95.04,2475410,13202,0.0567,0.1665,43.97,0.22,2117,868,1,0
GEN-500751,TreatmentB,B01,98.66,1480700,14459,0.0275,0.1662,44.33,0.2323,1529,551,0,1
GEN-500610,TreatmentA,B01,105.77,2134282,19121,0.0734,0.1419,45.42,0.2372,2134,644,0,1
GEN-500842,TreatmentB,B01,88.9,2796837,15464,0.0509,0.1329,46.55,0.059,1571,572,1,1
GEN-500613,TreatmentA,B02,104.4,470950,14844,0.0359,0.2344,44.06,0.2055,3109,1166,1,0
GEN-500738,TreatmentA,B02,94.69,1845259,13463,0.0768,0.0534,48.19,0.1372,999,595,0,1
GEN-500876,Control,B02,116.74,2566286,12347,0.0038,0.2007,46.64,0.131,1320,-5,0,0
GEN-500292,TreatmentB,B02,117.2,2523172,10528,0.1005,0.1839,43.1,0.047,2061,611,0,0
GEN-500285,TreatmentA,B02,88.94,597142,13434,0.051,0.1353,46.83,0.272,1061,403,0,1
GEN-500178,TreatmentA,B03,105.55,3780252,16435,0.0924,0.0813,45.96,0.0602,1658,218,1,1
GEN-500331,TreatmentA,B02,86.79,2578962,15749,0.1002,0.0708,46.28,0.0859,1505,603,1,1
GEN-500975,TreatmentB,B02,100.55,2095795,19656,0.1331,0.0916,46.35,0.2132,1380,1052,1,1
GEN-500955,TreatmentA,B02,106.24,1784156,13649,0.0662,0.0718,45.34,0.0566,1107,311,0,1
GEN-500209,TreatmentA,B01,132.76,1369829,16976,0.0592,0.0681,46.38,0.118,1069,541,0,1
GEN-500323,Control,B01,116.92,2545667,13943,0.0338,0.2224,45.8,0.283,1059,328,0,1
GEN-500989,TreatmentB,B01,84.85,1509369,18099,0.0353,0.2284,47.74,0.1713,1231,1059,1,0
GEN-500747,Control,B02,111.93,590453,13884,0.0699,0.105,43.37,0.1741,1148,169,0,0
GEN-500354,TreatmentB,B03,136.15,3090049,11927,0.0178,0.1643,50.92,0.3806,1036,732,1,0
GEN-500390,Control,B02,94.53,549840,11104,0.0254,0.1609,47.56,0.2136,1215,450,0,1
GEN-500440,Control,B03,110.34,693086,14702,0.0518,0.2397,50.01,0.2424,1389,1691,1,1
GEN-500130,Control,B01,107.75,905008,11581,0.043,0.1145,45.21,0.0657,2057,354,0,1
GEN-500529,Control,B01,92.35,2691763,13410,0.0405,0.1962,40.42,0.3056,1424,220,0,1
GEN-500802,Control,B02,108.77,1042772,12826,0.0759,0.1962,49.27,0.2625,1404,-35,0,1
GEN-500039,TreatmentB,B01,111.84,3859207,18461,0.0737,0.1031,47.38,0.1949,1092,676,1,1
GEN-500794,Control,B01,122.32,2506275,10594,0.0213,0.1653,43.16,0.0893,1541,24,0,0
GEN-500433,Control,B01,101.57,2755418,12631,0.02,0.2029,48.47,0.2704,1411,135,1,1
GEN-500477,TreatmentB,B03,84.4,1194539,13440,0.066,0.1388,48.16,0.1922,2758,439,0,0
GEN-500119,TreatmentA,B02,71.55,3102904,14796,0.0466,0.0888,45.31,0.2665,762,889,1,0
GEN-500321,TreatmentA,B02,85.39,1023221,16256,0.0337,0.1167,44.9,0.2026,1360,271,1,1
GEN-500463,TreatmentA,B01,90.59,2882763,15365,0.095,0.1278,43.36,0.1261,1513,196,1,0
GEN-500150,TreatmentA,B03,110.73,2340829,13662,0.0354,0.2058,46.97,0.1694,2173,471,0,1
GEN-500227,TreatmentA,B02,122.88,2380231,17157,0.0298,0.1131,47.97,0.2355,1643,480,1,0
GEN-500287,TreatmentA,B01,124.17,1889077,13377,0.0472,0.147,46.67,0.2508,2459,590,0,1
GEN-500690,TreatmentA,B01,70.97,1891787,12710,0.0453,0.1477,46.74,0.2993,2495,433,0,1
GEN-500924,TreatmentA,B01,102.9,1729194,18794,0.0068,0.1387,49.58,0.1964,1083,972,1,0
GEN-500243,TreatmentA,B01,98.77,2714957,17804,0.0614,0.077,45.63,0.1916,1183,276,1,0
