sample_id,group,batch,measure_1,tx_count_total,genes_detected,mito_fraction,ribo_fraction,mean_gc_percent,duplication_rate,median_tx_length,counts_gene_of_interest,target_a,target_b
GEN-509022,TreatmentA,B03,113.5,3693140,16197,0.0389,0.074,45.87,0.2665,2199,354,1,0
GEN-505244,TreatmentA,B02,89.18,624664,17025,0.0431,0.0903,45.52,0.172,877,655,1,1
GEN-503404,Control,B01,72.12,1492353,13245,0.0029,0.1166,46.07,0.1736,2027,541,1,1
GEN-500137,TreatmentB,B03,96.27,600429,15487,0.0689,0.156,47.71,0.1314,1930,1137,1,1
GEN-504385,Control,B01,113.49,2279143,13631,0.046,0.105,45.54,0.1508,1797,1261,0,1
GEN-504284,Control,B02,102.86,1012200,13657,0.0425,0.2019,46.01,0.2536,1755,141,0,1
GEN-507600,TreatmentB,B02,89.94,381518,18861,0.075,0.0605,47.58,0.1054,2039,571,0,1
GEN-500679,TreatmentA,B03,134.52,1578712,13659,0.1198,0.1326,46.45,0.2501,974,1248,0,1
GEN-502739,TreatmentA,B03,98.75,1158422,14102,0.0221,0.1267,39.64,0.2478,2070,851,0,0
GEN-502572,Control,B01,73.64,1828185,14234,0.0798,0.081,47.68,0.2053,1548,399,0,1
GEN-508335,TreatmentB,B01,103.71,2029782,16987,0.0334,0.2253,47.84,0.0877,1473,439,0,0
GEN-507186,Control,B03,78.25,3345707,11327,0.1143,0.171,46.65,0.1397,2211,158,0,0
GEN-506543,Control,B01,103.9,3040005,17073,0.0402,0.1283,45.45,0.2858,1320,332,1,1
GEN-507131,Control,B02,90.39,3914303,16195,0.0157,0.2227,46.77,0.2405,1451,568,0,1
GEN-505882,Control,B02,113.29,3045496,11196,0.0228,0.054,46.1,0.1536,1710,85,0,1
GEN-501903,Control,B02,91.57,3451765,13938,0.0201,0.1779,41.67,0.4434,3668,250,0,0
GEN-506253,TreatmentA,B01,107.72,2222541,13851,0.0204,0.2802,47.05,0.0942,1892,197,0,0
GEN-502433,TreatmentB,B01,96.57,1738905,16524,0.0598,0.1163,47.32,0.2808,1670,1871,0,1
GEN-507537,Control,B01,98.1,497791,17858,0.0834,0.2473,46.45,0.1305,984,-123,1,0
GEN-509416,Control,B03,112.41,848322,15060,0.0653,0.1805,48.3,0.1091,1505,168,1,0
GEN-500611,Control,B02,103.64,1000158,14927,0.0728,0.2254,44.64,0.1555,1914,55,0,0
GEN-505256,Control,B03,110.65,1572482,11264,0.0274,0.0983,48.74,0.3448,1600,-2,0,0
GEN-502209,TreatmentB,B03,84.75,1814613,14668,0.0378,0.2785,47.85,0.1767,1758,1221,1,1
GEN-501751,TreatmentA,B03,94.06,2656151,13389,0.0727,0.1178,45.74,0.3856,1366,175,0,1
GEN-503314,TreatmentA,B02,99.27,4279630,12485,0.0212,0.1148,45.14,0.1524,2744,457,0,1
GEN-508460,TreatmentB,B01,98.89,1825039,14155,0.0485,0.159,45.62,0.1014,1181,1126,1,1
GEN-505874,TreatmentA,B01,104.97,6573551,14299,0.0198,0.2504,44.86,0.105,1303,970,1,0
GEN-500070,TreatmentB,B01,83.58,1443585,16701,0.063,0.1754,45.89,0.15,2344,647,1,1
GEN-500899,TreatmentA,B03,90.79,1844405,15723,0.1134,0.1317,44.01,0.1314,2325,450,1,0
GEN-506554,Control,B01,79.67,1388618,12706,0.0291,0.1433,47.29,0.2452,930,808,0,1
GEN-502145,Control,B01,113.34,887511,15521,0.1018,0.1282,46.17,0.235,997,589,1,1
GEN-504786,TreatmentA,B01,116.66,3165138,14151,0.0096,0.0726,45.93,0.2415,1274,199,0,0
GEN-505579,TreatmentB,B02,94.22,874637,16061,0.0039,0.1633,47.66,0.1674,2901,888,1,1
GEN-507485,TreatmentA,B03,101.5,2257550,14604,0.1036,0.121,44.68,0.1312,1184,408,0,0
GEN-507132,TreatmentB,B01,92.59,1290244,17981,0.043,0.0853,47.1,0.1697,1510,678,0,1
GEN-505599,TreatmentA,B02,121.22,2013759,12542,0.0234,0.1694,45.6,0.1156,1240,185,0,0
GEN-504075,TreatmentB,B02,86.64,1054004,13814,0.0959,0.1016,45.16,0.3361,1410,935,0,0
GEN-504232,TreatmentB,B02,94.21,1743152,16039,0.0574,0.1647,44.78,0.1606,1354,743,0,1
GEN-508678,Control,B02,106.42,1104713,14639,0.0648,0.1147,44.27,0.029,2536,185,0,1
GEN-501495,TreatmentB,B03,95.37,2783470,17228,0.0572,0.1877,46.56,0.2812,1413,795,1,1
GEN-505158,Control,B03,111.9,2104811,13995,0.1417,0.1695,45.7,0.0569,1782,399,0,1
GEN-508422,Control,B01,117.02,1456368,13894,0.0591,0.1971,44.62,0.1897,1183,72,0,0
GEN-507721,TreatmentA,B01,110.17,1412758,16870,0.035,0.1747,45.98,0.198,1254,333,1,1
GEN-504661,Control,B02,102.59,1266784,11684,0.0293,0.1315,47.56,0.0503,2266,570,1,1
GEN-502345,Control,B02,124.92,1024443,14603,0.0771,0.1682,47.75,0.1274,1093,83,0,0
GEN-503064,TreatmentB,B02,125.29,1553581,14726,0.024,0.1634,49.14,0.1948,1507,1294,1,0
GEN-507142,Control,B02,115.56,802824,12163,0.0236,0.1424,48.51,0.1716,2365,99,0,0
GEN-508848,Control,B03,102.58,1094720,12022,0.0377,0.0866,44.44,0.1098,1254,130,0,0
GEN-507315,TreatmentA,B02,80.19,1090328,17228,0.0652,0.1288,44.23,0.2615,1454,383,0,1
GEN-506600,TreatmentB,B01,106.28,461698,13878,0.0528,0.1378,46.64,0.1214,1983,619,0,1
GEN-503822,TreatmentA,B02,125.13,1356945,10341,0.1032,0.0494,46.81,0.2061,1503,314,0,0
GEN-500136,TreatmentA,B02,100.03,1087064,12314,0.0528,0.1538,45.49,0.0644,874,612,1,1
GEN-506370,TreatmentB,B02,81.73,2994557,12546,0.0187,0.063,46.61,0.037,2112,910,1,1
GEN-507557,Control,B02,96.09,3094580,13150,0.0632,0.0875,45.38,0.2037,1318,726,0,1
GEN-500760,Control,B02,76.72,785817,13434,0.0638,0.204,46.2,0.0824,1361,22,0,0
GEN-507076,TreatmentA,B02,122.15,2601720,14938,0.0171,0.0265,44.19,0.1939,1068,849,0,1
GEN-509746,TreatmentA,B02,93.18,2544986,11769,0.0357,0.1669,46.13,0.1498,1909,738,0,1
GEN-502578,TreatmentB,B01,108.97,924797,13582,0.0519,0.2697,45.23,0.1029,1464,1012,1,0
GEN-505477,Control,B02,91.45,1333319,14222,0.0385,0.1626,48.82,0.2503,1211,-50,0,1
GEN-505110,Control,B02,113.97,2163801,16374,0.0156,0.3258,46.4,0.3596,2266,-53,0,1
GEN-508107,Control,B02,96.7,1487295,13157,0.104,0.1199,44.27,0.1539,1319,496,1,0
GEN-503726,TreatmentA,B03,80.08,1099659,15838,0.0131,0.1656,45.22,0.1816,919,364,0,1
GEN-503732,TreatmentA,B01,67.47,1598979,10331,0.0225,0.0691,45.77,0.1319,1361,297,0,1
GEN-507498,Control,B01,100.19,1661882,13777,0.0227,0.2522,47.05,0.3034,754,538,0,1
GEN-506496,TreatmentA,B01,109.41,6041764,10308,0.0393,0.0867,49.43,0.1444,1568,826,0,0
GEN-502781,TreatmentB,B01,102.92,3883422,14195,0.0137,0.0593,46.76,0.0386,2529,824,1,1
GEN-503143,TreatmentB,B02,89.92,1158013,13957,0.074,0.1975,46.94,0.0909,2418,1631,1,0
GEN-504620,TreatmentA,B03,128.98,931039,16324,0.0129,0.2101,50.6,0.1948,1633,370,0,0
GEN-506525,TreatmentB,B02,101.0,2350194,13653,0.0023,0.2117,43.99,0.2187,3054,595,1,1
GEN-501173,TreatmentA,B02,94.04,1574888,13189,0.0572,0.2065,43.52,0.0297,2886,1035,0,0
GEN-507313,Control,B02,129.23,1355122,16243,0.0614,0.1383,44.09,0.0944,1493,819,1,1
GEN-502958,Control,B03,92.47,1178434,13135,0.0199,0.0959,44.68,0.2713,1605,-74,1,0
GEN-503291,TreatmentB,B01,75.34,2069836,15530,0.0109,0.1454,43.44,0.0416,1980,1324,1,0
GEN-509744,TreatmentA,B03,114.68,856536,20227,0.104,0.1175,44.49,0.1665,2918,286,0,1
GEN-502599,TreatmentA,B01,107.22,2435213,14346,0.0335,0.1963,43.04,0.1593,1447,462,0,0
GEN-500737,TreatmentB,B03,68.5,2046810,18962,0.0824,0.0535,45.39,0.3519,2370,487,0,0
GEN-506108,TreatmentA,B02,66.76,509359,13477,0.0921,0.0794,48.92,0.2782,2123,489,0,0
GEN-502284,Control,B02,99.89,1793151,9774,0.0185,0.1036,48.62,0.35,765,-115,0,0
GEN-507295,TreatmentB,B03,85.01,1899974,16231,0.0267,0.1557,47.43,0.2442,838,858,1,0
GEN-500417,Control,B01,93.1,2141965,12420,0.0624,0.1788,48.16,0.1976,2412,128,0,1
GEN-509662,TreatmentB,B03,101.86,2092017,12925,0.0487,0.1009,46.11,0.2328,1379,697,1,1
GEN-509431,Control,B02,106.09,836682,13853,0.0252,0.1433,49.52,0.1068,2323,190,0,0
GEN-505779,TreatmentA,B02,99.28,3019834,13185,0.0281,0.1155,51.2,0.0562,876,514,1,0
GEN-508981,TreatmentA,B03,98.16,1833258,16134,0.0519,0.1936,45.73,0.4268,1726,599,1,1
GEN-508005,TreatmentA,B01,128.77,472633,16088,0.0582,0.081,45.65,0.1939,1079,776,1,1
GEN-506379,TreatmentB,B01,93.18,1217374,12304,0.0219,0.1876,45.13,0.1036,2822,398,0,0
GEN-503262,TreatmentA,B02,120.97,794339,14372,0.0336,0.097,40.82,0.1269,1193,924,1,0
GEN-504056,TreatmentA,B02,108.25,2099328,15916,0.018,0.1945,41.73,0.1694,1216,465,1,0
GEN-509760,Control,B01,90.31,828533,12572,0.0265,0.1413,44.68,0.1682,1308,96,0,1
GEN-505919,TreatmentA,B01,108.16,2322091,15181,0.0207,0.1024,45.86,0.1335,1938,366,1,1
GEN-505905,TreatmentA,B03,100.73,1902332,12078,0.0531,0.045,50.08,0.1435,1042,759,1,0
GEN-505767,TreatmentB,B01,100.37,3562768,14629,0.065,0.0864,47.81,0.1546,1405,935,1,1
GEN-505331,TreatmentA,B02,66.64,4029354,14946,0.0602,0.123,43.57,0.2348,1774,1571,1,0
GEN-500271,TreatmentB,B02,109.63,995901,17748,0.1527,0.2262,49.16,0.171,1590,795,0,0
GEN-506726,TreatmentB,B01,83.33,3243669,18913,0.015,0.0689,43.71,0.0788,2515,655,1,1
GEN-505409,TreatmentB,B03,82.39,2480010,19415,0.0443,0.0875,46.0,0.1871,1301,1047,0,1
GEN-508586,TreatmentB,B02,110.48,1319901,15940,0.0514,0.1198,47.15,0.1712,2184,901,1,1
GEN-506419,TreatmentB,B02,119.31,1600904,18164,0.1072,0.1985,46.93,0.1601,1205,1367,1,0
GEN-504933,TreatmentB,B02,95.66,2653884,10824,0.0951,0.0993,44.76,0.2943,1951,507,1,0
GEN-504244,TreatmentA,B03,116.48,2101965,15785,0.027,0.153,44.76,0.1594,1811,149,0,1
GEN-507355,TreatmentA,B03,112.59,3137046,15636,0.0535,0.2277,45.35,0.3067,1801,244,0,1
GEN-500257,TreatmentA,B02,102.02,1279091,17269,0.0145,0.1581,45.46,0.2786,1938,1142,1,1
GEN-501834,Control,B02,118.55,940226,15105,0.0358,0.1297,49.6,0.1888,1964,211,0,0
GEN-508771,Control,B02,106.43,875492,14887,0.0296,0.2075,46.27,0.2122,1938,233,1,1
GEN-502600,TreatmentB,B01,101.07,2221423,17370,0.0298,0.2057,47.98,0.1056,1581,1315,1,0
GEN-500701,Control,B01,99.37,974142,13068,0.0298,0.1597,44.88,0.0572,802,105,0,0
GEN-506048,TreatmentA,B01,93.68,1413068,12033,0.0375,0.0746,45.97,0.4094,1147,253,0,0
GEN-504187,Control,B01,87.23,3399152,14234,0.1391,0.2288,41.7,0.1231,1961,552,0,0
GEN-501079,TreatmentB,B01,84.42,762198,15652,0.14,0.1297,45.49,0.3032,1335,554,0,1
GEN-507875,TreatmentA,B02,94.15,1886818,13102,0.0129,0.1655,45.4,0.1108,517,1086,1,1
GEN-502884,TreatmentA,B02,122.22,1592744,11082,0.0648,0.3283,45.57,0.0845,2537,254,0,0
GEN-504997,Control,B01,93.02,313440,15700,0.1247,0.086,47.7,0.1862,1642,-33,0,1
GEN-500272,TreatmentB,B03,95.93,1216602,14810,0.1337,0.0701,49.59,0.1125,2079,1176,0,0
GEN-501856,Control,B03,81.69,1216901,14581,0.0468,0.2037,45.11,0.1352,1058,-38,0,0
GEN-508534,Control,B02,109.82,270382,11253,0.0963,0.2786,50.05,0.1878,2273,57,0,0
GEN-500262,TreatmentB,B03,102.18,1041471,12856,0.0241,0.1022,47.49,0.1481,3728,680,1,1
GEN-503844,TreatmentB,B02,91.42,1927633,17039,0.0943,0.2549,48.18,0.2518,1651,867,1,1
GEN-503796,Control,B02,94.59,649554,14489,0.034,0.0639,43.35,0.2547,1528,247,0,0
GEN-504698,TreatmentB,B02,106.42,2032213,18769,0.0413,0.1116,46.9,0.1911,1924,562,0,1
GEN-505417,Control,B02,100.67,1503799,14242,0.0135,0.0882,47.83,0.0667,825,304,0,1
GEN-500927,Control,B03,117.24,693321,11453,0.03,0.1817,47.07,0.119,1834,198,0,0
GEN-502524,TreatmentB,B03,129.52,2592154,13278,0.0619,0.1472,47.41,0.1186,1532,1115,1,1
GEN-507177,TreatmentB,B03,104.72,3541396,21504,0.0219,0.0785,45.69,0.0487,1626,937,1,1
GEN-500733,Control,B01,81.35,3788412,16502,0.0114,0.0988,48.38,0.0817,1324,209,1,1
GEN-508242,TreatmentB,B03,103.43,962526,19538,0.064,0.1683,45.18,0.2004,2075,1206,1,1
GEN-507571,TreatmentA,B02,70.93,777542,11775,0.0386,0.1054,45.89,0.3326,2033,329,0,0
GEN-508668,TreatmentB,B03,101.58,1422476,15400,0.0833,0.2582,45.19,0.1237,1626,1562,1,0
GEN-504828,TreatmentA,B01,70.19,521598,16623,0.0052,0.0772,45.7,0.2676,963,506,0,0
GEN-501115,TreatmentB,B02,149.92,2060156,17675,0.0364,0.162,46.53,0.0513,1516,1363,1,1
GEN-506474,Control,B01,93.25,4572852,14347,0.0723,0.1251,45.61,0.2279,1429,-3,0,1
GEN-502454,TreatmentB,B03,98.19,1416087,14688,0.0285,0.1967,47.65,0.1108,1509,458,0,0
GEN-509078,TreatmentB,B03,115.34,3290587,13407,0.1244,0.1386,44.73,0.2457,2100,567,0,1
GEN-500498,Control,B03,82.01,2660286,14636,0.0023,0.1217,50.66,0.2191,2178,384,1,0
GEN-508948,TreatmentA,B01,73.43,461911,14485,0.0788,0.1885,49.83,0.2171,1927,395,0,1
GEN-509809,TreatmentA,B01,105.4,1473282,14789,0.0341,0.174,47.53,0.1118,1380,705,0,0
GEN-508470,Control,B01,91.47,2312009,11954,0.0326,0.1805,48.24,0.2564,1537,243,1,0
GEN-501211,Control,B02,75.61,829917,12216,0.1311,0.1875,45.33,0.1791,1786,1141,0,1
GEN-507719,Control,B03,105.63,3554340,17315,0.0507,0.1715,49.16,0.0426,1325,909,1,0
GEN-502510,TreatmentA,B03,119.5,1353052,18114,0.0225,0.0549,45.56,0.1781,2887,1519,1,1
GEN-503613,Control,B01,93.16,2443129,16685,0.0653,0.2193,43.01,0.1911,1538,1020,1,0
GEN-504309,TreatmentB,B02,108.25,1767758,16492,0.0329,0.078,41.7,0.2351,1910,754,1,0
GEN-508796,TreatmentB,B02,98.02,348522,16193,0.0032,0.0578,44.96,0.2456,1674,701,1,0
GEN-503250,TreatmentA,B03,97.16,2120645,17400,0.0283,0.1099,47.37,0.2233,1132,621,1,0
GEN-506063,Control,B02,108.76,1596805,14235,0.0124,0.0978,46.13,0.3879,2521,101,1,0
GEN-500845,TreatmentA,B02,98.21,1626165,10895,0.0376,0.1835,51.46,0.1274,1055,548,0,0
GEN-508111,TreatmentA,B02,95.27,1995045,14457,0.076,0.1353,44.57,0.0662,1177,242,1,1
GEN-507154,Control,B01,76.06,1980259,13822,0.0661,0.252,46.13,0.3449,1371,17,0,1
GEN-506420,Control,B01,100.65,2241172,12059,0.0183,0.1893,50.17,0.0355,1888,-82,0,0
GEN-506181,TreatmentB,B02,67.65,1684987,15093,0.0153,0.2105,47.09,0.2303,1943,813,1,1
GEN-502442,TreatmentB,B01,91.37,2909843,15461,0.0509,0.1089,46.79,0.1739,1309,1335,1,1
GEN-502520,TreatmentA,B03,102.7,1529433,13834,0.0234,0.0755,43.93,0.1137,1342,655,1,1
GEN-501628,TreatmentB,B03,130.28,1397449,14925,0.023,0.235,42.96,0.2116,812,807,1,0
GEN-504634,TreatmentA,B02,107.2,1892451,18729,0.0223,0.0999,46.74,0.16,3341,300,1,1
GEN-500488,TreatmentB,B01,103.21,2327218,17628,0.0554,0.1247,46.96,0.3354,2238,945,1,1
GEN-505376,TreatmentA,B01,114.56,4429269,15920,0.0385,0.0751,45.66,0.3413,785,450,0,0
GEN-507507,TreatmentA,B03,101.38,2566700,14912,0.0501,0.0808,48.42,0.0887,1113,709,1,1
GEN-501193,TreatmentB,B03,116.29,1105897,18888,0.0159,0.1557,45.57,0.2015,2209,620,1,1
GEN-501190,Control,B03,81.12,2069675,12526,0.0482,0.1442,42.73,0.1083,1809,423,0,0
GEN-500470,Control,B02,91.85,2151752,14636,0.0439,0.1191,45.38,0.3477,1767,55,0,0
GEN-500808,Control,B02,102.33,2405267,11365,0.0115,0.1159,48.77,0.1769,1816,170,0,0
GEN-502608,Control,B01,133.25,2250001,17344,0.0175,0.1372,47.53,0.078,2540,-68,0,1
GEN-507225,TreatmentB,B03,81.07,1453095,19355,0.0075,0.1324,45.22,0.2471,1380,1067,1,1
GEN-500834,TreatmentA,B02,95.25,1782823,14392,0.0633,0.219,44.25,0.1959,1600,867,1,1
GEN-505509,TreatmentA,B01,91.67,3547300,14023,0.0275,0.1595,45.8,0.0965,2878,342,0,1
GEN-500717,TreatmentB,B02,112.73,1300975,12651,0.0623,0.152,44.77,0.0554,1939,918,0,0
GEN-502133,TreatmentB,B01,103.36,974733,13006,0.0403,0.1167,47.8,0.0772,2304,796,1,1
GEN-504907,Control,B01,91.38,682124,14204,0.0179,0.1759,48.14,0.3287,2380,862,1,0
GEN-507890,TreatmentB,B03,102.47,544320,19690,0.0084,0.1073,44.74,0.2907,2316,438,1,1
GEN-506766,Control,B01,119.53,1108236,15715,0.0256,0.175,48.23,0.1045,877,212,1,1
GEN-508635,Control,B03,98.04,2603824,12520,0.0938,0.086,44.27,0.1903,1807,509,0,0
GEN-509972,TreatmentB,B01,114.78,956613,15524,0.0285,0.1526,49.58,0.1499,2044,739,1,1
GEN-507223,TreatmentB,B01,105.58,2088159,15650,0.1022,0.2626,50.43,0.3366,1103,478,0,1
GEN-500579,TreatmentB,B01,104.02,1135454,16341,0.0407,0.3342,48.71,0.1411,2432,876,1,0
GEN-501794,TreatmentA,B01,106.91,455841,18469,0.0276,0.1112,43.56,0.4615,696,265,1,0
GEN-502282,TreatmentB,B02,107.27,497350,18265,0.0364,0.1612,50.08,0.2162,2030,723,1,0
GEN-501028,TreatmentA,B02,92.2,1397466,16884,0.0332,0.2593,47.48,0.2205,1562,172,1,1
GEN-503824,TreatmentA,B03,72.0,889125,16869,0.0178,0.1022,46.29,0.0839,1042,835,1,1
GEN-502660,TreatmentA,B01,104.23,2202391,17965,0.0109,0.0523,46.24,0.095,1163,348,1,1
GEN-506684,TreatmentB,B01,94.3,1841327,16252,0.0085,0.1414,44.23,0.2109,1257,785,1,0
GEN-501402,TreatmentA,B03,94.11,2014331,15378,0.0489,0.1057,47.65,0.4025,1760,670,1,0
GEN-502251,TreatmentB,B02,108.29,464100,15640,0.023,0.0866,47.45,0.135,1345,987,1,1
GEN-502025,TreatmentB,B01,69.99,1555695,16519,0.0331,0.0911,43.39,0.2442,1246,785,1,0
GEN-504766,Control,B03,96.28,801989,11721,0.1131,0.2484,49.06,0.3049,1538,328,0,1
GEN-507034,TreatmentB,B02,92.66,887209,16387,0.05,0.2464,45.71,0.2525,1313,892,1,1
GEN-507240,TreatmentB,B01,84.65,1461085,15709,0.0276,0.1137,45.15,0.264,1980,1354,1,1
GEN-505541,TreatmentA,B01,79.69,1938312,17025,0.0511,0.2356,45.81,0.1171,1413,536,1,0
GEN-509340,Control,B03,69.6,2506418,13541,0.0233,0.2578,45.06,0.1176,1071,60,0,1
GEN-504711,TreatmentA,B02,104.85,2177107,16757,0.0878,0.1494,46.47,0.0998,1605,833,1,1
GEN-501992,Control,B01,104.27,846562,14062,0.0123,0.1302,45.15,0.2645,1246,679,1,1
GEN-506877,TreatmentB,B02,122.16,1152377,13636,0.0571,0.1153,48.2,0.2437,1614,989,1,0
GEN-504843,Control,B02,111.1,2086564,11711,0.0166,0.1653,47.34,0.2085,2328,736,0,1
GEN-500958,TreatmentB,B02,97.25,1174521,15330,0.0038,0.1765,45.67,0.0674,1237,903,0,0
GEN-502911,TreatmentB,B01,82.44,1648700,14940,0.023,0.0526,46.46,0.0662,2030,866,1,1
GEN-504788,TreatmentA,B02,105.13,1329884,14253,0.0182,0.1295,47.07,0.2302,1687,604,0,0
GEN-502998,TreatmentB,B02,90.23,853373,14837,0.0388,0.1725,45.78,0.3491,2108,592,0,1
GEN-508602,TreatmentB,B02,112.67,1493195,17405,0.04,0.0737,48.12,0.158,2394,623,1,1
GEN-507638,TreatmentB,B01,120.79,2355707,15767,0.0382,0.0381,44.96,0.2429,814,1005,1,0
GEN-509086,Control,B02,109.23,760231,9327,0.0822,0.0544,46.9,0.3179,1929,-4,0,0
GEN-502622,Control,B02,93.65,1124734,18600,0.0073,0.123,44.57,0.0181,1429,172,1,1
GEN-502953,TreatmentA,B01,106.15,1405300,18567,0.1386,0.2435,46.74,0.3091,1301,255,0,1
GEN-507456,Control,B03,101.05,3060092,11075,0.0604,0.1078,49.94,0.2585,2465,104,0,0
GEN-500938,TreatmentA,B03,88.46,1731328,16615,0.0205,0.1171,49.61,0.111,2533,439,1,0
GEN-502245,TreatmentB,B01,88.35,1493320,17659,0.0622,0.1691,49.34,0.27,2690,557,1,0
GEN-501166,TreatmentA,B02,97.56,2256450,19105,0.0549,0.1135,48.61,0.1525,2589,139,0,0
GEN-501761,Control,B01,99.42,1148330,14655,0.0501,0.1458,48.27,0.1838,1740,1020,1,1
GEN-501962,TreatmentA,B02,66.41,2343341,16313,0.1,0.1406,47.6,0.0993,1198,1217,1,1
GEN-508152,Control,B02,81.0,1414112,15657,0.1251,0.0693,47.16,0.1132,930,98,0,1
GEN-506231,Control,B03,79.34,414464,11176,0.0505,0.1531,49.92,0.3009,1438,286,0,0
GEN-508000,TreatmentB,B03,90.78,2029948,16653,0.0224,0.1883,46.65,0.0614,1317,580,1,0
GEN-503307,TreatmentA,B02,90.04,2020425,16346,0.0351,0.153,48.18,0.1263,1531,414,1,1
GEN-500546,TreatmentA,B03,96.3,999600,17220,0.0137,0.0418,43.68,0.1093,1594,353,1,1
GEN-504707,TreatmentB,B01,110.33,673439,12941,0.0392,0.0749,45.95,0.2558,2008,732,0,0
GEN-507237,Control,B01,101.93,3094108,16634,0.0553,0.1365,46.04,0.0991,2131,344,0,1
GEN-502239,TreatmentA,B03,103.85,2878188,9836,0.0258,0.1164,44.49,0.2353,833,151,0,0
GEN-508218,TreatmentA,B03,117.76,1738473,12597,0.0704,0.176,48.95,0.0996,2153,522,0,0
GEN-508221,TreatmentB,B03,120.33,2183580,13718,0.0085,0.1792,45.89,0.2422,1028,1978,1,1
GEN-506863,TreatmentB,B01,111.47,1156473,12665,0.049,0.2229,45.18,0.2482,2692,826,0,1
GEN-503976,TreatmentA,B02,102.61,1253336,12656,0.0064,0.1436,47.79,0.1981,1347,415,0,0
GEN-502225,TreatmentB,B03,85.5,1897003,20481,0.112,0.2066,47.44,0.1554,1431,703,1,0
GEN-501437,TreatmentB,B03,83.69,1274378,17074,0.0321,0.0923,48.64,0.0853,3376,1499,1,1
GEN-504677,TreatmentA,B01,87.33,222921,16703,0.0561,0.1091,45.25,0.2068,2138,221,1,1
GEN-509526,TreatmentA,B01,124.53,1493548,16565,0.0277,0.0763,47.45,0.0951,3516,662,1,1
GEN-500281,Control,B02,79.37,1614787,16517,0.1339,0.1561,49.61,0.0904,2367,364,0,0
GEN-506898,Control,B02,95.67,2683344,11133,0.0651,0.1408,44.65,0.0595,1552,324,0,0
GEN-505518,TreatmentA,B01,96.88,1630768,18783,0.1015,0.1057,44.37,0.2821,1308,379,0,0
GEN-501804,TreatmentA,B02,94.98,377900,13607,0.0586,0.1066,47.7,0.3741,1676,504,1,0
GEN-504263,TreatmentA,B01,96.39,675330,13159,0.1386,0.1563,49.71,0.3343,1467,292,0,0
GEN-506340,TreatmentA,B02,93.62,2488306,13072,0.1135,0.1814,46.92,0.357,2484,996,1,1
GEN-509036,Control,B01,80.44,4192949,14921,0.1005,0.1763,43.19,0.1955,2048,1086,1,0
GEN-509702,TreatmentA,B02,101.81,2574658,15982,0.0094,0.1093,49.57,0.1281,2944,1084,0,0
GEN-502413,TreatmentA,B01,114.45,559419,12487,0.0776,0.1376,49.63,0.1197,2567,532,0,0
GEN-502758,Control,B02,131.28,4255963,11680,0.1176,0.0418,48.11,0.3593,1149,512,0,0
GEN-501389,TreatmentA,B01,136.69,1493908,13959,0.0094,0.2547,42.89,0.238,1674,347,0,0
GEN-506325,TreatmentB,B02,86.24,455609,14213,0.0947,0.1504,44.58,0.2123,1427,629,0,0
GEN-501325,TreatmentA,B02,86.06,1043600,16426,0.0187,0.1199,48.1,0.1669,1891,207,0,1
GEN-507458,TreatmentB,B03,114.52,1894360,15058,0.0424,0.0789,43.56,0.3007,3034,773,1,0
