role,s01,s02,s03,s04,s05,s06,s07,s08,s09,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30
soldier,3,4,3,9,4,7,8,2,6,7,8,12,5,6,6,9,3,8,11,7,6,4,7,3,10,5,11,5,6,6
breeder,6,1,2,4,2,2,7,6,5,3,4,2,2,5,1,2,5,3,4,4,6,3,2,0,1,1,6,4,5,7
worker,7,13,19,16,17,18,24,14,15,15,14,15,12,16,12,21,20,9,4,15,13,15,17,16,10,12,15,23,16,18
breeder,3,11,10,10,9,5,8,7,6,7,8,5,4,7,8,7,10,8,5,9,10,7,8,7,11,9,7,13,15,3
soldier,18,16,9,11,9,15,18,15,9,11,12,12,13,9,14,17,14,10,12,16,12,16,8,13,10,17,21,12,20,16
worker,17,12,12,22,16,17,15,15,14,13,19,23,22,20,20,23,22,19,18,24,11,11,18,18,14,10,16,17,30,14
soldier,8,9,17,8,11,18,15,11,10,7,11,13,5,10,14,8,15,10,18,12,7,7,7,10,6,12,18,7,15,13
worker,23,18,18,27,21,18,31,20,16,39,19,20,20,23,22,24,12,18,18,16,27,12,16,18,27,25,19,14,27,17
soldier,7,10,25,12,11,9,14,13,13,13,8,15,11,10,13,15,10,9,11,16,15,10,13,16,22,12,6,24,16,17
worker,25,17,19,20,28,26,22,23,23,24,9,21,17,24,31,18,42,26,21,30,24,23,18,36,17,18,12,23,24,27
breeder,7,5,2,3,10,7,5,6,4,6,7,7,6,2,5,7,14,8,6,4,6,4,4,6,2,10,7,5,4,4
soldier,11,5,9,4,6,6,6,3,2,10,7,14,6,8,5,3,5,9,14,14,9,11,11,10,9,10,9,11,5,8
worker,22,18,20,14,22,15,26,13,11,14,19,20,12,9,19,17,18,21,21,19,16,23,22,15,16,15,26,19,21,23
breeder,7,2,5,3,2,7,4,3,4,4,7,5,7,6,5,2,1,10,10,5,4,6,5,3,5,3,7,5,7,5
breeder,6,6,10,10,10,10,11,5,10,13,4,5,6,10,6,6,12,12,11,4,7,8,6,8,9,9,4,7,9,9
worker,23,28,34,29,36,37,40,20,34,37,28,34,29,30,31,38,52,36,36,31,34,35,34,34,38,41,50,40,35,36
breeder,3,3,5,6,2,5,5,5,3,3,2,2,4,6,7,4,7,4,6,3,2,7,3,10,4,3,9,11,8,2
soldier,6,13,10,6,4,9,13,11,15,19,12,15,9,10,12,15,17,6,14,9,11,16,10,11,17,9,20,8,16,10
soldier,9,8,8,19,13,15,7,15,9,9,11,7,4,11,10,11,11,9,5,10,5,8,8,15,8,8,15,11,12,7
soldier,13,17,20,17,14,16,20,14,17,26,18,17,20,7,15,12,20,13,18,18,11,14,17,6,15,17,10,15,13,10
worker,24,23,25,21,22,32,33,25,21,28,24,25,18,21,33,16,26,19,28,23,23,24,29,34,21,26,17,27,30,23
worker,13,16,12,7,13,12,14,13,24,12,12,20,15,12,13,17,12,17,8,15,8,12,17,16,10,17,12,16,10,7
worker,19,22,13,19,12,27,21,14,24,20,25,28,16,19,20,27,34,22,20,30,18,21,22,23,28,14,27,19,25,27
worker,37,25,25,29,35,34,45,32,32,33,32,45,22,37,30,38,27,37,32,39,30,35,40,35,36,29,25,40,42,34
breeder,8,2,3,6,2,3,10,4,6,3,3,4,4,4,1,1,4,10,6,8,1,6,2,9,5,10,7,5,5,5
soldier,17,18,11,14,14,20,23,20,12,7,13,20,16,17,15,16,18,16,20,13,9,15,12,20,14,13,9,14,25,12
soldier,21,18,13,20,18,26,25,19,17,22,19,25,21,20,18,12,23,16,28,15,21,20,24,23,18,17,21,18,24,21
breeder,4,5,6,5,3,2,4,4,3,4,5,3,2,2,2,7,8,6,4,2,2,0,1,2,4,1,7,9,1,3
worker,16,12,11,10,20,16,12,11,16,13,7,18,14,9,15,6,15,13,9,18,9,11,17,14,13,13,16,20,11,15
breeder,10,8,9,9,7,8,8,5,9,3,5,11,4,8,7,8,4,2,3,7,6,6,6,9,4,7,6,7,10,5
soldier,21,14,20,17,16,19,24,16,20,28,7,27,10,24,25,16,32,11,25,23,20,18,22,24,17,20,29,24,18,18
breeder,2,3,6,3,4,8,6,5,1,4,1,7,5,7,4,9,4,4,5,7,5,2,8,5,1,3,6,8,4,5
soldier,7,11,15,5,6,12,17,7,12,8,8,12,9,12,6,4,13,8,8,6,8,9,10,9,10,6,4,5,8,9
worker,16,14,16,19,23,14,19,15,24,16,13,26,12,13,21,14,20,16,19,23,20,14,17,26,14,12,19,18,19,11
worker,10,16,13,20,12,18,13,14,13,14,11,19,12,15,15,11,14,7,16,16,8,21,19,11,8,16,21,11,20,15
soldier,17,21,25,14,15,17,14,17,16,16,14,25,14,29,14,17,18,11,13,27,16,20,17,17,17,12,14,20,11,16
soldier,15,8,10,14,5,15,11,7,6,12,12,24,14,9,15,6,13,14,12,13,8,5,12,15,9,11,8,22,17,16
worker,20,14,22,22,17,22,23,16,23,24,17,27,21,18,17,20,29,21,14,20,19,16,24,19,22,15,20,15,16,15
worker,36,42,40,32,42,40,49,29,37,36,34,51,29,36,38,30,48,43,38,47,38,25,40,56,43,33,35,40,45,39
soldier,18,10,18,11,13,12,13,11,9,15,14,9,6,20,9,6,19,9,7,9,10,15,16,18,7,6,10,13,10,20
worker,39,36,28,36,30,44,42,31,28,36,27,38,32,42,43,27,38,33,37,38,34,31,27,49,39,40,30,34,35,42
worker,12,13,16,18,16,23,24,17,22,20,22,32,13,17,14,12,13,12,29,22,22,10,24,15,17,12,31,14,14,14
soldier,8,11,10,6,10,17,9,12,12,6,7,10,14,8,11,11,15,4,9,6,11,10,8,11,10,4,7,12,13,9
worker,42,44,54,42,49,71,59,48,52,51,35,55,56,40,50,45,59,56,51,48,46,42,59,53,49,59,57,62,59,52
soldier,20,20,14,11,11,18,28,17,16,15,18,18,17,18,19,14,17,14,19,18,16,16,18,22,20,17,13,22,16,9
breeder,1,4,5,4,5,3,10,5,7,3,3,2,6,5,5,6,5,7,5,4,4,1,2,10,5,4,5,5,9,4
worker,13,14,17,23,24,22,25,16,15,21,18,26,18,16,23,28,30,15,17,16,19,20,24,21,27,17,16,11,28,20
breeder,5,3,2,4,6,6,5,5,1,3,6,4,4,8,4,2,7,6,7,9,4,4,2,4,4,2,8,4,5,5
breeder,6,7,6,9,5,2,9,5,7,9,5,6,3,4,5,5,7,5,8,5,5,9,6,7,9,5,6,8,3,6
worker,18,15,19,21,12,22,23,15,25,21,12,19,20,16,18,12,32,25,23,16,11,12,21,17,18,13,22,15,19,28
worker,25,34,24,34,31,30,41,25,38,28,19,35,16,18,37,21,41,33,33,27,25,16,31,23,31,28,34,24,31,29
breeder,3,4,5,2,2,6,2,5,3,4,3,5,2,4,1,4,8,3,5,3,3,4,5,4,5,2,5,2,6,2
worker,67,54,53,55,54,61,60,52,41,48,42,46,34,57,65,48,51,44,56,58,56,50,57,68,47,55,47,60,55,65
breeder,4,5,5,8,4,7,7,7,5,5,6,5,6,3,3,9,7,2,5,5,5,7,3,7,5,4,4,6,6,2
worker,7,15,7,9,10,10,13,10,12,9,11,11,6,12,20,13,16,5,9,15,12,19,11,18,12,11,6,7,18,6
soldier,11,14,17,17,9,13,10,4,8,13,5,11,12,8,14,8,10,14,15,10,5,8,13,13,13,10,9,8,18,13
worker,26,30,28,34,30,41,34,29,37,34,30,48,26,40,29,25,30,32,28,28,23,25,37,34,24,35,32,31,29,30
worker,17,27,18,14,26,21,30,20,18,34,20,31,22,18,20,15,23,19,30,17,13,22,24,21,18,22,25,20,24,23
worker,15,12,15,16,20,21,20,18,21,11,12,20,15,23,19,19,19,14,11,14,13,8,24,22,14,19,18,26,16,17
worker,26,29,27,29,31,26,32,29,28,29,39,35,25,22,22,33,36,38,21,25,23,27,40,31,29,29,31,33,30,29
worker,14,6,17,9,15,17,14,17,9,20,24,12,13,16,18,17,20,16,10,15,15,24,17,30,20,22,18,19,22,18
breeder,4,6,8,6,7,3,5,6,7,5,6,8,8,8,10,5,9,1,5,5,8,8,4,7,10,4,8,8,7,3
worker,13,25,25,8,21,32,20,19,29,23,18,33,20,29,27,13,35,23,21,18,17,21,26,26,20,27,18,15,28,24
soldier,14,24,21,30,14,17,16,10,8,17,10,23,14,19,11,20,21,17,19,13,17,17,19,22,23,19,17,21,25,18
breeder,5,5,7,8,8,9,8,7,4,7,2,8,5,7,9,7,5,3,5,6,6,5,7,4,4,12,4,5,5,0
worker,17,13,19,14,20,14,17,20,15,19,18,23,18,29,22,16,25,16,19,17,13,13,20,22,12,13,23,14,23,22
soldier,5,9,10,7,8,11,9,9,10,12,7,9,7,6,13,7,11,10,16,9,7,6,13,13,12,10,11,10,5,9
breeder,7,9,6,10,6,5,10,6,8,10,6,14,8,8,5,8,10,4,6,5,10,9,3,6,4,8,5,8,7,10
soldier,16,16,22,18,17,21,23,11,20,14,13,21,13,15,16,12,13,22,12,13,14,11,18,10,9,19,14,16,20,9
worker,25,32,29,23,14,17,33,23,25,24,23,28,17,23,23,16,22,24,11,24,24,17,23,32,18,17,22,30,19,24
worker,34,28,28,14,24,32,30,29,28,25,32,43,24,36,27,26,40,29,28,26,33,39,36,29,38,16,28,24,29,32
worker,18,20,16,25,22,24,26,18,9,26,13,24,15,19,25,18,28,19,21,15,15,20,25,28,25,22,24,17,17,21
worker,17,12,20,26,19,29,26,19,21,16,16,27,21,14,20,19,23,23,24,20,23,15,32,34,12,25,25,36,13,20
breeder,1,5,4,3,6,7,5,7,1,2,2,4,4,3,4,10,3,6,5,5,2,3,5,10,7,7,6,5,6,6
breeder,6,5,15,7,7,12,7,8,10,10,12,7,5,10,7,14,12,10,6,15,5,9,8,15,7,9,12,10,3,9
breeder,6,3,10,6,2,9,14,7,8,4,7,5,6,5,7,5,6,5,6,7,7,6,12,6,9,5,8,7,4,5
soldier,23,30,14,21,17,19,21,20,14,19,16,25,19,16,17,21,26,18,19,19,22,19,11,26,28,16,20,17,16,24
breeder,5,6,8,5,10,5,8,9,10,11,4,8,2,8,6,15,6,4,6,11,8,6,8,11,8,5,1,5,4,6
breeder,4,3,6,7,6,7,4,2,8,3,8,8,3,3,2,8,5,1,3,4,1,4,8,2,4,3,4,4,7,3
worker,43,24,32,24,42,37,45,25,37,35,32,42,43,37,28,39,45,27,32,30,34,31,33,42,33,39,47,33,38,37
worker,34,51,35,36,42,55,45,43,29,35,36,48,41,25,37,39,39,35,33,40,34,44,43,42,39,39,42,28,36,29
worker,60,57,47,46,52,57,56,54,54,49,54,54,49,54,48,55,69,62,66,54,45,59,53,67,62,50,69,43,61,48
soldier,8,11,15,10,10,10,12,11,7,11,5,8,7,9,11,13,10,10,3,6,5,7,11,13,12,9,15,11,10,9
worker,21,18,19,7,15,16,8,12,10,19,14,19,11,13,15,8,20,24,15,16,10,16,14,25,14,13,15,24,14,18
soldier,17,18,14,17,19,19,23,14,15,15,11,20,19,22,20,23,21,19,18,19,13,21,18,19,14,17,18,18,17,14
soldier,8,4,8,6,6,7,7,7,5,10,7,11,5,13,5,4,14,5,10,10,9,5,13,15,13,7,5,12,3,7
soldier,4,8,5,10,7,7,16,9,7,3,7,7,11,4,5,5,8,8,3,9,6,7,8,13,9,7,7,5,6,7
soldier,20,20,19,19,20,28,20,21,21,29,19,25,18,23,33,10,27,28,22,24,15,21,24,22,19,19,32,19,26,23
worker,27,35,24,28,22,27,15,24,18,22,32,24,29,29,29,26,30,28,20,20,26,20,22,31,19,25,24,25,34,16
worker,24,30,33,22,27,29,37,26,31,38,27,37,26,33,29,31,29,34,24,21,31,24,26,31,27,24,21,31,26,40
soldier,20,25,14,16,16,25,24,19,21,18,14,20,21,23,16,12,23,17,18,23,17,11,18,13,18,14,16,21,23,17
worker,27,34,37,33,33,25,50,27,31,29,22,30,26,35,43,35,28,33,29,33,32,25,37,29,29,32,34,28,35,21
breeder,3,4,5,7,5,5,4,3,7,3,4,6,2,3,6,5,2,4,3,6,6,2,2,4,7,6,9,2,3,4
breeder,9,6,9,11,6,6,7,15,6,8,11,15,7,7,10,9,8,6,9,9,8,3,14,8,8,15,14,9,9,9
worker,8,14,17,18,10,15,14,16,19,16,12,15,26,16,16,15,14,11,14,11,19,22,10,16,14,9,16,20,15,10
soldier,11,11,19,9,11,15,17,9,19,8,9,18,16,11,13,23,20,15,11,13,10,10,15,12,17,12,16,15,16,13
worker,12,25,12,6,16,19,20,14,17,12,19,14,19,15,25,19,9,19,19,9,15,13,13,18,11,5,19,16,15,13
soldier,14,12,6,14,15,8,8,10,15,10,14,15,12,14,21,14,13,10,15,10,9,16,16,13,12,12,14,15,14,22
breeder,2,4,3,3,2,3,4,4,6,7,1,1,2,2,5,5,4,5,6,2,4,5,6,5,2,4,5,3,4,6
worker,43,40,31,46,38,40,41,35,37,33,32,40,33,34,40,32,50,32,36,35,26,42,58,47,39,34,60,39,46,48
soldier,20,20,11,16,19,15,34,17,17,21,20,24,18,18,23,11,17,18,14,19,14,16,18,30,23,19,22,18,18,16
soldier,13,11,14,15,6,10,16,6,10,4,8,10,8,13,12,6,15,9,13,7,9,13,9,12,11,9,13,11,15,12
soldier,7,9,10,14,10,12,10,9,11,6,10,12,10,8,8,10,13,5,14,10,16,12,10,9,15,8,14,7,14,11
breeder,5,2,7,5,8,4,10,4,2,3,1,2,6,6,6,7,6,7,3,4,7,2,2,4,5,3,5,5,3,10
soldier,14,17,15,20,20,13,20,14,25,21,20,25,20,21,22,17,23,24,31,23,21,21,12,14,26,20,20,16,27,20
breeder,2,4,7,4,4,1,3,4,2,3,0,7,4,4,6,4,4,7,7,3,3,4,6,3,6,1,2,4,2,4
soldier,13,11,7,12,9,11,6,8,9,8,10,12,5,5,13,8,10,5,8,3,4,8,9,11,6,12,7,10,9,9
soldier,2,7,4,9,2,6,6,2,4,5,4,4,3,4,3,6,7,4,4,9,6,7,3,5,6,9,5,7,2,4
breeder,4,6,4,6,5,10,9,3,6,4,6,5,6,7,9,6,8,7,6,9,4,4,9,3,0,5,3,6,3,6
worker,31,21,40,25,28,28,39,33,28,27,22,27,23,20,29,21,41,26,23,23,27,29,28,43,28,25,27,21,21,31
worker,10,23,16,16,22,21,23,15,13,19,13,13,7,17,16,22,15,22,16,18,21,20,15,24,20,22,24,21,24,14
soldier,22,18,13,13,14,18,14,19,15,15,17,22,16,7,25,17,15,14,12,16,10,16,14,27,21,12,18,12,21,18
worker,10,16,19,18,13,21,21,13,12,23,13,16,17,9,17,15,25,14,21,12,14,13,18,23,14,9,13,13,19,10
breeder,3,5,6,6,2,3,4,8,5,5,6,6,6,1,1,3,6,7,7,4,6,1,7,3,6,9,6,7,9,9
breeder,0,3,2,4,2,1,3,0,2,2,2,1,3,3,2,1,3,4,3,3,2,3,3,1,3,5,0,1,5,5
soldier,17,19,17,14,13,14,20,18,20,14,16,21,17,12,15,18,18,14,23,23,15,14,16,14,13,18,19,15,19,16
breeder,7,4,5,5,6,2,7,3,7,7,11,7,3,3,2,6,6,5,6,14,7,8,4,6,7,5,7,9,7,2
worker,25,20,20,19,34,26,23,21,21,21,5,23,14,25,15,16,19,22,20,27,21,15,18,21,20,25,28,18,22,26
soldier,8,6,6,11,7,8,6,10,11,4,4,9,7,12,5,6,10,15,9,14,8,8,9,8,11,5,16,13,8,17
breeder,6,7,12,7,2,8,4,10,3,9,9,6,5,10,6,6,9,3,3,3,6,8,3,7,6,7,3,4,6,4
soldier,15,5,12,16,18,14,8,8,14,18,7,16,9,12,14,12,17,16,12,16,11,14,9,19,17,11,11,12,13,10
soldier,3,10,1,7,7,6,4,6,6,10,9,13,8,10,14,4,11,8,7,4,4,5,6,9,9,2,6,7,6,5
soldier,10,6,8,17,17,11,24,8,14,13,7,23,14,9,24,16,14,12,13,12,8,15,17,20,14,15,12,16,20,18
worker,29,37,31,19,25,31,39,29,36,31,23,35,20,24,25,27,31,34,29,28,34,30,29,30,30,29,34,30,29,26
soldier,8,8,10,8,5,9,8,13,4,2,6,10,10,6,11,4,5,6,3,7,9,8,8,6,8,5,5,5,9,7
breeder,4,7,4,2,2,1,2,8,1,2,2,4,0,1,6,4,8,5,5,2,3,4,5,5,3,2,4,7,1,3
worker,6,8,4,9,8,12,15,9,9,12,7,8,7,6,9,7,8,13,6,10,11,5,7,7,7,7,14,12,11,10
soldier,19,11,18,18,11,24,18,14,12,11,19,18,16,17,17,13,13,15,13,18,9,18,10,17,12,12,14,15,12,9
breeder,5,5,11,4,1,9,4,5,7,6,6,3,7,5,5,6,4,4,5,5,5,4,6,6,1,8,3,9,9,4
soldier,15,23,15,12,17,20,25,20,8,22,16,21,16,15,12,13,13,19,18,16,17,19,17,19,20,23,18,12,20,16
breeder,4,4,4,1,7,5,10,4,4,6,4,4,4,9,2,8,6,6,3,4,5,1,3,12,6,5,3,3,3,5
soldier,17,25,8,18,18,12,22,16,21,16,13,16,16,16,22,18,21,23,20,14,15,19,20,14,17,15,17,20,18,17
soldier,6,10,4,9,4,12,13,11,7,4,4,6,4,6,4,5,6,11,13,12,6,2,6,11,6,2,7,5,4,3
soldier,20,31,25,30,22,45,44,17,26,26,19,27,22,19,27,26,25,19,22,39,18,18,15,29,24,31,33,27,32,20
soldier,6,11,10,9,10,10,7,9,12,6,3,14,9,9,7,12,9,12,18,10,11,7,5,13,9,6,5,4,11,7
soldier,29,31,30,25,21,32,44,23,23,26,21,39,25,31,37,29,30,25,22,30,34,33,38,32,38,25,33,32,33,24
breeder,13,9,12,7,12,14,18,10,16,9,16,14,10,6,15,13,7,12,21,13,16,8,18,12,16,7,9,8,12,9
soldier,13,16,16,22,20,21,22,7,10,14,9,23,19,11,14,18,19,14,16,16,7,15,25,11,13,10,17,16,23,19
breeder,3,8,4,6,14,6,13,10,6,10,9,11,6,6,7,4,15,11,8,10,6,8,13,6,10,9,10,4,5,8
breeder,6,8,6,5,7,10,9,8,5,9,12,11,8,8,10,7,8,8,6,12,7,7,10,7,8,8,10,8,18,10
worker,29,30,25,26,29,22,22,28,24,28,21,38,20,27,26,36,39,26,34,27,25,31,29,30,25,32,36,34,20,30
breeder,10,5,8,6,3,9,14,9,6,2,7,3,5,6,9,4,8,6,9,3,6,12,10,5,7,9,10,11,16,5
breeder,6,5,5,6,5,8,10,11,7,6,7,7,5,3,3,4,8,3,6,8,6,2,9,7,1,5,9,3,4,6
worker,31,29,41,40,23,37,48,27,30,30,26,42,26,34,35,36,33,29,46,34,33,37,37,40,31,33,36,27,49,35
breeder,5,2,1,6,2,4,2,9,6,6,3,5,5,3,4,5,6,5,6,4,4,1,6,3,2,7,9,3,7,5
breeder,7,4,8,2,5,6,2,11,6,3,4,2,5,9,4,5,3,6,4,9,4,3,6,5,6,6,5,1,6,7
worker,10,8,10,16,5,11,13,12,10,9,14,27,16,10,14,7,14,10,10,8,12,8,11,8,21,11,17,9,12,13
breeder,6,12,9,5,5,3,7,10,8,5,4,11,8,8,8,8,4,7,5,8,5,6,9,6,4,4,8,7,2,9
soldier,15,17,25,21,17,15,20,17,17,15,14,25,16,18,13,12,14,15,26,21,15,12,16,28,16,13,31,18,17,24
worker,29,44,29,46,39,47,39,35,28,37,31,24,39,42,54,38,48,33,41,35,42,31,36,44,35,37,44,40,41,37
breeder,3,5,6,5,6,4,7,5,8,3,5,6,3,5,5,6,7,3,4,9,6,3,7,7,7,10,8,10,4,13
breeder,2,6,4,4,3,2,0,3,12,3,2,5,6,4,4,1,6,1,4,3,3,3,3,4,3,4,4,4,4,0
worker,28,22,21,31,32,27,37,30,22,30,30,46,26,24,29,21,43,34,31,29,30,31,41,42,27,29,31,38,36,37
soldier,19,18,19,16,17,20,27,13,12,21,15,28,9,11,20,14,22,6,20,14,13,17,13,19,14,22,18,15,17,7
breeder,6,5,6,4,6,5,4,5,2,6,4,4,3,2,3,5,4,4,5,3,1,7,8,6,6,7,4,2,13,3
breeder,6,9,6,11,11,7,7,8,5,4,5,7,4,8,4,7,4,7,7,5,8,7,3,6,6,4,9,6,7,3
breeder,11,11,2,4,7,4,6,2,7,10,5,6,6,6,4,2,3,4,3,6,3,3,8,5,0,4,4,9,6,6
soldier,7,9,12,8,10,11,10,13,12,9,5,13,6,10,8,7,13,8,9,8,6,8,12,7,12,7,8,8,4,10
soldier,9,11,13,9,13,10,7,13,14,9,6,9,2,19,8,6,11,15,13,7,8,11,10,11,19,15,8,13,15,12
worker,13,16,16,12,15,19,17,15,12,17,10,20,11,21,16,13,28,17,18,13,12,10,22,16,19,14,15,13,12,13
breeder,8,7,2,3,8,6,7,2,4,0,3,8,2,4,2,9,5,3,8,1,2,5,1,5,6,6,5,2,6,5
worker,32,42,42,50,35,44,28,39,42,39,28,43,30,30,35,28,41,36,43,34,42,17,29,38,44,46,26,25,36,30
soldier,20,18,21,14,17,24,19,20,16,11,19,24,6,10,16,11,16,17,15,18,14,8,12,22,24,11,15,19,18,24
soldier,13,15,11,21,9,13,20,10,7,8,16,17,15,18,9,17,26,11,18,17,15,19,12,16,21,15,13,14,18,21
soldier,6,15,17,10,15,15,18,13,10,14,18,15,6,14,8,23,11,10,10,16,14,16,7,13,11,17,12,13,16,10
worker,52,50,52,47,60,66,70,53,55,57,54,74,33,50,66,56,52,73,61,54,42,50,58,58,61,52,63,49,64,63
worker,31,27,25,33,26,47,32,20,33,45,33,41,32,30,42,32,44,28,41,27,36,28,35,40,44,32,45,36,32,39
breeder,3,1,3,4,3,5,5,4,4,2,4,5,1,3,1,3,6,5,3,4,3,6,3,4,3,3,6,3,3,6
worker,43,35,43,28,45,38,33,37,27,30,33,41,19,32,39,26,39,39,34,27,32,37,29,36,39,29,35,33,41,39
soldier,15,9,12,9,13,11,8,12,15,9,14,11,11,17,16,9,13,8,12,16,11,11,15,8,14,11,15,13,11,12
worker,20,18,15,18,20,23,35,18,18,16,13,31,29,18,28,20,23,20,27,22,25,19,26,28,24,23,32,27,24,32
worker,23,33,37,17,29,38,41,23,39,36,24,36,43,31,25,25,39,30,39,33,31,25,31,40,22,28,24,22,40,38
soldier,7,7,2,4,4,10,7,6,6,5,5,6,5,5,4,13,9,5,6,5,5,9,4,7,8,6,10,9,6,7
worker,19,28,33,31,30,33,35,28,20,31,29,27,20,20,33,29,29,41,30,35,24,26,34,33,35,26,37,28,27,30
worker,32,25,21,25,22,30,23,27,34,29,24,24,32,21,21,29,31,27,24,32,22,29,20,34,22,24,23,33,41,30
soldier,21,25,21,20,22,36,33,19,20,28,17,32,20,16,28,18,18,25,20,17,29,29,23,41,17,27,29,20,32,24
breeder,0,4,3,3,3,5,2,3,4,2,5,7,4,1,4,2,5,2,2,2,2,4,7,3,9,5,5,4,5,4
soldier,11,18,19,13,19,24,21,19,24,21,14,17,12,25,17,24,16,9,18,19,14,6,12,20,21,12,22,13,29,19
worker,16,9,20,13,22,25,16,17,22,14,24,22,13,20,17,18,21,24,22,19,13,17,22,18,20,11,26,26,19,17
soldier,11,11,12,11,13,13,19,12,7,15,14,13,7,11,10,12,13,8,12,14,5,18,7,16,14,12,9,8,6,8
soldier,7,15,19,11,9,16,11,16,14,12,14,12,15,14,15,19,17,11,12,21,18,13,12,15,14,10,11,13,22,13
worker,17,22,16,18,19,10,23,13,17,18,17,21,12,24,19,21,22,18,19,16,20,13,29,21,12,10,21,19,14,20
breeder,4,7,6,7,5,3,6,5,3,4,5,6,2,6,3,5,2,5,4,2,4,7,2,3,3,3,1,3,6,2
breeder,3,6,5,7,5,6,7,4,5,5,8,5,6,7,3,2,7,6,8,10,7,6,9,7,4,8,4,5,6,5
breeder,6,8,3,7,2,6,6,2,4,6,3,6,4,4,5,5,4,3,7,2,5,1,4,5,2,7,0,3,4,5
worker,18,15,14,30,25,27,27,12,26,33,18,26,17,19,14,23,20,24,26,12,19,10,13,20,16,18,21,14,21,14
worker,33,44,41,37,48,41,44,50,37,37,27,44,33,46,43,42,46,29,42,43,43,41,34,29,47,36,38,34,35,45
soldier,14,10,11,13,16,13,14,12,13,20,10,11,6,9,9,15,13,17,18,15,9,16,12,12,21,13,12,19,15,12
breeder,9,11,6,5,4,4,6,6,7,5,7,4,7,3,9,3,5,1,5,6,5,3,2,1,1,8,10,6,6,8
worker,22,35,30,23,32,43,32,26,36,32,32,37,36,39,35,30,39,42,30,31,22,38,42,41,32,35,37,41,44,31
breeder,7,4,4,8,3,8,7,4,6,2,4,4,7,4,6,4,4,2,5,4,2,3,6,3,5,6,5,3,10,5
breeder,4,7,6,7,4,5,4,0,4,8,3,9,9,5,7,1,13,5,5,6,8,6,4,6,5,5,7,8,6,7
worker,16,17,21,15,21,15,27,13,22,13,21,15,17,12,21,13,9,16,16,19,12,19,13,24,21,15,23,13,22,17
breeder,7,4,8,2,4,11,7,4,2,8,5,7,5,2,6,8,5,6,6,4,3,3,6,5,6,4,9,9,8,3
