role,s01,s02,s03,s04,s05,s06,s07,s08,s09,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30
breeder,2,6,5,11,3,6,6,4,2,8,7,6,4,4,7,2,3,5,5,7,6,7,4,8,4,3,6,4,6,10
worker,22,21,35,25,37,25,17,26,15,27,14,23,41,26,27,33,26,25,30,28,20,24,27,22,39,23,37,34,28,38
breeder,5,8,4,7,10,8,7,8,3,2,3,4,4,11,7,7,5,7,6,5,5,6,17,14,4,10,8,10,7,9
soldier,15,19,22,30,21,22,13,22,15,19,23,15,20,17,19,20,22,27,10,16,15,15,25,15,21,19,17,24,15,25
worker,30,33,28,35,33,31,26,41,25,33,27,38,33,24,31,39,30,18,25,26,30,24,28,30,25,24,32,40,35,26
worker,25,28,34,25,30,28,35,31,32,28,29,23,28,19,23,32,32,30,22,34,22,31,25,27,35,22,20,31,31,29
worker,26,22,29,29,35,21,39,29,28,17,20,30,26,20,22,22,32,24,27,17,35,32,22,29,22,17,23,31,26,26
breeder,9,6,6,11,6,7,12,11,2,9,7,3,6,5,5,7,7,7,8,9,7,6,6,8,4,10,7,8,5,6
soldier,15,13,16,18,16,11,14,9,12,12,13,10,12,15,12,9,17,20,15,14,16,6,20,23,16,18,19,27,13,25
worker,28,19,33,23,26,22,24,19,18,21,23,14,19,26,20,18,25,22,15,19,23,22,27,29,30,23,25,26,22,16
soldier,16,14,12,15,17,14,19,18,16,11,8,14,9,16,11,15,10,15,13,16,11,17,12,19,14,15,11,22,8,9
soldier,12,17,19,12,4,15,17,11,10,14,15,10,13,9,16,13,14,14,8,11,4,16,18,16,12,8,18,15,11,17
breeder,4,7,8,5,9,9,3,5,5,2,5,8,5,5,7,14,3,5,9,5,6,6,12,4,6,5,7,8,3,14
worker,24,20,31,21,33,26,43,24,23,35,17,25,27,21,28,24,33,22,22,29,31,24,27,37,21,32,41,32,34,33
breeder,6,7,9,6,4,4,7,3,9,8,7,9,8,2,8,3,8,10,5,7,13,3,4,8,8,7,7,10,8,12
soldier,18,11,17,11,18,19,10,12,11,17,13,14,19,11,14,16,12,10,15,12,23,9,13,21,10,20,11,17,13,15
breeder,4,4,7,8,6,7,6,2,8,4,6,4,4,6,6,8,6,5,7,3,8,1,6,5,6,5,4,6,7,6
soldier,9,8,24,16,18,12,21,24,20,25,25,19,17,16,23,16,20,25,18,13,19,21,22,18,15,22,20,18,14,19
soldier,8,16,20,14,14,22,15,13,19,9,12,14,14,17,14,15,12,11,11,16,14,12,12,13,11,15,9,11,13,17
breeder,7,7,11,2,5,2,8,10,9,9,7,5,7,4,4,5,7,5,3,6,12,2,9,4,4,2,6,8,7,6
breeder,9,10,12,6,9,2,9,8,5,8,14,13,3,6,5,4,10,10,10,5,5,5,9,6,7,8,7,3,5,6
worker,19,28,41,20,27,29,27,19,23,21,27,20,30,33,29,28,31,21,24,27,36,20,31,30,30,28,31,22,25,32
worker,28,27,26,23,36,37,43,30,34,30,28,21,25,27,33,40,32,40,31,27,38,34,31,34,22,38,30,31,36,21
breeder,6,4,7,7,6,4,6,4,2,1,8,5,5,4,8,4,4,5,3,5,5,2,3,7,3,3,5,6,6,7
breeder,7,4,3,5,2,4,6,5,7,7,7,4,4,3,7,5,7,6,5,4,5,6,9,7,2,8,5,8,8,10
soldier,19,14,24,23,19,16,18,13,18,14,14,23,20,15,16,15,16,19,11,20,19,23,16,15,13,17,22,21,13,15
worker,20,23,37,36,46,22,29,37,26,25,24,27,28,26,29,37,28,39,34,28,23,24,37,32,35,35,38,39,44,31
worker,32,36,42,38,34,37,30,30,35,35,37,32,29,30,29,26,26,36,35,28,41,38,37,48,33,46,24,43,29,42
breeder,4,5,6,8,4,8,10,9,4,5,11,6,8,7,11,4,4,5,5,5,10,8,5,9,4,9,7,10,9,5
worker,16,30,41,28,27,23,28,19,20,27,29,22,28,21,22,26,24,19,29,23,29,19,36,16,20,33,26,31,24,23
soldier,17,13,16,14,21,16,17,18,19,16,9,12,17,17,20,12,16,13,23,19,19,14,23,17,9,15,16,22,21,19
worker,21,26,35,33,31,21,30,24,25,24,27,27,29,28,24,19,31,31,23,35,19,28,33,29,26,23,30,33,34,25
worker,24,25,42,33,35,34,29,21,24,33,20,29,26,27,32,31,23,29,23,32,30,26,23,28,25,36,29,31,31,28
worker,21,9,30,28,35,28,28,17,25,30,27,19,33,28,22,28,25,28,14,28,23,28,36,29,21,31,24,27,30,20
soldier,19,11,19,25,20,17,17,16,15,19,16,21,20,17,20,17,17,14,13,18,13,10,15,21,11,11,17,14,16,23
worker,26,34,37,28,28,33,8,24,15,16,27,16,25,22,21,20,24,25,20,20,21,17,20,18,25,30,20,24,29,18
soldier,15,20,21,18,20,15,20,25,14,25,20,18,28,16,22,20,20,14,24,16,16,20,22,16,21,22,25,24,24,22
breeder,3,6,7,10,4,3,8,10,6,6,2,4,3,3,5,9,3,12,12,7,5,5,11,7,8,10,4,7,7,4
soldier,16,14,20,10,16,12,18,9,7,11,13,21,8,14,5,13,14,12,15,15,15,12,12,8,18,20,16,23,17,11
soldier,8,14,23,16,22,10,18,19,15,13,15,15,15,16,15,21,13,19,19,16,11,14,19,17,16,13,19,30,12,11
soldier,19,13,19,20,18,16,19,18,20,20,17,14,19,23,15,20,16,25,11,30,18,17,17,20,19,18,19,22,16,20
worker,29,18,35,21,24,26,30,33,22,26,16,29,17,22,19,35,30,22,27,33,26,17,40,33,16,21,40,29,30,24
soldier,18,27,21,21,20,18,24,18,17,15,21,20,15,19,15,17,17,19,18,24,15,17,16,10,18,15,28,14,19,11
soldier,12,14,19,16,14,11,10,15,16,15,13,18,12,10,18,18,16,18,13,13,10,18,17,15,15,18,16,18,13,24
worker,26,28,32,25,27,19,18,18,29,30,35,25,23,26,26,23,26,33,22,36,23,29,39,25,19,37,33,39,40,30
breeder,6,9,5,9,7,5,4,8,5,4,6,5,5,5,4,6,2,7,3,7,7,8,5,8,2,10,8,9,7,1
breeder,5,7,10,7,9,5,8,11,5,5,2,7,11,7,3,9,8,3,11,10,4,8,7,12,7,9,3,10,7,8
breeder,6,8,8,6,8,4,2,6,7,5,4,4,8,6,4,6,7,6,6,6,6,1,9,5,4,6,3,7,9,5
breeder,2,5,7,4,6,9,7,2,4,3,4,7,2,6,5,6,6,4,5,9,5,5,12,5,8,4,2,10,7,10
breeder,4,10,5,3,4,4,9,5,7,5,3,8,6,11,9,8,7,9,5,7,3,4,7,6,5,5,9,8,6,3
worker,32,30,33,42,38,40,38,22,28,37,36,30,29,32,36,32,26,46,34,21,34,22,35,32,27,35,39,35,40,40
soldier,24,16,20,17,26,13,16,13,16,24,19,15,21,27,20,22,19,30,26,33,23,16,22,17,17,22,25,24,21,21
worker,30,23,29,26,19,31,24,24,27,23,31,19,29,20,26,28,33,26,28,33,23,29,39,31,22,30,39,37,29,24
breeder,2,6,9,4,8,5,5,6,2,5,6,4,1,5,8,6,5,6,7,7,7,11,6,4,3,8,5,8,12,10
worker,23,30,21,29,29,21,29,30,17,22,26,23,27,22,27,26,28,20,21,19,18,25,18,31,18,30,40,20,19,20
breeder,8,8,7,6,9,11,3,7,6,6,4,6,5,6,5,14,9,7,5,4,8,14,7,3,8,11,3,9,6,9
soldier,15,11,17,13,14,10,19,18,8,12,16,20,21,11,18,16,16,15,12,22,11,12,14,20,12,13,11,19,17,23
worker,16,26,30,25,29,28,16,29,30,32,34,26,33,35,29,33,21,32,30,16,32,28,38,36,36,38,34,40,31,28
soldier,11,13,21,18,15,17,18,14,14,14,15,9,22,15,20,21,14,14,16,15,18,11,17,22,8,20,19,11,14,8
soldier,8,5,12,12,15,13,7,11,16,10,10,13,16,7,10,13,8,10,13,13,12,11,14,8,16,11,9,19,16,18
breeder,2,7,4,6,9,8,8,8,5,11,7,8,13,5,6,6,6,5,4,7,6,3,8,3,5,13,3,11,4,3
breeder,2,6,6,6,2,8,6,4,6,5,9,6,5,3,8,7,7,5,6,8,4,6,7,6,4,5,7,6,8,4
worker,34,25,36,28,25,31,24,20,18,37,30,38,29,24,44,35,26,38,24,30,30,37,33,36,24,32,38,31,37,30
soldier,20,14,13,21,22,11,19,15,11,12,13,9,13,14,14,20,20,17,17,9,20,16,16,17,13,11,14,24,17,17
soldier,12,10,25,15,16,12,12,10,20,15,19,16,20,8,18,14,19,22,21,21,16,15,21,12,21,16,18,24,14,11
worker,37,35,37,41,39,34,36,31,28,27,38,31,35,27,22,43,32,28,24,32,35,26,26,29,31,35,24,37,41,38
worker,21,21,24,29,16,27,34,16,27,26,30,25,21,14,27,26,23,33,20,33,26,17,26,23,27,22,27,27,23,22
breeder,4,7,9,5,5,10,5,7,2,6,9,2,5,3,8,5,11,8,3,4,5,6,8,4,2,14,6,4,4,7
soldier,13,16,16,18,20,15,15,18,10,7,12,14,18,11,14,10,13,18,11,7,18,17,14,12,4,26,20,25,20,11
soldier,8,8,17,11,16,16,16,11,20,20,13,19,21,12,13,13,11,13,21,11,8,12,13,20,11,15,16,17,13,15
breeder,5,5,7,3,5,7,5,1,5,3,10,10,9,8,5,8,9,9,11,3,6,6,6,7,5,9,11,12,6,2
soldier,7,14,14,11,15,21,19,18,15,11,20,17,16,12,10,12,19,11,12,10,15,12,17,21,21,17,13,15,15,23
breeder,9,6,11,9,7,5,8,2,6,10,6,10,4,5,7,6,6,3,5,3,9,5,7,10,5,6,10,8,4,11
breeder,7,0,6,6,10,4,8,4,6,8,10,5,8,6,4,7,3,5,4,4,12,2,4,8,5,6,9,6,7,7
soldier,14,16,18,12,13,13,11,19,14,16,15,14,16,12,16,22,19,6,10,22,22,10,18,11,17,18,26,14,11,11
soldier,12,21,25,23,14,22,14,16,15,15,20,17,18,19,14,13,10,17,22,15,11,19,17,11,22,16,22,19,10,21
soldier,13,15,20,18,17,16,22,17,21,24,15,19,25,16,11,22,21,17,17,12,18,18,19,17,15,20,18,26,20,21
worker,35,25,28,17,33,27,33,36,20,17,24,23,26,36,30,38,28,21,37,37,27,31,25,29,27,39,26,30,32,29
worker,18,18,20,16,23,28,28,18,23,18,11,23,16,21,21,34,13,25,19,24,26,17,18,21,19,20,28,29,28,20
worker,18,21,24,23,27,23,21,29,10,21,23,24,25,10,20,20,23,21,17,25,22,13,26,27,18,21,24,20,15,17
breeder,7,5,4,3,11,6,12,6,6,7,10,6,5,9,7,6,6,9,7,8,5,5,7,6,4,10,5,8,5,6
soldier,16,18,21,20,13,13,15,18,23,11,17,14,24,7,13,10,17,14,9,13,18,19,9,21,18,22,25,15,17,17
soldier,14,8,11,13,23,8,17,13,12,9,9,6,11,17,19,15,21,12,12,10,11,8,17,22,11,21,20,18,14,13
breeder,7,8,9,2,5,7,7,7,6,7,10,10,8,7,2,10,8,7,3,8,4,2,5,4,6,8,7,6,6,8
breeder,5,4,8,8,8,6,6,4,3,9,10,2,4,8,6,6,2,6,2,6,7,11,6,7,4,7,11,7,4,11
worker,27,21,26,28,27,17,27,27,24,25,25,21,24,19,24,33,27,22,29,21,25,29,24,25,20,26,17,24,27,22
soldier,12,12,18,13,17,10,13,8,18,20,17,9,11,13,14,9,11,10,12,13,14,12,11,6,10,17,11,19,23,10
worker,22,22,30,26,23,17,21,24,18,32,21,25,25,29,18,27,28,34,18,25,18,21,19,21,20,23,19,27,29,26
breeder,2,8,7,4,10,4,6,6,3,4,5,2,5,5,3,3,12,3,14,4,4,8,5,9,5,4,7,5,2,7
breeder,7,8,11,9,8,7,10,7,5,5,6,7,5,9,7,4,9,14,4,9,7,4,6,8,8,8,6,11,3,10
soldier,14,19,22,24,20,17,17,14,13,14,12,21,15,12,14,20,16,17,10,23,16,12,19,16,15,27,18,15,13,20
breeder,7,12,10,6,9,7,10,4,3,4,5,4,2,6,8,4,7,2,7,2,7,6,11,4,7,2,4,9,11,6
breeder,5,4,7,5,8,5,4,10,7,4,4,6,4,0,4,10,4,4,4,7,4,5,6,8,4,2,6,9,7,8
breeder,8,4,6,9,2,5,10,5,6,8,4,6,8,11,10,7,2,6,7,9,11,5,5,4,7,8,7,9,6,8
worker,27,31,35,31,41,19,37,33,26,29,41,24,40,32,26,44,34,24,27,28,28,27,34,25,25,43,36,33,37,27
soldier,14,9,18,23,20,15,10,19,14,14,15,15,20,16,14,15,11,7,21,16,17,12,20,14,11,18,16,13,13,19
soldier,8,16,22,15,17,10,21,15,11,15,18,10,13,19,14,10,19,7,13,21,21,14,25,17,10,17,16,20,14,12
soldier,17,13,22,12,11,12,15,8,8,14,9,16,9,16,7,23,12,18,9,14,13,8,9,16,11,11,7,24,24,12
soldier,14,10,20,20,24,16,13,10,16,8,9,19,10,18,23,28,20,18,19,16,24,14,15,20,18,28,18,16,15,20
soldier,16,15,26,17,22,18,16,15,14,21,16,14,13,14,15,15,10,9,19,27,17,15,11,15,10,17,15,19,18,13
soldier,13,11,15,14,20,14,15,11,8,7,9,5,16,8,15,14,13,8,10,5,12,10,21,19,6,16,18,14,16,17
breeder,4,3,3,10,6,7,8,3,6,4,5,8,8,7,8,5,4,7,4,5,6,5,7,7,6,8,4,7,3,6
soldier,17,11,23,13,16,13,21,13,10,15,16,10,13,15,12,15,13,15,13,19,11,14,14,13,8,23,25,18,16,13
breeder,7,7,8,10,6,8,5,6,2,4,7,3,4,4,3,5,4,5,7,2,4,5,6,6,3,4,4,10,4,4
worker,29,26,34,26,31,24,26,30,25,30,32,23,30,21,34,27,27,18,30,22,37,25,30,26,21,23,21,36,25,29
soldier,13,10,21,8,10,12,15,16,18,12,12,8,11,11,16,10,14,8,12,13,15,8,15,19,12,23,8,14,18,15
breeder,3,9,6,8,6,8,5,2,6,5,6,6,3,4,4,8,9,5,4,8,6,8,3,6,12,10,7,9,5,6
breeder,6,8,7,4,7,11,6,7,5,10,5,9,5,6,9,7,4,4,4,13,6,6,7,6,3,11,8,6,6,1
breeder,2,7,10,3,6,8,11,11,3,8,8,3,5,7,2,9,9,4,4,8,5,8,8,12,5,5,5,4,9,3
breeder,6,3,2,7,7,6,6,2,5,9,6,9,8,3,8,7,5,1,4,7,2,6,4,4,4,6,5,7,3,6
breeder,7,12,4,11,13,9,9,5,6,6,5,2,4,3,6,6,10,5,6,10,4,3,15,8,6,8,15,10,2,8
worker,31,21,27,22,33,28,18,27,24,23,21,23,21,18,31,25,24,19,22,25,19,23,32,27,20,21,33,20,19,33
worker,24,33,25,24,38,26,16,28,18,20,26,16,14,29,17,37,32,31,32,26,22,16,24,34,20,31,29,25,32,25
soldier,19,18,11,17,23,13,20,11,14,22,14,14,13,17,19,19,12,20,22,23,20,17,18,19,10,17,22,20,16,20
soldier,20,6,22,9,16,16,17,19,15,14,18,13,21,15,22,20,17,17,14,14,24,25,14,14,15,28,18,20,16,17
soldier,14,9,17,11,13,16,13,17,9,15,13,12,13,18,10,20,19,18,17,22,13,18,18,11,8,13,11,15,17,15
worker,27,23,34,30,33,27,23,19,22,24,18,28,31,23,33,25,21,22,26,27,33,30,27,25,27,45,32,33,33,31
breeder,9,8,6,9,9,7,5,6,4,4,13,2,11,5,4,8,6,9,3,4,5,11,9,11,4,12,4,6,4,14
worker,27,27,45,27,21,23,31,28,32,28,21,25,24,24,32,23,26,27,28,27,33,35,27,32,27,30,47,33,25,28
worker,24,29,36,29,33,20,29,26,31,32,32,26,24,32,27,46,24,39,30,23,33,24,31,28,23,36,32,31,21,38
worker,34,26,44,34,30,30,31,36,31,33,29,31,28,31,33,32,29,26,22,34,24,36,25,42,34,33,36,44,34,33
worker,31,33,46,36,34,36,30,45,35,34,27,37,45,30,34,39,34,35,24,35,38,41,32,31,38,37,46,38,31,27
soldier,19,22,27,11,12,17,14,25,16,15,13,18,8,20,14,28,14,16,10,18,19,23,19,14,16,20,17,17,23,18
soldier,15,27,20,16,15,20,10,13,7,15,17,7,13,12,12,15,12,20,10,16,13,11,15,12,15,23,26,13,20,14
soldier,17,15,23,24,17,24,19,14,17,22,20,28,23,13,19,19,17,13,20,19,13,18,22,18,20,26,17,18,18,17
soldier,12,14,25,20,8,11,10,10,12,16,16,14,18,16,13,14,16,18,18,11,12,15,15,17,18,10,14,13,19,15
soldier,22,22,21,24,18,18,15,18,22,20,21,16,21,11,14,13,19,16,9,18,11,17,26,21,13,15,19,20,21,21
worker,26,20,32,30,35,23,35,31,31,31,30,22,38,23,32,45,32,35,36,34,29,25,31,30,19,34,35,33,29,25
worker,18,31,34,21,38,30,36,24,35,29,30,31,35,29,28,31,23,25,30,25,26,22,31,31,32,42,28,32,34,28
breeder,7,5,9,10,8,4,3,5,8,7,11,3,3,7,17,6,5,2,2,3,2,3,5,7,7,6,7,15,1,11
breeder,3,3,5,2,6,5,5,5,9,4,5,7,6,8,6,4,9,5,6,6,7,2,9,8,8,1,8,6,12,5
worker,16,28,25,31,26,19,22,23,25,26,28,28,38,22,32,37,32,28,22,35,18,29,25,24,24,24,24,27,27,31
soldier,18,8,16,19,18,17,12,10,18,24,17,11,15,16,18,17,15,26,18,13,19,20,12,19,10,30,18,16,20,19
breeder,2,12,4,6,6,6,3,10,9,5,6,5,7,4,4,10,3,4,5,1,7,8,9,7,9,9,7,7,8,3
worker,25,18,35,22,21,26,28,25,19,21,24,27,26,24,26,24,17,11,16,19,18,35,31,29,19,19,23,25,29,26
soldier,12,20,16,10,16,18,13,23,7,18,18,17,12,20,26,15,21,17,12,18,16,14,17,25,12,16,23,21,19,27
worker,34,25,32,31,22,28,31,28,21,23,25,18,26,19,28,31,27,31,31,30,29,19,32,28,22,32,34,20,20,20
soldier,11,12,15,10,8,17,13,11,14,7,6,10,10,15,13,14,8,11,9,14,11,18,11,6,11,15,9,13,13,12
worker,18,18,23,32,23,14,24,18,23,16,24,16,28,26,26,20,23,19,23,26,26,22,32,27,21,29,29,37,31,23
soldier,22,16,24,23,19,18,17,15,9,8,25,13,11,14,19,16,17,15,13,16,12,18,18,10,7,14,19,14,19,16
breeder,4,7,7,5,4,6,6,10,5,11,5,7,4,7,6,1,5,7,5,8,9,10,8,6,12,1,4,7,4,4
breeder,4,1,5,3,6,8,4,6,3,3,3,2,7,8,5,5,7,8,5,5,2,5,6,0,7,5,5,1,7,6
soldier,20,13,9,9,19,12,10,18,12,14,16,16,9,19,13,11,14,11,12,12,10,13,24,16,15,24,11,16,24,9
worker,29,33,30,23,30,35,24,34,22,31,42,17,23,31,25,29,18,39,23,34,40,31,21,26,17,28,23,30,24,24
worker,30,38,37,34,25,27,47,34,34,23,29,31,30,36,26,26,40,41,28,31,25,24,38,34,31,36,37,49,39,34
breeder,2,3,3,4,6,5,5,7,7,8,6,4,6,5,7,2,10,5,6,7,7,13,7,8,5,5,3,8,4,6
soldier,12,16,12,19,13,12,13,16,14,24,11,20,16,11,17,20,15,6,7,14,15,12,15,14,13,14,14,25,16,16
worker,27,25,36,30,40,21,25,35,27,30,34,25,29,19,38,34,23,41,25,28,24,16,32,33,25,33,31,37,35,30
breeder,0,8,7,15,9,4,2,7,11,9,10,9,5,3,9,8,5,6,8,4,8,8,5,10,9,5,8,6,3,10
soldier,9,16,25,20,18,12,9,16,16,21,17,21,14,17,17,13,20,17,10,13,12,14,15,17,9,13,22,11,20,10
worker,22,24,32,25,32,24,27,29,21,25,33,32,23,30,26,27,28,31,15,29,16,21,35,32,21,26,28,42,29,18
breeder,3,3,4,4,1,13,7,9,7,10,7,4,9,5,7,13,6,9,2,10,6,8,4,4,4,5,9,8,6,5
breeder,9,6,9,7,6,6,10,5,7,7,7,10,5,7,8,7,6,2,3,10,10,8,6,9,3,6,4,9,6,12
breeder,6,7,9,6,9,4,8,4,7,8,8,12,8,10,11,15,7,9,6,7,9,8,6,11,11,8,9,9,8,10
breeder,3,5,9,9,8,6,5,9,5,7,3,10,3,8,3,5,7,6,6,6,2,4,11,6,3,8,9,7,6,6
breeder,10,9,6,7,5,4,13,5,4,4,0,8,5,4,3,11,5,6,7,6,4,8,9,7,7,7,9,12,7,5
breeder,7,7,8,6,9,8,5,9,6,7,7,1,7,7,4,4,5,6,2,2,5,5,9,6,4,7,4,12,5,3
