id,name,species,culmen depth (mm),culmen length (mm),flipper length (mm),mass (kg)
N44,bishop,Adelie,19.7,44.1,196.0,4.4
N251,haines,Gentoo,14.4,48.4,203.0,4.625
N255,malden,Gentoo,15.5,47.2,215.0,4.975
N1,kingsdale,Adelie,18.7,39.1,181.0,3.75
N172,hastings,Gentoo,15.1,48.7,222.0,5.35
N212,cherry,Gentoo,15.3,50.4,224.0,5.55
N298,edbrooke,Chinstrap,17.5,48.5,191.0,3.4
N312,fry,Chinstrap,16.8,47.5,199.0,3.9
N314,elliott,Chinstrap,20.7,52.0,210.0,4.8
N77,ridgewood,Adelie,16.8,40.9,191.0,3.7
N329,urban,Chinstrap,17.3,45.7,193.0,3.6
N154,dawson,Gentoo,16.3,50.0,230.0,5.7
N26,latham,Adelie,18.9,35.3,187.0,3.8
N220,fort dearborn,Gentoo,16.2,49.5,229.0,5.8
N271,wendell,Gentoo,13.7,47.2,214.0,4.925
N21,cyril,Adelie,18.3,37.8,174.0,3.4
N299,waukesha,Chinstrap,16.6,43.2,187.0,2.9
N209,walnut,Gentoo,13.9,43.8,208.0,4.3
N333,sullivan,Chinstrap,16.6,45.2,191.0,3.25
N121,new england,Adelie,17.2,36.2,187.0,3.15
